company_slug_dir,has_2023,has_2024,category,path
bmw_ag_vz,True,True,both,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\bmw_ag_vz
e_on_se,True,True,both,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\e_on_se
fuchs_se,True,True,both,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\fuchs_se
verbund_ag,True,True,both,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\verbund_ag
1_1_ag,True,False,only_2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\1_1_ag
acciona_s_a,True,False,only_2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\acciona_s_a
acea_s_p_a,True,False,only_2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\acea_s_p_a
acerinox_s_a,True,False,only_2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\acerinox_s_a
ackermans_van_haaren,True,False,only_2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\ackermans_van_haaren
acs_actividades_de_construcci_n_y_servicios_s_a,True,False,only_2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\acs_actividades_de_construcci_n_y_servicios_s_a
addiko_bank_ag,True,False,only_2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\addiko_bank_ag
adidas_ag,True,False,only_2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\adidas_ag
aena_s_m_e_s_a,True,False,only_2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\aena_s_m_e_s_a
agrana_beteiligungs_ag,True,False,only_2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\agrana_beteiligungs_ag
aib_group_plc,True,False,only_2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\aib_group_plc
aixtron_se,True,False,only_2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\aixtron_se
akwel,True,False,only_2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\akwel
allianz_se,True,False,only_2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\allianz_se
alzchem_group_ag,True,False,only_2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\alzchem_group_ag
amadeus_fire_ag,True,False,only_2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\amadeus_fire_ag
amag_austria_metall_ag,True,False,only_2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\amag_austria_metall_ag
andritz_ag,True,False,only_2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\andritz_ag
at_s_austria_tech_systemtech,True,False,only_2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\at_s_austria_tech_systemtech
atoss_software_se,True,False,only_2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\atoss_software_se
