slug,company,report_year,n_chunks_declared,pass1_calls_ok,pass1_calls_error,pass2_calls_ok,pass2_calls_error,pass1_elapsed_sum_s,pass2_elapsed_sum_s,llm_total_elapsed_sum_s,pass1_prompt_tokens_api_sum,pass2_prompt_tokens_api_sum,total_prompt_tokens_api_sum,pass1_completion_tokens_api_sum,pass2_completion_tokens_api_sum,total_completion_tokens_api_sum,pass1_total_tokens_api_sum,pass2_total_tokens_api_sum,total_tokens_api_sum,n_evidence_rows_doc,n_rows_normalized_doc,max_attempt_used,status_like
porr_ag,PORR AG,2023,1.0,1.0,0.0,1.0,0.0,34.543462,10.414128,44.957589999999996,11237.0,2621.0,13858.0,2427.0,614.0,3041.0,13664.0,3235.0,16899.0,43.0,23.0,1.0,ok
bawag_group_ag,BAWAG Group AG,2023,2.0,2.0,0.0,1.0,0.0,26.160294999999998,23.744013,49.904308,35723.0,2955.0,38678.0,2008.0,1533.0,3541.0,37731.0,4488.0,42219.0,40.0,40.0,1.0,ok
renta_4_banco_s_a,"Renta 4 Banco, S.A.",2023,3.0,2.0,1.0,1.0,0.0,63.890085,12.568833,76.458918,32391.0,1620.0,34011.0,1625.0,634.0,2259.0,34016.0,2254.0,36270.0,37.0,37.0,2.0,ok
banco_santander_s_a,"Banco Santander, S.A.",2023,3.0,3.0,0.0,1.0,0.0,74.947936,19.553609,94.501545,46183.0,2876.0,49059.0,2597.0,1220.0,3817.0,48780.0,4096.0,52876.0,34.0,34.0,1.0,ok
knorr_bremse_ag,Knorr-Bremse AG,2023,1.0,1.0,0.0,1.0,0.0,35.420226,9.933026,45.353252,12036.0,2686.0,14722.0,2494.0,561.0,3055.0,14530.0,3247.0,17777.0,34.0,12.0,1.0,ok
rwe_ag_st,RWE AG St,2023,1.0,1.0,0.0,1.0,0.0,28.508148,9.567229,38.075376999999996,9307.0,2019.0,11326.0,1801.0,534.0,2335.0,11108.0,2553.0,13661.0,33.0,12.0,1.0,ok
a_p_moller_maersk_a_s,A P MOLLER-MAERSK A/S,2024,1.0,1.0,0.0,1.0,0.0,70.38801,5.49358,75.88158999999999,8164.0,2665.0,10829.0,2421.0,279.0,2700.0,10585.0,2944.0,13529.0,32.0,9.0,2.0,ok
eni_s_p_a,ENI S.P.A.,2024,1.0,1.0,0.0,1.0,0.0,26.775659,16.815906,43.591565,11923.0,2036.0,13959.0,1896.0,1118.0,3014.0,13819.0,3154.0,16973.0,31.0,22.0,1.0,ok
galp_energia_sgps_s_a,GALP ENERGIA SGPS S.A.,2024,1.0,1.0,0.0,1.0,0.0,24.477658,8.048237,32.525895000000006,6644.0,1887.0,8531.0,1782.0,517.0,2299.0,8426.0,2404.0,10830.0,27.0,10.0,1.0,ok
jungheinrich_ag,Jungheinrich AG,2023,1.0,1.0,0.0,1.0,0.0,36.794882,15.635171,52.430053,12234.0,1683.0,13917.0,2444.0,1012.0,3456.0,14678.0,2695.0,17373.0,26.0,22.0,1.0,ok
shell_plc,SHELL PLC,2024,1.0,1.0,0.0,1.0,0.0,25.323669,17.302888,42.626557,7193.0,1566.0,8759.0,1787.0,1119.0,2906.0,8980.0,2685.0,11665.0,26.0,26.0,1.0,ok
lacroix_group,LACROIX Group,2023,1.0,1.0,0.0,1.0,0.0,28.284298,10.747022,39.03132,7046.0,1622.0,8668.0,1847.0,539.0,2386.0,8893.0,2161.0,11054.0,26.0,26.0,1.0,ok
alzchem_group_ag,Alzchem Group AG,2023,1.0,1.0,0.0,1.0,0.0,30.019981,8.800278,38.820259,12397.0,1886.0,14283.0,2046.0,533.0,2579.0,14443.0,2419.0,16862.0,26.0,11.0,1.0,ok
carrefour,CARREFOUR,2024,1.0,1.0,0.0,1.0,0.0,21.43143,13.795945,35.227374999999995,16145.0,1752.0,17897.0,1474.0,969.0,2443.0,17619.0,2721.0,20340.0,26.0,26.0,1.0,ok
ackermans_van_haaren,Ackermans & van Haaren,2023,1.0,1.0,0.0,1.0,0.0,25.453725,9.526081,34.979805999999996,7312.0,1635.0,8947.0,1853.0,538.0,2391.0,9165.0,2173.0,11338.0,26.0,15.0,1.0,ok
renault,RENAULT,2024,1.0,1.0,0.0,1.0,0.0,58.871294,7.03676,65.90805399999999,8445.0,1752.0,10197.0,2014.0,431.0,2445.0,10459.0,2183.0,12642.0,25.0,8.0,1.0,ok
norma_group_se,NORMA Group SE,2023,1.0,1.0,0.0,1.0,0.0,33.763972,19.412101,53.176073,14844.0,2081.0,16925.0,2232.0,1071.0,3303.0,17076.0,3152.0,20228.0,25.0,17.0,1.0,ok
telefonica_sa,TELEFONICA SA,2024,1.0,1.0,0.0,1.0,0.0,23.137673,17.279615,40.417288,7209.0,1661.0,8870.0,1535.0,1219.0,2754.0,8744.0,2880.0,11624.0,24.0,19.0,1.0,ok
polytec_holding_ag,POLYTEC Holding AG,2023,1.0,1.0,0.0,1.0,0.0,26.711383,8.996168,35.707551,11624.0,1699.0,13323.0,1998.0,581.0,2579.0,13622.0,2280.0,15902.0,24.0,15.0,1.0,ok
mbb_se,MBB SE,2023,1.0,1.0,0.0,1.0,0.0,7.58531,10.881026,18.466336,7351.0,1532.0,8883.0,1701.0,629.0,2330.0,9052.0,2161.0,11213.0,24.0,12.0,1.0,ok
