slug,company,report_year,n_chunks_declared,pass1_calls_ok,pass1_calls_error,pass2_calls_ok,pass2_calls_error,pass1_elapsed_sum_s,pass2_elapsed_sum_s,llm_total_elapsed_sum_s,pass1_prompt_tokens_api_sum,pass2_prompt_tokens_api_sum,total_prompt_tokens_api_sum,pass1_completion_tokens_api_sum,pass2_completion_tokens_api_sum,total_completion_tokens_api_sum,pass1_total_tokens_api_sum,pass2_total_tokens_api_sum,total_tokens_api_sum,n_evidence_rows_doc,n_rows_normalized_doc,max_attempt_used,status_like
bawag_group_ag,BAWAG Group AG,2023,2.0,2.0,0.0,1.0,0.0,26.160294999999998,23.744013,49.904308,35723.0,2955.0,38678.0,2008.0,1533.0,3541.0,37731.0,4488.0,42219.0,40.0,40.0,1.0,ok
renta_4_banco_s_a,"Renta 4 Banco, S.A.",2023,3.0,2.0,1.0,1.0,0.0,63.890085,12.568833,76.458918,32391.0,1620.0,34011.0,1625.0,634.0,2259.0,34016.0,2254.0,36270.0,37.0,37.0,2.0,ok
banco_santander_s_a,"Banco Santander, S.A.",2023,3.0,3.0,0.0,1.0,0.0,74.947936,19.553609,94.501545,46183.0,2876.0,49059.0,2597.0,1220.0,3817.0,48780.0,4096.0,52876.0,34.0,34.0,1.0,ok
shell_plc,SHELL PLC,2024,1.0,1.0,0.0,1.0,0.0,25.323669,17.302888,42.626557,7193.0,1566.0,8759.0,1787.0,1119.0,2906.0,8980.0,2685.0,11665.0,26.0,26.0,1.0,ok
lacroix_group,LACROIX Group,2023,1.0,1.0,0.0,1.0,0.0,28.284298,10.747022,39.03132,7046.0,1622.0,8668.0,1847.0,539.0,2386.0,8893.0,2161.0,11054.0,26.0,26.0,1.0,ok
carrefour,CARREFOUR,2024,1.0,1.0,0.0,1.0,0.0,21.43143,13.795945,35.227374999999995,16145.0,1752.0,17897.0,1474.0,969.0,2443.0,17619.0,2721.0,20340.0,26.0,26.0,1.0,ok
commerzbank_ag,Commerzbank AG,2023,6.0,5.0,1.0,1.0,0.0,73.73871299999999,15.021626,88.76033899999999,95577.0,2042.0,97619.0,2147.0,1026.0,3173.0,97724.0,3068.0,100792.0,23.0,23.0,1.0,ok
porr_ag,PORR AG,2023,1.0,1.0,0.0,1.0,0.0,34.543462,10.414128,44.957589999999996,11237.0,2621.0,13858.0,2427.0,614.0,3041.0,13664.0,3235.0,16899.0,43.0,23.0,1.0,ok
virbac,Virbac,2023,1.0,1.0,0.0,1.0,0.0,26.339861,11.004882,37.344743,11075.0,1738.0,12813.0,1902.0,740.0,2642.0,12977.0,2478.0,15455.0,23.0,23.0,1.0,ok
e_on_se,E.ON SE,2024,1.0,1.0,0.0,1.0,0.0,20.513798,11.145378,31.659176000000002,10755.0,1555.0,12310.0,1321.0,696.0,2017.0,12076.0,2251.0,14327.0,23.0,23.0,1.0,ok
omv_aktiengesellschaft,OMV AKTIENGESELLSCHAFT,2024,1.0,1.0,0.0,1.0,0.0,78.4208,9.633707,88.054507,7594.0,1357.0,8951.0,1612.0,507.0,2119.0,9206.0,1864.0,11070.0,22.0,22.0,3.0,ok
jungheinrich_ag,Jungheinrich AG,2023,1.0,1.0,0.0,1.0,0.0,36.794882,15.635171,52.430053,12234.0,1683.0,13917.0,2444.0,1012.0,3456.0,14678.0,2695.0,17373.0,26.0,22.0,1.0,ok
eni_s_p_a,ENI S.P.A.,2024,1.0,1.0,0.0,1.0,0.0,26.775659,16.815906,43.591565,11923.0,2036.0,13959.0,1896.0,1118.0,3014.0,13819.0,3154.0,16973.0,31.0,22.0,1.0,ok
repsol_sa,REPSOL SA.,2024,1.0,1.0,0.0,1.0,0.0,23.472013,13.241158,36.713171,10325.0,1405.0,11730.0,1667.0,853.0,2520.0,11992.0,2258.0,14250.0,22.0,22.0,1.0,ok
vonovia_se,Vonovia SE,2023,1.0,1.0,0.0,1.0,0.0,29.620088,15.135617,44.755705,8864.0,2094.0,10958.0,2016.0,903.0,2919.0,10880.0,2997.0,13877.0,21.0,20.0,1.0,ok
pva_tepla_ag,PVA TePla AG,2023,1.0,1.0,0.0,1.0,0.0,19.48168,41.694344,61.176024,8182.0,1262.0,9444.0,1305.0,624.0,1929.0,9487.0,1886.0,11373.0,19.0,19.0,1.0,ok
telefonica_sa,TELEFONICA SA,2024,1.0,1.0,0.0,1.0,0.0,23.137673,17.279615,40.417288,7209.0,1661.0,8870.0,1535.0,1219.0,2754.0,8744.0,2880.0,11624.0,24.0,19.0,1.0,ok
aib_group_plc,AIB Group plc,2023,2.0,2.0,0.0,1.0,0.0,21.564218999999998,3.305479,24.869698,22435.0,1300.0,23735.0,1167.0,495.0,1662.0,23602.0,1795.0,25397.0,19.0,19.0,1.0,ok
uniqa_insurance_group_ag,UNIQA Insurance Group AG,2023,1.0,1.0,0.0,1.0,0.0,23.555289,12.26347,35.818759,15000.0,1345.0,16345.0,1393.0,533.0,1926.0,16393.0,1878.0,18271.0,18.0,18.0,1.0,ok
brenntag_se,Brenntag SE,2023,1.0,1.0,0.0,1.0,0.0,18.803172,13.478477,32.281649,8426.0,1522.0,9948.0,1284.0,882.0,2166.0,9710.0,2404.0,12114.0,21.0,18.0,1.0,ok
