stage,slug,company,report_year,chunk_index,batch_index,source_md,n_chunks,start_page,end_page,chunk_tokens_est,n_evidence_lines_in_batch,prompt_tokens_est,elapsed_s,status,error_message,attempt_used,prompt_tokens_api,completion_tokens_api,total_tokens_api,n_evidence_rows_norm,n_rows_normalized
pass1,verbund_ag,VERBUND AG,2023,1.0,,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\verbund_ag\2023\focused\verbund_ag_2023_taxonomy_focused.md,1,163.0,169.0,7141,,7599,104.025847,ok,,3.0,7596.0,2168.0,9764.0,22.0,
pass1,omv_aktiengesellschaft,OMV AKTIENGESELLSCHAFT,2024,1.0,,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\omv_aktiengesellschaft\2024\focused\omv_aktiengesellschaft_2024_taxonomy_focused.md,1,165.0,171.0,7256,,7720,78.4208,ok,,3.0,7594.0,1612.0,9206.0,22.0,
pass1,a_p_moller_maersk_a_s,A P MOLLER-MAERSK A/S,2024,1.0,,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\a_p_moller_maersk_a_s\2024\focused\a_p_moller_maersk_a_s_2024_taxonomy_focused.md,1,95.0,101.0,7776,,8241,70.38801,ok,,2.0,8164.0,2421.0,10585.0,32.0,
pass1,renault,RENAULT,2024,1.0,,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\renault\2024\focused\renault_2024_taxonomy_focused.md,1,177.0,185.0,8026,,8483,58.871294,ok,,1.0,8445.0,2014.0,10459.0,25.0,
pass1,banco_santander_s_a,"Banco Santander, S.A.",2023,3.0,,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\banco_santander_s_a\2023\focused\banco_santander_s_a_2023_taxonomy_focused.md,3,125.0,128.0,4018,,4479,51.227725,ok,,1.0,4441.0,1405.0,5846.0,14.0,
pass1,vossloh_ag,Vossloh AG,2023,1.0,,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\vossloh_ag\2023\focused\vossloh_ag_2023_taxonomy_focused.md,1,107.0,114.0,4973,,5431,46.232368,ok,,2.0,5439.0,1276.0,6715.0,22.0,
pass1,endesa_s_a,"Endesa, S.A.",2023,1.0,,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\endesa_s_a\2023\focused\endesa_s_a_2023_taxonomy_focused.md,1,31.0,35.0,3927,,4386,44.774131,ok,,1.0,4368.0,943.0,5311.0,15.0,
pass1,ivu_traffic_technologies_ag,IVU Traffic Technologies AG,2023,1.0,,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\ivu_traffic_technologies_ag\2023\focused\ivu_traffic_technologies_ag_2023_taxonomy_focused.md,1,39.0,44.0,5302,,5761,42.94944,ok,,1.0,5741.0,801.0,6542.0,2.0,
pass2,pva_tepla_ag,PVA TePla AG,2023,,1.0,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\pva_tepla_ag\2023\focused\pva_tepla_ag_2023_taxonomy_focused.md,1,,,850,19.0,1269,41.694344,ok,,1.0,1262.0,624.0,1886.0,,19.0
pass2,ringmetall_se_na_o_n,RINGMETALL SE  NA O.N.,2023,,1.0,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\ringmetall_se_na_o_n\2023\focused\ringmetall_se_na_o_n_2023_taxonomy_focused.md,1,,,404,9.0,825,40.423653,ok,,1.0,820.0,451.0,1271.0,,5.0
pass2,k_s_aktiengesellschaft,K+S Aktiengesellschaft,2023,,1.0,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\k_s_aktiengesellschaft\2023\focused\k_s_aktiengesellschaft_2023_taxonomy_focused.md,1,,,892,15.0,1312,38.554394,ok,,1.0,1300.0,412.0,1712.0,,7.0
pass2,medios_ag,Medios AG,2023,,1.0,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\medios_ag\2023\focused\medios_ag_2023_taxonomy_focused.md,1,,,304,4.0,720,38.511953,ok,,1.0,725.0,167.0,892.0,,2.0
pass1,renta_4_banco_s_a,"Renta 4 Banco, S.A.",2023,2.0,,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\renta_4_banco_s_a\2023\focused\renta_4_banco_s_a_2023_taxonomy_focused.md,3,185.0,189.0,23599,,24061,38.065768,ok,,2.0,24029.0,44.0,24073.0,0.0,
pass2,leg_immobilien_se,LEG Immobilien SE,2023,,1.0,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\leg_immobilien_se\2023\focused\leg_immobilien_se_2023_taxonomy_focused.md,1,,,815,12.0,1233,37.254289,ok,,1.0,1210.0,375.0,1585.0,,6.0
pass1,jungheinrich_ag,Jungheinrich AG,2023,1.0,,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\jungheinrich_ag\2023\focused\jungheinrich_ag_2023_taxonomy_focused.md,1,87.0,95.0,11804,,12264,36.794882,ok,,1.0,12234.0,2444.0,14678.0,26.0,
pass1,commerzbank_ag,Commerzbank AG,2023,4.0,,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\commerzbank_ag\2023\focused\commerzbank_ag_2023_taxonomy_focused.md,6,140.0,152.0,23608,,24067,36.139652,ok,,1.0,23803.0,178.0,23981.0,0.0,
