slug,company,report_year,n_chunks_declared,pass1_calls_ok,pass1_calls_error,pass2_calls_ok,pass2_calls_error,pass1_elapsed_sum_s,pass2_elapsed_sum_s,llm_total_elapsed_sum_s,pass1_prompt_tokens_api_sum,pass2_prompt_tokens_api_sum,total_prompt_tokens_api_sum,pass1_completion_tokens_api_sum,pass2_completion_tokens_api_sum,total_completion_tokens_api_sum,pass1_total_tokens_api_sum,pass2_total_tokens_api_sum,total_tokens_api_sum,n_evidence_rows_doc,n_rows_normalized_doc,max_attempt_used,status_like
commerzbank_ag,Commerzbank AG,2023,6.0,5.0,1.0,1.0,0.0,73.73871299999999,15.021626,88.76033899999999,95577.0,2042.0,97619.0,2147.0,1026.0,3173.0,97724.0,3068.0,100792.0,23.0,23.0,1.0,ok
banco_santander_s_a,"Banco Santander, S.A.",2023,3.0,3.0,0.0,1.0,0.0,74.947936,19.553609,94.501545,46183.0,2876.0,49059.0,2597.0,1220.0,3817.0,48780.0,4096.0,52876.0,34.0,34.0,1.0,ok
bawag_group_ag,BAWAG Group AG,2023,2.0,2.0,0.0,1.0,0.0,26.160294999999998,23.744013,49.904308,35723.0,2955.0,38678.0,2008.0,1533.0,3541.0,37731.0,4488.0,42219.0,40.0,40.0,1.0,ok
renta_4_banco_s_a,"Renta 4 Banco, S.A.",2023,3.0,2.0,1.0,1.0,0.0,63.890085,12.568833,76.458918,32391.0,1620.0,34011.0,1625.0,634.0,2259.0,34016.0,2254.0,36270.0,37.0,37.0,2.0,ok
prosegur_cash_s_a,"Prosegur Cash, S.A.",2023,2.0,2.0,0.0,1.0,0.0,18.222335,6.313527,24.535862,28721.0,1105.0,29826.0,950.0,322.0,1272.0,29671.0,1427.0,31098.0,12.0,7.0,1.0,ok
bmw_ag_vz,BMW AG Vz,2023,2.0,2.0,0.0,1.0,0.0,20.209207,9.98007,30.189276999999997,24935.0,1148.0,26083.0,1070.0,657.0,1727.0,26005.0,1805.0,27810.0,12.0,8.0,1.0,ok
acerinox_s_a,Acerinox S.A.,2023,2.0,2.0,0.0,1.0,0.0,11.413152,11.612594,23.025745999999998,22734.0,1603.0,24337.0,1510.0,745.0,2255.0,24244.0,2348.0,26592.0,15.0,10.0,1.0,ok
aena_s_m_e_s_a,"Aena S.M.E., S.A.",2023,2.0,2.0,0.0,1.0,0.0,8.217117,8.044588,16.261705,23993.0,1139.0,25132.0,844.0,464.0,1308.0,24837.0,1603.0,26440.0,12.0,12.0,1.0,ok
r_stahl_ag,R. Stahl AG,2023,2.0,2.0,0.0,1.0,0.0,20.886547,12.078046,32.964593,22844.0,1374.0,24218.0,1134.0,629.0,1763.0,23978.0,2003.0,25981.0,19.0,15.0,1.0,ok
gea_group_aktiengesellschaft,GEA Group Aktiengesellschaft,2023,2.0,2.0,0.0,1.0,0.0,8.174669000000002,9.184344,17.359013,23279.0,1135.0,24414.0,818.0,518.0,1336.0,24097.0,1653.0,25750.0,12.0,12.0,1.0,ok
aib_group_plc,AIB Group plc,2023,2.0,2.0,0.0,1.0,0.0,21.564218999999998,3.305479,24.869698,22435.0,1300.0,23735.0,1167.0,495.0,1662.0,23602.0,1795.0,25397.0,19.0,19.0,1.0,ok
covestro_ag,Covestro AG,2023,2.0,2.0,0.0,0.0,0.0,6.801607,0.0,6.801607,23546.0,0.0,23546.0,76.0,0.0,76.0,23622.0,0.0,23622.0,0.0,0.0,1.0,empty
delivery_hero_se,Delivery Hero SE,2023,1.0,1.0,0.0,1.0,0.0,15.139807,8.699645,23.839452,20531.0,1184.0,21715.0,866.0,492.0,1358.0,21397.0,1676.0,23073.0,14.0,6.0,1.0,ok
allianz_se,Allianz SE,2023,1.0,1.0,0.0,1.0,0.0,12.030617,13.875656,25.906273,19182.0,1020.0,20202.0,654.0,588.0,1242.0,19836.0,1608.0,21444.0,14.0,14.0,1.0,ok
compagnie_de_l_odet_se,Compagnie de l'Odet SE,2023,1.0,1.0,0.0,1.0,0.0,18.120922,12.667257,30.788179,17165.0,1359.0,18524.0,1170.0,762.0,1932.0,18335.0,2121.0,20456.0,18.0,18.0,1.0,ok
carrefour,CARREFOUR,2024,1.0,1.0,0.0,1.0,0.0,21.43143,13.795945,35.227374999999995,16145.0,1752.0,17897.0,1474.0,969.0,2443.0,17619.0,2721.0,20340.0,26.0,26.0,1.0,ok
norma_group_se,NORMA Group SE,2023,1.0,1.0,0.0,1.0,0.0,33.763972,19.412101,53.176073,14844.0,2081.0,16925.0,2232.0,1071.0,3303.0,17076.0,3152.0,20228.0,25.0,17.0,1.0,ok
deutsche_post_ag,Deutsche Post AG,2023,1.0,1.0,0.0,0.0,0.0,2.23862,0.0,2.23862,20115.0,0.0,20115.0,28.0,0.0,28.0,20143.0,0.0,20143.0,0.0,0.0,1.0,empty
sma_solar_technology_ag,SMA Solar Technology AG,2023,1.0,1.0,0.0,0.0,0.0,4.244426,0.0,4.244426,19175.0,0.0,19175.0,41.0,0.0,41.0,19216.0,0.0,19216.0,0.0,0.0,1.0,empty
talanx_aktiengesellschaft,Talanx Aktiengesellschaft,2023,1.0,1.0,0.0,1.0,0.0,12.184969,9.963301,22.14827,16807.0,869.0,17676.0,679.0,525.0,1204.0,17486.0,1394.0,18880.0,8.0,6.0,1.0,ok
