stage,slug,company,report_year,chunk_index,batch_index,source_md,n_chunks,start_page,end_page,chunk_tokens_est,n_evidence_lines_in_batch,prompt_tokens_est,elapsed_s,status,error_message,attempt_used,prompt_tokens_api,completion_tokens_api,total_tokens_api,n_evidence_rows_norm,n_rows_normalized
pass1,a_p_moller_maersk_a_s,A P MOLLER-MAERSK A/S,2024,1.0,,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\a_p_moller_maersk_a_s\2024\focused\a_p_moller_maersk_a_s_2024_taxonomy_focused.md,1,95.0,101.0,7776,,8241,70.38801,ok,,2.0,8164.0,2421.0,10585.0,32.0,
pass2,a_p_moller_maersk_a_s,A P MOLLER-MAERSK A/S,2024,,1.0,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\a_p_moller_maersk_a_s\2024\focused\a_p_moller_maersk_a_s_2024_taxonomy_focused.md,1,,,2280,32.0,2703,5.49358,ok,,1.0,2665.0,279.0,2944.0,,9.0
pass1,ab_volvo,AB VOLVO,2024,1.0,,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\ab_volvo\2024\focused\ab_volvo_2024_taxonomy_focused.md,1,163.0,169.0,7803,,8260,15.342948,ok,,1.0,8048.0,988.0,9036.0,9.0,
pass2,ab_volvo,AB VOLVO,2024,,1.0,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\ab_volvo\2024\focused\ab_volvo_2024_taxonomy_focused.md,1,,,666,9.0,1082,12.886463,ok,,1.0,1078.0,640.0,1718.0,,9.0
pass1,acs_actividades_de_construcci_n_y_servicios_s_a,"ACS, Actividades de Construcción y Servicios, S.A.",2023,1.0,,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\acs_actividades_de_construcci_n_y_servicios_s_a\2023\focused\acs_actividades_de_construcci_n_y_servicios_s_a_2023_taxonomy_focused.md,1,381.0,396.0,17944,,18411,3.291355,ok,,1.0,18163.0,48.0,18211.0,0.0,
pass1,aib_group_plc,AIB Group plc,2023,1.0,,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\aib_group_plc\2023\focused\aib_group_plc_2023_taxonomy_focused.md,2,65.0,332.0,20259,,20717,18.536195,ok,,1.0,20684.0,1121.0,21805.0,19.0,
pass1,aib_group_plc,AIB Group plc,2023,2.0,,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\aib_group_plc\2023\focused\aib_group_plc_2023_taxonomy_focused.md,2,333.0,333.0,1288,,1746,3.028024,ok,,1.0,1751.0,46.0,1797.0,0.0,
pass2,aib_group_plc,AIB Group plc,2023,,1.0,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\aib_group_plc\2023\focused\aib_group_plc_2023_taxonomy_focused.md,2,,,889,19.0,1306,3.305479,ok,,1.0,1300.0,495.0,1795.0,,19.0
pass1,airbus_se,AIRBUS SE,2024,1.0,,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\airbus_se\2024\focused\airbus_se_2024_taxonomy_focused.md,1,199.0,205.0,7241,,7698,17.419946,ok,,1.0,7650.0,878.0,8528.0,9.0,
pass2,airbus_se,AIRBUS SE,2024,,1.0,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\airbus_se\2024\focused\airbus_se_2024_taxonomy_focused.md,1,,,449,9.0,864,7.2559,ok,,1.0,865.0,460.0,1325.0,,7.0
