config,top_k,cumulative_rows,share_total_rows_captured,mean_cumulative_rows_per_doc,median_cumulative_rows_per_doc,share_docs_with_any_output
Restrictive-A,1,594,0.16041047799081826,3.2459016393442623,2.0,0.7049180327868853
Restrictive-A,2,1229,0.3318930596813395,6.715846994535519,5.0,0.8907103825136612
Restrictive-A,3,1883,0.5085066162570888,10.289617486338798,8.0,0.9398907103825137
Restrictive-A,4,2277,0.6149068322981367,12.442622950819672,11.0,0.9453551912568307
Restrictive-A,5,2607,0.7040237645152579,14.245901639344263,12.0,0.9508196721311475
Restrictive-A,6,2940,0.7939508506616257,16.065573770491802,13.0,0.9617486338797814
Restrictive-A,7,3242,0.875506346205779,17.715846994535518,13.0,0.9617486338797814
Restrictive-A,8,3393,0.9162840939778558,18.540983606557376,13.0,0.9617486338797814
Restrictive-A,9,3522,0.9511207129354577,19.24590163934426,14.0,0.9617486338797814
Restrictive-A,10,3589,0.9692141506886308,19.612021857923498,14.0,0.9672131147540983
Restrictive-A,11,3619,0.9773156899810964,19.775956284153004,14.0,0.9672131147540983
Restrictive-A,12,3703,1.0,20.23497267759563,14.0,0.9672131147540983
Restrictive-B,1,606,0.18041083655849954,3.3114754098360657,2.0,0.6885245901639344
Restrictive-B,2,1168,0.34772253646918727,6.382513661202186,5.0,0.8633879781420765
Restrictive-B,3,1795,0.5343852337005061,9.808743169398907,8.0,0.9289617486338798
Restrictive-B,4,2239,0.6665674307829711,12.234972677595628,11.0,0.9508196721311475
Restrictive-B,5,2600,0.7740398928252457,14.207650273224044,12.0,0.9562841530054644
Restrictive-B,6,2925,0.8707948794284013,15.98360655737705,13.0,0.9562841530054644
Restrictive-B,7,3187,0.9487942840130992,17.415300546448087,13.0,0.9562841530054644
Restrictive-B,8,3359,1.0,18.3551912568306,14.0,0.9562841530054644
Robust-A,1,609,0.14285714285714285,2.768181818181818,1.0,0.6
Robust-A,2,1300,0.30494956603330986,5.909090909090909,4.0,0.7318181818181818
Robust-A,3,1930,0.452732817264837,8.772727272727273,7.0,0.7681818181818182
Robust-A,4,2407,0.564625850340136,10.940909090909091,9.0,0.7909090909090909
Robust-A,5,2860,0.6708890452732817,13.0,11.0,0.8
Robust-A,6,3256,0.763781374618813,14.8,12.0,0.8
Robust-A,7,3581,0.8400187661271405,16.277272727272727,13.0,0.8
Robust-A,8,3775,0.8855266244428805,17.15909090909091,13.5,0.8
Robust-A,9,3926,0.9209476894205958,17.845454545454544,14.0,0.8
Robust-A,10,4080,0.9570724841660803,18.545454545454547,14.0,0.8
Robust-A,11,4198,0.9847525216983345,19.081818181818182,14.0,0.8
Robust-A,12,4263,1.0,19.37727272727273,14.0,0.8
Robust-B,1,582,0.15449960180515,2.6454545454545455,1.0,0.5818181818181818
Robust-B,2,1211,0.32147597557738256,5.504545454545455,4.0,0.7
Robust-B,3,1878,0.498539952216618,8.536363636363637,6.0,0.7545454545454545
Robust-B,4,2285,0.6065834881868861,10.386363636363637,8.0,0.7772727272727272
Robust-B,5,2803,0.7440934430581364,12.74090909090909,10.5,0.7909090909090909
Robust-B,6,3142,0.8340854791611362,14.281818181818181,12.0,0.7954545454545454
Robust-B,7,3535,0.9384125298646138,16.068181818181817,13.5,0.8
Robust-B,8,3767,1.0,17.12272727272727,14.0,0.8
