config,retrieval_rank,n_calls,mean_elapsed_s,median_elapsed_s,mean_total_tokens_api,total_rows_normalized,mean_rows_normalized,median_rows_normalized,share_nonzero_chunks,mean_hybrid_score,mean_bm25_score_raw,mean_emb_score_raw
Restrictive-A,1,183,3.6374014535519126,2.87081,1894.5901639344263,594,3.2459016393442623,2.0,0.7049180327868853,0.9398058871102464,8.964321619825936,0.6304850366597619
Restrictive-A,2,183,3.783407923497268,3.027613,1913.8469945355191,635,3.469945355191257,2.0,0.7377049180327869,0.8374445728265523,7.877511738916564,0.6134304896078474
Restrictive-A,3,183,3.8372832622950823,3.035402,1889.8196721311476,654,3.5737704918032787,3.0,0.6721311475409836,0.7209739550703862,6.968132463309283,0.586153097654301
Restrictive-A,4,175,3.359056897142857,2.790411,1666.6971428571428,394,2.2514285714285713,0.0,0.4342857142857143,0.5790426908220564,5.7757918517930165,0.5522807930197035
Restrictive-A,5,163,3.146817374233129,2.496512,1553.9693251533743,330,2.0245398773006134,0.0,0.3558282208588957,0.4806787058871034,4.654878726583317,0.529764595664352
Restrictive-A,6,140,3.2456215,2.6531735000000003,1630.7214285714285,333,2.3785714285714286,0.0,0.36428571428571427,0.4211350332147309,4.318053224736026,0.508371076732874
Restrictive-A,7,121,3.199496909090909,2.54425,1574.5867768595042,302,2.4958677685950414,0.0,0.3140495867768595,0.3397866871490813,3.9879170009666236,0.470769652650376
Restrictive-A,8,93,2.8808304623655916,2.371684,1531.5376344086021,151,1.6236559139784945,0.0,0.21505376344086022,0.32157253642736744,3.8304672524413115,0.46861380739237674
Restrictive-A,9,66,3.212639227272727,2.5375085,1542.7878787878788,129,1.9545454545454546,0.0,0.30303030303030304,0.3132588152322128,3.461430610580878,0.46185943574616406
Restrictive-A,10,49,2.6796317755102037,2.219096,1524.8367346938776,67,1.3673469387755102,0.0,0.1836734693877551,0.3136728630990398,3.5147951208815282,0.4548192471265793
Restrictive-A,11,40,2.512335225,1.96008,1559.075,30,0.75,0.0,0.1,0.2998785153962672,3.6811848573386667,0.44293462485074997
Restrictive-A,12,36,2.8794086388888886,1.944677,1520.611111111111,84,2.3333333333333335,0.0,0.1388888888888889,0.2521420931702273,3.021819500459565,0.4296143675843875
Restrictive-B,1,183,3.681464994535519,2.713751,1897.6120218579235,606,3.3114754098360657,2.0,0.6885245901639344,0.9459889469250955,9.278721604842305,0.6175184214050001
Restrictive-B,2,183,3.596828327868852,2.863871,1887.3333333333333,562,3.07103825136612,2.0,0.6939890710382514,0.8312247136577231,7.989836411886528,0.6087996042817017
Restrictive-B,3,183,3.398606792349727,2.837417,1858.6830601092897,627,3.4262295081967213,2.0,0.6721311475409836,0.7100021868455605,6.924217949799501,0.5886767845336205
Restrictive-B,4,175,3.4609656514285714,2.68063,1743.6342857142856,444,2.537142857142857,0.0,0.4685714285714286,0.5653035065212421,5.694102749483926,0.5544839184624808
Restrictive-B,5,163,3.214750104294479,2.513418,1607.8282208588957,361,2.214723926380368,0.0,0.34355828220858897,0.46206342282653584,4.736509280519251,0.5261035800163
Restrictive-B,6,140,3.1481162428571428,2.547205,1604.1785714285713,325,2.3214285714285716,0.0,0.37857142857142856,0.40480637719322526,4.337612890186055,0.5094836674630642
Restrictive-B,7,121,2.907515049586777,2.134523,1546.1570247933885,262,2.165289256198347,0.0,0.2809917355371901,0.327178135712454,3.7290640941336135,0.4791219251707566
Restrictive-B,8,93,2.8287566451612904,2.326519,1532.774193548387,172,1.8494623655913978,0.0,0.25806451612903225,0.30971301663466677,3.666632064207587,0.4741068439137551
Robust-A,1,220,3.3943192545454544,2.7296994999999997,1886.6045454545454,609,2.768181818181818,1.0,0.6,0.9489292274821889,15.904186427593231,0.5914190671660683
Robust-A,2,220,3.6906411500000003,2.8353035,1939.6954545454546,691,3.140909090909091,2.0,0.6272727272727273,0.85365482440049,14.377052906358784,0.5723782402547923
Robust-A,3,220,3.605933231818182,2.762016,1853.3454545454545,630,2.8636363636363638,1.0,0.5363636363636364,0.7700369126078758,12.8563428634947,0.5552892855622552
Robust-A,4,219,3.500205771689498,2.721099,1750.890410958904,477,2.1780821917808217,0.0,0.3835616438356164,0.6790546471227522,11.28204102793785,0.5322566310020342
Robust-A,5,213,3.2805354882629105,2.663917,1752.3849765258217,453,2.1267605633802815,0.0,0.3568075117370892,0.6143478060517232,9.82352068096819,0.5218933217682189
Robust-A,6,208,3.1380107115384615,2.5316535,1718.6778846153845,396,1.9038461538461537,0.0,0.27403846153846156,0.5419698735842338,8.624739301319305,0.5020128828115188
Robust-A,7,204,3.085312225490196,2.5178465,1693.8382352941176,325,1.5931372549019607,0.0,0.2696078431372549,0.491420269560288,7.629057687944641,0.48860875013120036
Robust-A,8,191,2.8477399162303665,2.314549,1700.6806282722514,194,1.0157068062827226,0.0,0.16753926701570682,0.46935880150467996,7.2732358973531825,0.4781428936732377
Robust-A,9,183,2.6954890327868855,2.06548,1686.792349726776,151,0.825136612021858,0.0,0.15300546448087432,0.43339182631700435,6.587845129719198,0.4633828205326216
Robust-A,10,176,2.535681295454545,2.0020315,1697.7443181818182,154,0.875,0.0,0.16477272727272727,0.4017373924514025,5.995949138421565,0.4520546957342462
Robust-A,11,171,2.622147514619883,1.955309,1655.8479532163742,118,0.6900584795321637,0.0,0.12280701754385964,0.3784561158615377,5.563283924819433,0.4422167678151214
Robust-A,12,166,2.479705608433735,1.934314,1698.5903614457832,65,0.39156626506024095,0.0,0.04216867469879518,0.3557523399905627,5.185979757323323,0.4323296471532569
Robust-B,1,220,3.3959152136363637,2.649189,1876.540909090909,582,2.6454545454545455,1.0,0.5818181818181818,0.9548338521610606,16.33012763370167,0.57992724776268
