slug,company,company_name_full,report_year,source_md,status,error_stage,error_message,rebuild_index,top_k_requested,w_bm25,w_emb,n_queries,n_index_chunks,n_retrieved_chunks,index_elapsed_s,retrieval_elapsed_s,extraction_elapsed_sum_s,doc_total_elapsed_s,n_llm_calls_ok_x,n_llm_calls_error,coverage_ratio,topk_capped,retrieved_all_chunks,llm_total_elapsed_sum_s,total_prompt_tokens_api_sum,total_completion_tokens_api_sum,total_tokens_api_sum,mean_chunk_tokens_est,n_llm_calls_ok_y,n_rows_normalized_doc,mean_rows_per_retrieved_chunk,max_rows_single_chunk,mean_hybrid_score,mean_bm25_score_raw,mean_emb_score_raw,n_nonzero_chunks,share_nonzero_retrieved_chunks
commerzbank_ag,Commerzbank AG,Commerzbank AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\commerzbank_ag\2023\focused\commerzbank_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,58,12,0.270134,0.605094,108.45912,112.394122,12,0,0.20689655172413793,True,False,108.459121,21225,4900,26125,1348.6666666666667,12,139,11.583333333333334,35,0.7896239111820856,14.254141370455423,0.5340325782696406,6,0.5
renta_4_banco_s_a,"Renta 4 Banco, S.A.","Renta 4 Banco, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\renta_4_banco_s_a\2023\focused\renta_4_banco_s_a_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,27,12,0.101694,0.401535,30.416875,33.818873,12,0,0.4444444444444444,True,False,30.416874,17961,1802,19763,1064.4166666666667,12,38,3.1666666666666665,22,0.7228879580895106,6.906760652860005,0.4849163144826889,2,0.16666666666666666
banco_santander_s_a,"Banco Santander, S.A.","Banco Santander, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\banco_santander_s_a\2023\focused\banco_santander_s_a_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,24,12,0.167332,0.462373,39.411262,43.449891,12,0,0.5,True,False,39.411263000000005,20949,2674,23623,1325.25,12,44,3.6666666666666665,23,0.6844938198725382,8.26017196973165,0.519052192568779,3,0.25
bawag_group_ag,BAWAG Group AG,BAWAG Group AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\bawag_group_ag\2023\focused\bawag_group_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,23,12,0.11616,0.361513,37.417531,41.088697,12,0,0.5217391304347826,True,False,37.417532,20054,3078,23132,1244.8333333333333,12,32,2.6666666666666665,13,0.7995895594358444,9.841935078303019,0.5288950254519781,4,0.3333333333333333
aena_s_m_e_s_a,"Aena S.M.E., S.A.","Aena S.M.E., S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\aena_s_m_e_s_a\2023\focused\aena_s_m_e_s_a_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,22,12,0.026834,0.361319,24.788007,27.85744,12,0,0.5454545454545454,True,False,24.788007,19375,2413,21788,1181.9166666666667,12,68,5.666666666666667,12,0.6901379848519961,8.755934953689575,0.6003216803073883,7,0.5833333333333334
r_stahl_ag,R. Stahl AG,R. Stahl AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\r_stahl_ag\2023\focused\r_stahl_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,20,12,0.179651,0.510361,33.795002,37.22172,12,0,0.6,True,False,33.795002,19736,2241,21977,1220.0833333333333,12,34,2.8333333333333335,8,0.5951316480835279,7.815585752328237,0.5664106359084448,10,0.8333333333333334
bmw_ag_vz,BMW AG Vz,BMW AG Vz,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\bmw_ag_vz\2023\focused\bmw_ag_vz_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,19,12,0.26165,0.546852,30.509903,34.182176,12,0,0.631578947368421,True,False,30.509905,20188,1226,21414,1259.3333333333333,12,10,0.8333333333333334,3,0.657333493232727,8.849172194798788,0.5224602098266283,4,0.3333333333333333
acerinox_s_a,Acerinox S.A.,Acerinox S.A.,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\acerinox_s_a\2023\focused\acerinox_s_a_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,18,12,0.032384,0.363226,29.653441,32.621416,12,0,0.6666666666666666,True,False,29.653441,20172,1505,21677,1253.9166666666667,12,15,1.25,6,0.6225421701868376,6.92537134885788,0.5351979856689771,6,0.5
sma_solar_technology_ag,SMA Solar Technology AG,SMA Solar Technology AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\sma_solar_technology_ag\2023\focused\sma_solar_technology_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,17,12,0.177449,0.447333,24.349778,27.744729,12,0,0.7058823529411765,True,False,24.349779,18728,1412,20140,1126.5,12,26,2.1666666666666665,4,0.7025502944986025,6.180390497048696,0.5771572217345238,9,0.75
deutsche_post_ag,Deutsche Post AG,Deutsche Post AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\deutsche_post_ag\2023\focused\deutsche_post_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,17,12,0.206684,0.466413,37.662169,41.313402,12,0,0.7058823529411765,True,False,37.662171,19502,2777,22279,1197.3333333333333,12,52,4.333333333333333,12,0.707776407400767,7.10916797320048,0.5480427965521812,7,0.5833333333333334
