slug,company,company_name_full,report_year,source_md,status,error_stage,error_message,rebuild_index,top_k_requested,w_bm25,w_emb,n_queries,n_index_chunks,n_retrieved_chunks,index_elapsed_s,retrieval_elapsed_s,extraction_elapsed_sum_s,doc_total_elapsed_s,n_llm_calls_ok_x,n_llm_calls_error,coverage_ratio,topk_capped,retrieved_all_chunks,llm_total_elapsed_sum_s,total_prompt_tokens_api_sum,total_completion_tokens_api_sum,total_tokens_api_sum,mean_chunk_tokens_est,n_llm_calls_ok_y,n_rows_normalized_doc,mean_rows_per_retrieved_chunk,max_rows_single_chunk,mean_hybrid_score,mean_bm25_score_raw,mean_emb_score_raw,n_nonzero_chunks,share_nonzero_retrieved_chunks
commerzbank_ag,Commerzbank AG,Commerzbank AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\commerzbank_ag\2023\focused\commerzbank_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,58,12,0.270134,0.605094,108.45912,112.394122,12,0,0.20689655172413793,True,False,108.459121,21225,4900,26125,1348.6666666666667,12,139,11.583333333333334,35,0.7896239111820856,14.254141370455423,0.5340325782696406,6,0.5
acs_actividades_de_construcci_n_y_servicios_s_a,"ACS, Actividades de Construcción y Servicios, S.A.","ACS, Actividades de Construcción y Servicios, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\acs_actividades_de_construcci_n_y_servicios_s_a\2023\focused\acs_actividades_de_construcci_n_y_servicios_s_a_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,14,12,0.027144,0.298679,48.892545,51.768352,12,0,0.8571428571428571,True,False,48.892546,16986,4581,21567,981.3333333333334,12,117,9.75,21,0.5566039892534415,6.213566978772481,0.6410650114218394,7,0.5833333333333334
hochtief_ag,HOCHTIEF AG,HOCHTIEF AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\hochtief_ag\2023\focused\hochtief_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,12,12,0.205892,0.452358,95.071137,98.623774,12,0,1.0,False,True,95.071136,17655,4585,22240,1040.75,12,105,8.75,20,0.6584001857166489,5.594394902388255,0.5758427282174429,6,0.5
e_on_se,E.ON SE,E.ON SE,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\e_on_se\2024\focused\e_on_se_2024_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,11,11,0.129044,0.463561,30.525905,33.548882,11,0,1.0,False,True,30.525904,17048,3587,20635,1104.090909090909,11,88,8.0,18,0.4443432810631665,5.241456682031805,0.5838085304607045,8,0.7272727272727273
schneider_electric_se,SCHNEIDER ELECTRIC SE,SCHNEIDER ELECTRIC SE,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\schneider_electric_se\2024\focused\schneider_electric_se_2024_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,9,9,0.18638,0.362086,23.31799,25.818985,9,0,1.0,False,True,23.31799,13685,3074,16759,1097.7777777777778,9,81,9.0,19,0.5319747726122538,5.507822460598415,0.6141526699066162,7,0.7777777777777778
aena_s_m_e_s_a,"Aena S.M.E., S.A.","Aena S.M.E., S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\aena_s_m_e_s_a\2023\focused\aena_s_m_e_s_a_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,22,12,0.026834,0.361319,24.788007,27.85744,12,0,0.5454545454545454,True,False,24.788007,19375,2413,21788,1181.9166666666667,12,68,5.666666666666667,12,0.6901379848519961,8.755934953689575,0.6003216803073883,7,0.5833333333333334
omv_ag,OMV AG,OMV AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\omv_ag\2023\focused\omv_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,10,10,0.132353,0.399226,33.950549,36.882762,10,0,1.0,False,True,33.950548,14680,3069,17749,1051.1,10,68,6.8,18,0.6894486248493195,5.029877829551697,0.5556423753499985,6,0.6
repsol_sa,REPSOL SA.,REPSOL SA.,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\repsol_sa\2024\focused\repsol_sa_2024_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,9,9,0.180239,0.366215,74.664144,77.113555,9,0,1.0,False,True,74.664144,14127,3765,17892,1145.888888888889,9,66,7.333333333333333,18,0.4612398713620173,6.389698770311144,0.5442633529504141,6,0.6666666666666666
carrefour,CARREFOUR,CARREFOUR,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\carrefour\2024\focused\carrefour_2024_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,15,12,0.194772,0.44468,43.06551,46.397279,12,0,0.8,True,False,43.065509,19436,3890,23326,1196.0,12,65,5.416666666666667,17,0.5760927498340607,6.835349917411804,0.575378343462944,7,0.5833333333333334
omv_aktiengesellschaft,OMV AKTIENGESELLSCHAFT,OMV AKTIENGESELLSCHAFT,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\omv_aktiengesellschaft\2024\focused\omv_aktiengesellschaft_2024_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,7,7,0.179684,0.350783,59.612725,61.67377,7,0,1.0,False,True,59.612724,11269,3257,14526,1162.142857142857,7,65,9.285714285714286,19,0.505793605531965,5.1143215383802145,0.6058256711278643,6,0.8571428571428571
porr_ag,PORR AG,PORR AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\porr_ag\2023\focused\porr_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,8,8,0.11503,0.437916,29.982466,32.465333,8,0,1.0,False,True,29.982466,13778,3224,17002,1297.375,8,62,7.75,22,0.4760404657572508,6.916545253247023,0.5168570652604103,3,0.375
eni_s_p_a,ENI S.P.A.,ENI S.P.A.,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\eni_s_p_a\2024\focused\eni_s_p_a_2024_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,11,11,0.019448,0.284395,78.559126,81.204447,11,0,1.0,False,True,78.559126,16297,3023,19320,1054.3636363636363,11,59,5.363636363636363,18,0.5844218771566044,6.684438532049006,0.5446606088768352,5,0.45454545454545453
