company,report_year,retrieval_rank,chunk_id,start_page,end_page,elapsed_s,prompt_tokens_api,completion_tokens_api,total_tokens_api,n_rows_normalized,retrieval_score_hybrid,retrieval_score_bm25_raw,retrieval_score_emb_raw,attempt_used
OMV AKTIENGESELLSCHAFT,2024,6,4,167,167,18.417434,1680,940,2620,19,0.37617409229278564,2.5084035396575928,0.6276379227638245,1
REPSOL SA.,2024,3,4,377,377,17.122505,1992,1029,3021,18,0.6764066219329834,6.585364818572998,0.5948868989944458,1
UNIQA Insurance Group AG,2023,9,5,57,58,16.552164,1945,781,2726,13,0.4271124005317688,3.3522939682006836,0.54697585105896,1
ENI S.P.A.,2024,3,5,246,246,15.713626,1673,895,2568,18,0.9710291624069214,11.414629936218262,0.6021365523338318,1
ENI S.P.A.,2024,2,9,250,250,15.482331,1695,770,2465,18,0.9731689691543579,11.356273651123047,0.6043012738227844,1
Commerzbank AG,2023,1,38,161,161,15.461251,2023,736,2759,35,0.9248409271240234,19.191137313842773,0.5375285744667053,1
K+S Aktiengesellschaft,2023,4,11,106,106,15.243954,2028,1027,3055,0,0.6651625633239746,8.111103057861328,0.6130286455154419,1
Commerzbank AG,2023,7,52,177,178,15.205955,1818,1027,2845,13,0.8313575983047485,14.715507507324219,0.5497955083847046,1
Commerzbank AG,2023,6,36,152,152,15.081164,2014,690,2704,27,0.8457662463188171,17.968576431274414,0.5124770998954773,1
Commerzbank AG,2023,12,23,111,111,14.861448,1999,861,2860,27,0.5416184663772583,6.6208720207214355,0.5079688429832458,1
HOCHTIEF AG,2023,1,9,214,214,14.621825,2015,925,2940,19,0.9811640977859497,8.129310607910156,0.6535096168518066,1
HOCHTIEF AG,2023,6,6,212,212,13.716412,2015,1001,3016,19,0.8596336841583252,7.262195587158203,0.6201192736625671,1
Commerzbank AG,2023,5,53,179,180,13.108745,1292,562,1854,7,0.8520309329032898,15.343912124633789,0.5520772337913513,1
HOCHTIEF AG,2023,5,7,213,213,12.750061,2003,552,2555,15,0.8894462585449219,7.519043445587158,0.6262153387069702,1
L'OREAL,2024,2,5,215,215,12.652532,1632,640,2272,8,0.8623592853546143,8.40622329711914,0.5942703485488892,1
L'OREAL,2024,5,3,213,213,12.474307,1770,416,2186,7,0.6312921047210693,9.087483406066895,0.5177416205406189,1
HOCHTIEF AG,2023,7,2,210,210,12.418688,2014,860,2874,20,0.8100946545600891,6.4560136795043945,0.6279966831207275,1
Allianz SE,2023,3,12,106,106,12.383221,1760,553,2313,7,0.797894299030304,8.571205139160156,0.5130149722099304,1
Brenntag SE,2023,3,1,118,119,12.00946,1643,801,2444,11,0.3847801685333252,4.749798774719238,0.5749967694282532,1
HOCHTIEF AG,2023,3,10,215,215,11.911878,2007,452,2459,14,0.9418519735336304,7.831623554229736,0.6435248851776123,1
Zumtobel Group AG,2023,1,3,56,56,11.741134,2010,470,2480,10,0.9264817833900452,9.123872756958008,0.6464616060256958,1
Commerzbank AG,2023,8,30,126,126,11.609701,2009,744,2753,30,0.8218628168106079,17.70412254333496,0.5034514665603638,1
Compagnie de l'Odet SE,2023,3,2,62,63,11.45802,1672,1066,2738,2,0.5585184097290039,5.104589462280273,0.5924690365791321,1
Grammer Aktiengesellschaft,2023,4,4,77,77,11.376274,2030,452,2482,8,0.6983430981636047,8.734519004821777,0.5621399879455566,1
NORMA Group SE,2023,4,2,90,91,11.106361,1719,449,2168,6,0.8358222246170044,9.428313255310059,0.5555263161659241,1
