slug,company,company_name_full,report_year,source_md,status,error_stage,error_message,rebuild_index,top_k_requested,w_bm25,w_emb,n_queries,n_index_chunks,n_retrieved_chunks,index_elapsed_s,retrieval_elapsed_s,extraction_elapsed_sum_s,doc_total_elapsed_s,n_llm_calls_ok_x,n_llm_calls_error,coverage_ratio,topk_capped,retrieved_all_chunks,llm_total_elapsed_sum_s,total_prompt_tokens_api_sum,total_completion_tokens_api_sum,total_tokens_api_sum,mean_chunk_tokens_est,n_llm_calls_ok_y,n_rows_normalized_doc,mean_rows_per_retrieved_chunk,max_rows_single_chunk,mean_hybrid_score,mean_bm25_score_raw,mean_emb_score_raw,n_nonzero_chunks,share_nonzero_retrieved_chunks
commerzbank_ag,Commerzbank AG,Commerzbank AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\commerzbank_ag\2023\focused\commerzbank_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,58,12,0.270134,0.605094,108.45912,112.394122,12,0,0.20689655172413793,True,False,108.459121,21225,4900,26125,1348.6666666666667,12,139,11.583333333333334,35,0.7896239111820856,14.254141370455423,0.5340325782696406,6,0.5
banco_santander_s_a,"Banco Santander, S.A.","Banco Santander, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\banco_santander_s_a\2023\focused\banco_santander_s_a_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,24,12,0.167332,0.462373,39.411262,43.449891,12,0,0.5,True,False,39.411263000000005,20949,2674,23623,1325.25,12,44,3.6666666666666665,23,0.6844938198725382,8.26017196973165,0.519052192568779,3,0.25
carrefour,CARREFOUR,CARREFOUR,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\carrefour\2024\focused\carrefour_2024_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,15,12,0.194772,0.44468,43.06551,46.397279,12,0,0.8,True,False,43.065509,19436,3890,23326,1196.0,12,65,5.416666666666667,17,0.5760927498340607,6.835349917411804,0.575378343462944,7,0.5833333333333334
w_stenrot_w_rttembergische_ag,Wüstenrot & Württembergische AG,Wüstenrot & Württembergische AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\w_stenrot_w_rttembergische_ag\2023\focused\w_stenrot_w_rttembergische_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,14,12,0.163508,0.574838,34.477937,38.098529,12,0,0.8571428571428571,True,False,34.477935,20043,3126,23169,1236.6666666666667,12,34,2.8333333333333335,14,0.5000520472725233,5.028301894664764,0.5213599602381388,4,0.3333333333333333
bawag_group_ag,BAWAG Group AG,BAWAG Group AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\bawag_group_ag\2023\focused\bawag_group_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,23,12,0.11616,0.361513,37.417531,41.088697,12,0,0.5217391304347826,True,False,37.417532,20054,3078,23132,1244.8333333333333,12,32,2.6666666666666665,13,0.7995895594358444,9.841935078303019,0.5288950254519781,4,0.3333333333333333
compagnie_de_l_odet_se,Compagnie de l'Odet SE,Compagnie de l'Odet SE,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\compagnie_de_l_odet_se\2023\focused\compagnie_de_l_odet_se_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,12,12,0.170107,0.555115,43.518745,47.16078,12,0,1.0,False,True,43.518746,19864,3058,22922,1229.3333333333333,12,36,3.0,10,0.3807448201502363,5.170093198617299,0.5014190599322319,6,0.5
covestro_ag,Covestro AG,Covestro AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\covestro_ag\2023\focused\covestro_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,14,12,0.184561,0.387198,32.511341,36.197743,12,0,0.8571428571428571,True,False,32.511342,20615,1957,22572,1292.9166666666667,12,37,3.0833333333333335,10,0.6899059216181437,7.936960260073344,0.5860582664608955,6,0.5
deutsche_post_ag,Deutsche Post AG,Deutsche Post AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\deutsche_post_ag\2023\focused\deutsche_post_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,17,12,0.206684,0.466413,37.662169,41.313402,12,0,0.7058823529411765,True,False,37.662171,19502,2777,22279,1197.3333333333333,12,52,4.333333333333333,12,0.707776407400767,7.10916797320048,0.5480427965521812,7,0.5833333333333334
hochtief_ag,HOCHTIEF AG,HOCHTIEF AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\hochtief_ag\2023\focused\hochtief_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,12,12,0.205892,0.452358,95.071137,98.623774,12,0,1.0,False,True,95.071136,17655,4585,22240,1040.75,12,105,8.75,20,0.6584001857166489,5.594394902388255,0.5758427282174429,6,0.5
talanx_aktiengesellschaft,Talanx Aktiengesellschaft,Talanx Aktiengesellschaft,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\talanx_aktiengesellschaft\2023\focused\talanx_aktiengesellschaft_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,14,12,0.162857,0.394471,53.0687,56.394885,12,0,0.8571428571428571,True,False,53.0687,20726,1444,22170,1302.6666666666667,12,16,1.3333333333333333,6,0.7280063101400932,4.362618456284205,0.4816231355071068,4,0.3333333333333333
uniqa_insurance_group_ag,UNIQA Insurance Group AG,UNIQA Insurance Group AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\uniqa_insurance_group_ag\2023\focused\uniqa_insurance_group_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,12,12,0.067893,0.368342,55.853687,59.042759,12,0,1.0,False,True,55.853687,20678,1463,22141,1293.0833333333333,12,19,1.5833333333333333,13,0.5887055372198423,5.154768268267314,0.5228733693559965,2,0.16666666666666666
r_stahl_ag,R. Stahl AG,R. Stahl AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\r_stahl_ag\2023\focused\r_stahl_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,20,12,0.179651,0.510361,33.795002,37.22172,12,0,0.6,True,False,33.795002,19736,2241,21977,1220.0833333333333,12,34,2.8333333333333335,8,0.5951316480835279,7.815585752328237,0.5664106359084448,10,0.8333333333333334
