slug,company,company_name_full,report_year,source_md,status,error_stage,error_message,rebuild_index,top_k_requested,w_bm25,w_emb,n_queries,n_index_chunks,n_retrieved_chunks,index_elapsed_s,retrieval_elapsed_s,extraction_elapsed_sum_s,doc_total_elapsed_s,n_llm_calls_ok_x,n_llm_calls_error,coverage_ratio,topk_capped,retrieved_all_chunks,llm_total_elapsed_sum_s,total_prompt_tokens_api_sum,total_completion_tokens_api_sum,total_tokens_api_sum,mean_chunk_tokens_est,n_llm_calls_ok_y,n_rows_normalized_doc,mean_rows_per_retrieved_chunk,max_rows_single_chunk,mean_hybrid_score,mean_bm25_score_raw,mean_emb_score_raw,n_nonzero_chunks,share_nonzero_retrieved_chunks
commerzbank_ag,Commerzbank AG,Commerzbank AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\commerzbank_ag\2023\focused\commerzbank_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,58,8,0.052398,0.592842,85.563657,88.407301,8,0,0.13793103448275862,True,False,85.56365699999999,14222,4648,18870,1356.875,8,96,12.0,35,0.8636192381381989,16.52405321598053,0.542503334581852,5,0.625
hochtief_ag,HOCHTIEF AG,HOCHTIEF AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\hochtief_ag\2023\focused\hochtief_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,12,8,0.007438,0.380143,80.644755,82.885111,8,0,0.6666666666666666,True,False,80.644757,15016,4430,19446,1447.75,8,105,13.125,20,0.8784893080592155,7.412226438522339,0.6217943131923676,6,0.75
eni_s_p_a,ENI S.P.A.,ENI S.P.A.,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\eni_s_p_a\2024\focused\eni_s_p_a_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,11,8,0.008611,0.392655,72.918652,75.044089,8,0,0.7272727272727273,True,False,72.918652,11464,3302,14766,1006.5,8,63,7.875,18,0.7307847775518894,8.239035934209824,0.5830470025539398,5,0.625
repsol_sa,REPSOL SA.,REPSOL SA.,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\repsol_sa\2024\focused\repsol_sa_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,9,8,0.027348,0.421241,62.591721,64.779962,8,0,0.8888888888888888,True,False,62.591722,12422,3408,15830,1129.875,8,68,8.5,18,0.5132962837815285,6.701807737350464,0.5517661273479462,7,0.875
k_s_aktiengesellschaft,K+S Aktiengesellschaft,K+S Aktiengesellschaft,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\k_s_aktiengesellschaft\2023\focused\k_s_aktiengesellschaft_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,12,8,0.014066,0.350917,57.121384,59.35838,8,0,0.6666666666666666,True,False,57.121383,14187,2533,16720,1342.75,8,14,1.75,6,0.7199198380112648,8.24062430858612,0.6340516209602356,3,0.375
omv_aktiengesellschaft,OMV AKTIENGESELLSCHAFT,OMV AKTIENGESELLSCHAFT,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\omv_aktiengesellschaft\2024\focused\omv_aktiengesellschaft_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,7,7,0.007453,0.355142,57.428362,59.333951,7,0,1.0,False,True,57.428363,11269,3187,14456,1162.142857142857,7,65,9.285714285714286,19,0.480881576027189,5.1143215383802145,0.6058256711278643,6,0.8571428571428571
strabag_se,STRABAG SE,STRABAG SE,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\strabag_se\2023\focused\strabag_se_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,8,8,0.022837,0.40763,54.391956,56.741879,8,0,1.0,False,True,54.391954,13285,2118,15403,1228.625,8,54,6.75,11,0.5891804993152618,4.628214806318283,0.5685764327645302,6,0.75
norma_group_se,NORMA Group SE,NORMA Group SE,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\norma_group_se\2023\focused\norma_group_se_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,12,8,0.024051,0.616943,53.401858,55.994438,8,0,0.6666666666666666,True,False,53.401858000000004,13669,2155,15824,1273.5,8,30,3.75,8,0.7764616012573242,8.274316668510437,0.5592553094029427,6,0.75
prosiebensat_1_media_se,ProSiebenSat.1 Media SE,ProSiebenSat.1 Media SE,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\prosiebensat_1_media_se\2023\focused\prosiebensat_1_media_se_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,7,7,0.009459,0.367204,45.23447,47.274601,7,0,1.0,False,True,45.23447,11803,1922,13725,1246.2857142857142,7,16,2.2857142857142856,14,0.5608338796134505,5.9243814264025,0.4783229444708143,2,0.2857142857142857
talanx_aktiengesellschaft,Talanx Aktiengesellschaft,Talanx Aktiengesellschaft,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\talanx_aktiengesellschaft\2023\focused\talanx_aktiengesellschaft_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,14,8,0.022911,0.623118,43.163594,45.89576,8,0,0.5714285714285714,True,False,43.163594,13540,1399,14939,1263.375,8,16,2.0,6,0.8695481270551682,5.04843482375145,0.5088643133640289,4,0.5
sma_solar_technology_ag,SMA Solar Technology AG,SMA Solar Technology AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\sma_solar_technology_ag\2023\focused\sma_solar_technology_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,17,8,0.027161,0.462951,41.168187,43.62019,8,0,0.47058823529411764,True,False,41.168188,12050,1259,13309,1071.0,8,22,2.75,4,0.8190129324793816,7.0682825446128845,0.6169835478067398,7,0.875
grenke_ag,grenke AG,grenke AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\grenke_ag\2023\focused\grenke_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,10,8,0.018838,0.387872,38.678536,41.017373,8,0,0.8,True,False,38.678535,13945,1054,14999,1315.0,8,18,2.25,5,0.7958733662962914,5.479362398386002,0.5693798288702965,5,0.625
grammer_aktiengesellschaft,Grammer Aktiengesellschaft,Grammer Aktiengesellschaft,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\grammer_aktiengesellschaft\2023\focused\grammer_aktiengesellschaft_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,8,8,0.010551,0.33431,38.443874,40.586515,8,0,1.0,False,True,38.443874,11649,961,12610,1025.5,8,18,2.25,6,0.6216931343078613,7.487555891275406,0.5654734149575233,4,0.5
renault,RENAULT,RENAULT,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\renault\2024\focused\renault_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,7,7,0.019772,0.378368,38.641045,40.566175,7,0,1.0,False,True,38.641045,11423,1437,12860,1201.857142857143,7,20,2.857142857142857,8,0.46360371448099613,4.171152212790081,0.4913756932531084,4,0.5714285714285714
fuchs_se,FUCHS SE,FUCHS SE,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\fuchs_se\2024\focused\fuchs_se_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,6,6,0.020105,0.371712,38.726412,40.39544,6,0,1.0,False,True,38.726411,9094,1277,10371,1181.0,6,19,3.1666666666666665,11,0.5551736454168955,4.857091228167216,0.5851562221844991,5,0.8333333333333334
bilfinger_se,Bilfinger SE,Bilfinger SE,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\bilfinger_se\2023\focused\bilfinger_se_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,10,8,0.016013,0.375209,38.0759,40.39225,8,0,0.8,True,False,38.0759,12441,1436,13877,1132.0,8,23,2.875,7,0.7013389319181442,6.566608667373657,0.6059409603476524,4,0.5
schneider_electric_se,SCHNEIDER ELECTRIC SE,SCHNEIDER ELECTRIC SE,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\schneider_electric_se\2024\focused\schneider_electric_se_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,9,8,0.014393,0.447844,37.750542,39.928787,8,0,0.8888888888888888,True,False,37.750541,11757,3021,14778,1047.375,8,75,9.375,19,0.5280984789133072,5.8457940220832825,0.637882873415947,6,0.75
