slug,company,company_name_full,report_year,source_md,status,error_stage,error_message,rebuild_index,top_k_requested,w_bm25,w_emb,n_queries,n_index_chunks,n_retrieved_chunks,index_elapsed_s,retrieval_elapsed_s,extraction_elapsed_sum_s,doc_total_elapsed_s,n_llm_calls_ok_x,n_llm_calls_error,coverage_ratio,topk_capped,retrieved_all_chunks,llm_total_elapsed_sum_s,total_prompt_tokens_api_sum,total_completion_tokens_api_sum,total_tokens_api_sum,mean_chunk_tokens_est,n_llm_calls_ok_y,n_rows_normalized_doc,mean_rows_per_retrieved_chunk,max_rows_single_chunk,mean_hybrid_score,mean_bm25_score_raw,mean_emb_score_raw,n_nonzero_chunks,share_nonzero_retrieved_chunks
commerzbank_ag,Commerzbank AG,Commerzbank AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\commerzbank_ag\2023\focused\commerzbank_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,58,8,0.052398,0.592842,85.563657,88.407301,8,0,0.13793103448275862,True,False,85.56365699999999,14222,4648,18870,1356.875,8,96,12.0,35,0.8636192381381989,16.52405321598053,0.542503334581852,5,0.625
renta_4_banco_s_a,"Renta 4 Banco, S.A.","Renta 4 Banco, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\renta_4_banco_s_a\2023\focused\renta_4_banco_s_a_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,27,8,0.019189,0.416996,15.18338,17.675458,8,0,0.2962962962962963,True,False,15.18338,12732,348,13080,1147.75,8,0,0.0,0,0.7643240690231323,7.820871114730835,0.48363806307315826,0,0.0
banco_santander_s_a,"Banco Santander, S.A.","Banco Santander, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\banco_santander_s_a\2023\focused\banco_santander_s_a_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,24,8,0.013605,0.422201,20.620591,23.048155,8,0,0.3333333333333333,True,False,20.620591,13443,1518,14961,1258.875,8,14,1.75,7,0.7150308638811111,9.214658200740814,0.5196572728455067,2,0.25
bawag_group_ag,BAWAG Group AG,BAWAG Group AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\bawag_group_ag\2023\focused\bawag_group_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,23,8,0.019103,0.404757,22.562887,25.096526,8,0,0.34782608695652173,True,False,22.562887,12911,1298,14209,1192.0,8,12,1.5,6,0.8712974935770035,11.096707224845886,0.5331853926181793,2,0.25
aena_s_m_e_s_a,"Aena S.M.E., S.A.","Aena S.M.E., S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\aena_s_m_e_s_a\2023\focused\aena_s_m_e_s_a_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,22,8,0.014119,0.47354,18.10862,21.128633,8,0,0.36363636363636365,True,False,18.108621,12957,2046,15003,1185.5,8,50,6.25,12,0.7379582226276398,9.556645631790161,0.6176375672221184,5,0.625
r_stahl_ag,R. Stahl AG,R. Stahl AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\r_stahl_ag\2023\focused\r_stahl_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,20,8,0.029731,0.497452,20.600229,23.023738,8,0,0.4,True,False,20.60023,14337,1231,15568,1368.0,8,23,2.875,8,0.6664848141372204,10.269440770149231,0.5830773934721947,6,0.75
bmw_ag_vz,BMW AG Vz,BMW AG Vz,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\bmw_ag_vz\2023\focused\bmw_ag_vz_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,19,8,0.015512,0.441532,16.398846,18.86664,8,0,0.42105263157894735,True,False,16.398847,13644,800,14444,1280.25,8,10,1.25,3,0.7261403426527977,10.500102818012238,0.5480372905731201,4,0.5
acerinox_s_a,Acerinox S.A.,Acerinox S.A.,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\acerinox_s_a\2023\focused\acerinox_s_a_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,18,8,0.012962,0.40817,19.093098,21.282377,8,0,0.4444444444444444,True,False,19.093099,13196,793,13989,1222.0,8,5,0.625,2,0.7073392868041992,8.149503290653229,0.5734481662511826,4,0.5
allianz_se,Allianz SE,Allianz SE,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\allianz_se\2023\focused\allianz_se_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,17,8,0.009207,0.410586,37.38879,39.748005,8,0,0.47058823529411764,True,False,37.38879,13843,1452,15295,1316.375,8,22,2.75,16,0.7703738734126091,7.493092238903046,0.5284421890974045,2,0.25
deutsche_post_ag,Deutsche Post AG,Deutsche Post AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\deutsche_post_ag\2023\focused\deutsche_post_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,17,8,0.016462,0.413903,20.362686,22.716924,8,0,0.47058823529411764,True,False,20.362686,13267,1472,14739,1231.25,8,38,4.75,11,0.8096998557448387,8.275695979595184,0.5768127217888832,6,0.75
