slug,company,company_name_full,report_year,source_md,status,error_stage,error_message,rebuild_index,top_k_requested,w_bm25,w_emb,n_queries,n_index_chunks,n_retrieved_chunks,index_elapsed_s,retrieval_elapsed_s,extraction_elapsed_sum_s,doc_total_elapsed_s,n_llm_calls_ok_x,n_llm_calls_error,coverage_ratio,topk_capped,retrieved_all_chunks,llm_total_elapsed_sum_s,total_prompt_tokens_api_sum,total_completion_tokens_api_sum,total_tokens_api_sum,mean_chunk_tokens_est,n_llm_calls_ok_y,n_rows_normalized_doc,mean_rows_per_retrieved_chunk,max_rows_single_chunk,mean_hybrid_score,mean_bm25_score_raw,mean_emb_score_raw,n_nonzero_chunks,share_nonzero_retrieved_chunks
hochtief_ag,HOCHTIEF AG,HOCHTIEF AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\hochtief_ag\2023\focused\hochtief_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,12,8,0.007438,0.380143,80.644755,82.885111,8,0,0.6666666666666666,True,False,80.644757,15016,4430,19446,1447.75,8,105,13.125,20,0.8784893080592155,7.412226438522339,0.6217943131923676,6,0.75
commerzbank_ag,Commerzbank AG,Commerzbank AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\commerzbank_ag\2023\focused\commerzbank_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,58,8,0.052398,0.592842,85.563657,88.407301,8,0,0.13793103448275862,True,False,85.56365699999999,14222,4648,18870,1356.875,8,96,12.0,35,0.8636192381381989,16.52405321598053,0.542503334581852,5,0.625
acs_actividades_de_construcci_n_y_servicios_s_a,"ACS, Actividades de Construcción y Servicios, S.A.","ACS, Actividades de Construcción y Servicios, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\acs_actividades_de_construcci_n_y_servicios_s_a\2023\focused\acs_actividades_de_construcci_n_y_servicios_s_a_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,14,8,0.012636,0.389641,24.73524,26.927255,8,0,0.5714285714285714,True,False,24.735238,11613,3094,14707,1015.0,8,94,11.75,21,0.651660855859518,6.665026962757111,0.6826629787683487,5,0.625
schneider_electric_se,SCHNEIDER ELECTRIC SE,SCHNEIDER ELECTRIC SE,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\schneider_electric_se\2024\focused\schneider_electric_se_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,9,8,0.014393,0.447844,37.750542,39.928787,8,0,0.8888888888888888,True,False,37.750541,11757,3021,14778,1047.375,8,75,9.375,19,0.5280984789133072,5.8457940220832825,0.637882873415947,6,0.75
repsol_sa,REPSOL SA.,REPSOL SA.,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\repsol_sa\2024\focused\repsol_sa_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,9,8,0.027348,0.421241,62.591721,64.779962,8,0,0.8888888888888888,True,False,62.591722,12422,3408,15830,1129.875,8,68,8.5,18,0.5132962837815285,6.701807737350464,0.5517661273479462,7,0.875
omv_aktiengesellschaft,OMV AKTIENGESELLSCHAFT,OMV AKTIENGESELLSCHAFT,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\omv_aktiengesellschaft\2024\focused\omv_aktiengesellschaft_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,7,7,0.007453,0.355142,57.428362,59.333951,7,0,1.0,False,True,57.428363,11269,3187,14456,1162.142857142857,7,65,9.285714285714286,19,0.480881576027189,5.1143215383802145,0.6058256711278643,6,0.8571428571428571
eni_s_p_a,ENI S.P.A.,ENI S.P.A.,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\eni_s_p_a\2024\focused\eni_s_p_a_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,11,8,0.008611,0.392655,72.918652,75.044089,8,0,0.7272727272727273,True,False,72.918652,11464,3302,14766,1006.5,8,63,7.875,18,0.7307847775518894,8.239035934209824,0.5830470025539398,5,0.625
porr_ag,PORR AG,PORR AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\porr_ag\2023\focused\porr_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,8,8,0.010779,0.401146,25.422329,27.747324,8,0,1.0,False,True,25.422329,13778,2954,16732,1297.375,8,62,7.75,22,0.4744952879846096,6.916545253247023,0.5168570652604103,3,0.375
shell_plc,SHELL PLC,SHELL PLC,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\shell_plc\2024\focused\shell_plc_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,8,8,0.027018,0.42116,21.255211,23.458692,8,0,1.0,False,True,21.255211,12009,2195,14204,1094.625,8,58,7.25,18,0.6462257876992226,4.635638862848282,0.5922328606247902,5,0.625
strabag_se,STRABAG SE,STRABAG SE,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\strabag_se\2023\focused\strabag_se_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,8,8,0.022837,0.40763,54.391956,56.741879,8,0,1.0,False,True,54.391954,13285,2118,15403,1228.625,8,54,6.75,11,0.5891804993152618,4.628214806318283,0.5685764327645302,6,0.75
