company,report_year,retrieval_rank,chunk_id,start_page,end_page,elapsed_s,prompt_tokens_api,completion_tokens_api,total_tokens_api,n_rows_normalized,retrieval_score_hybrid,retrieval_score_bm25_raw,retrieval_score_emb_raw,attempt_used
Commerzbank AG,2023,5,55,181,182,25.484796,1918,1499,3417,14,0.854264497756958,15.32559871673584,0.5661762356758118,1
HOCHTIEF AG,2023,1,9,214,214,16.428026,2015,925,2940,19,0.9868148565292358,8.129310607910156,0.6535096168518066,1
ENI S.P.A.,2024,1,5,246,246,16.365643,1673,702,2375,16,0.979720413684845,11.414629936218262,0.6021365523338318,1
K+S Aktiengesellschaft,2023,4,11,106,106,15.89422,2028,1022,3050,0,0.6703618168830872,8.111103057861328,0.6130286455154419,1
ENI S.P.A.,2024,2,9,250,250,15.210732,1695,777,2472,18,0.979379415512085,11.356273651123047,0.6043012738227844,1
ProSiebenSat.1 Media SE,2023,1,3,72,72,14.922754,2035,942,2977,14,0.9628900289535522,8.915435791015625,0.6232548356056213,1
HOCHTIEF AG,2023,7,2,210,210,14.633168,2014,1037,3051,20,0.7893799543380737,6.4560136795043945,0.6279966831207275,1
Commerzbank AG,2023,1,38,161,161,14.322004,2023,963,2986,35,0.9473885893821716,19.191137313842773,0.5375285744667053,1
OMV AKTIENGESELLSCHAFT,2024,6,4,167,167,14.225213,1680,940,2620,19,0.2633218467235565,2.5084035396575928,0.6276379227638245,1
REPSOL SA.,2024,3,4,377,377,13.917969,1992,940,2932,18,0.6176680326461792,6.585364818572998,0.5948868989944458,1
Allianz SE,2023,1,14,107,107,13.870974,1884,876,2760,16,0.8808917999267578,8.788928031921387,0.5241337418556213,1
ProSiebenSat.1 Media SE,2023,4,1,69,70,13.691097,1769,800,2569,2,0.7979840040206909,7.484415054321289,0.5801833271980286,1
HOCHTIEF AG,2023,6,6,212,212,13.585258,2015,873,2888,19,0.8614858984947205,7.262195587158203,0.6201192736625671,1
K+S Aktiengesellschaft,2023,5,10,106,106,13.409403,1993,697,2690,0,0.5953166484832764,6.861464977264404,0.6121530532836914,1
ENI S.P.A.,2024,3,7,248,248,12.8732,1829,809,2638,16,0.9771853685379028,11.080464363098145,0.6141862869262695,1
Brenntag SE,2023,4,1,118,119,12.859981,1643,685,2328,11,0.36926624178886414,4.749798774719238,0.5749967694282532,1
Commerzbank AG,2023,2,36,152,152,12.834423,2014,811,2825,27,0.8729250431060791,17.968576431274414,0.5124770998954773,1
SCHNEIDER ELECTRIC SE,2024,8,2,194,194,12.587882,1447,772,2219,16,0.3753340244293213,4.434182643890381,0.6063891649246216,1
LACROIX Group,2023,1,2,73,73,12.110961,2027,744,2771,15,0.9865921139717102,9.459521293640137,0.5761209726333618,1
HOCHTIEF AG,2023,3,4,211,211,11.99896,2057,661,2718,18,0.9386897087097168,7.5198163986206055,0.6650636196136475,1
Commerzbank AG,2023,8,52,177,178,11.954573,1818,705,2523,13,0.8119862675666809,14.715507507324219,0.5497955083847046,1
Commerzbank AG,2023,7,53,179,180,11.601631,1292,574,1866,7,0.8362809419631958,15.343912124633789,0.5520772337913513,1
OMV AKTIENGESELLSCHAFT,2024,4,5,167,168,11.044984,1661,422,2083,9,0.5449652671813965,4.357320308685303,0.6606737971305847,1
Talanx Aktiengesellschaft,2023,8,11,102,103,11.038007,1729,379,2108,6,0.7670945525169373,5.201137542724609,0.4268075227737427,1
SCHNEIDER ELECTRIC SE,2024,7,5,198,198,10.843791,1441,615,2056,16,0.397746205329895,4.4596171379089355,0.621357262134552,1
