slug,company,company_name_full,report_year,source_md,status,error_stage,error_message,rebuild_index,top_k_requested,w_bm25,w_emb,n_queries,n_index_chunks,n_retrieved_chunks,index_elapsed_s,retrieval_elapsed_s,extraction_elapsed_sum_s,doc_total_elapsed_s,n_llm_calls_ok_x,n_llm_calls_error,coverage_ratio,topk_capped,retrieved_all_chunks,llm_total_elapsed_sum_s,total_prompt_tokens_api_sum,total_completion_tokens_api_sum,total_tokens_api_sum,mean_chunk_tokens_est,n_llm_calls_ok_y,n_rows_normalized_doc,mean_rows_per_retrieved_chunk,max_rows_single_chunk,mean_hybrid_score,mean_bm25_score_raw,mean_emb_score_raw,n_nonzero_chunks,share_nonzero_retrieved_chunks
hochtief_ag,HOCHTIEF AG,HOCHTIEF AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\hochtief_ag\2023\focused\hochtief_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,12,8,0.007438,0.380143,80.644755,82.885111,8,0,0.6666666666666666,True,False,80.644757,15016,4430,19446,1447.75,8,105,13.125,20,0.8784893080592155,7.412226438522339,0.6217943131923676,6,0.75
commerzbank_ag,Commerzbank AG,Commerzbank AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\commerzbank_ag\2023\focused\commerzbank_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,58,8,0.052398,0.592842,85.563657,88.407301,8,0,0.13793103448275862,True,False,85.56365699999999,14222,4648,18870,1356.875,8,96,12.0,35,0.8636192381381989,16.52405321598053,0.542503334581852,5,0.625
w_stenrot_w_rttembergische_ag,Wüstenrot & Württembergische AG,Wüstenrot & Württembergische AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\w_stenrot_w_rttembergische_ag\2023\focused\w_stenrot_w_rttembergische_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,14,8,0.026128,0.437754,25.780368,28.149815,8,0,0.5714285714285714,True,False,25.780367000000002,14279,2778,17057,1354.75,8,37,4.625,14,0.5900183096528053,5.908460319042206,0.5295206308364868,4,0.5
porr_ag,PORR AG,PORR AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\porr_ag\2023\focused\porr_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,8,8,0.010779,0.401146,25.422329,27.747324,8,0,1.0,False,True,25.422329,13778,2954,16732,1297.375,8,62,7.75,22,0.4744952879846096,6.916545253247023,0.5168570652604103,3,0.375
k_s_aktiengesellschaft,K+S Aktiengesellschaft,K+S Aktiengesellschaft,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\k_s_aktiengesellschaft\2023\focused\k_s_aktiengesellschaft_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,12,8,0.014066,0.350917,57.121384,59.35838,8,0,0.6666666666666666,True,False,57.121383,14187,2533,16720,1342.75,8,14,1.75,6,0.7199198380112648,8.24062430858612,0.6340516209602356,3,0.375
jungheinrich_ag,Jungheinrich AG,Jungheinrich AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\jungheinrich_ag\2023\focused\jungheinrich_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,10,8,0.022327,0.429195,27.801395,30.264177,8,0,0.8,True,False,27.801395,13711,2860,16571,1283.625,8,40,5.0,8,0.540552407503128,4.98279282450676,0.6341046988964081,6,0.75
patrizia_se,PATRIZIA SE,PATRIZIA SE,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\patrizia_se\2023\focused\patrizia_se_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,12,8,0.024275,0.468523,22.282598,24.667662,8,0,0.6666666666666666,True,False,22.282598,14394,1808,16202,1377.375,8,26,3.25,14,0.747364453971386,6.9640191197395325,0.5460652559995651,2,0.25
covestro_ag,Covestro AG,Covestro AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\covestro_ag\2023\focused\covestro_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,14,8,0.010279,0.639156,18.661388,21.170301,8,0,0.5714285714285714,True,False,18.661388,14482,1441,15923,1385.375,8,30,3.75,11,0.7177891954779625,9.323531091213226,0.5930373035371304,4,0.5
repsol_sa,REPSOL SA.,REPSOL SA.,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\repsol_sa\2024\focused\repsol_sa_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,9,8,0.027348,0.421241,62.591721,64.779962,8,0,0.8888888888888888,True,False,62.591722,12422,3408,15830,1129.875,8,68,8.5,18,0.5132962837815285,6.701807737350464,0.5517661273479462,7,0.875
norma_group_se,NORMA Group SE,NORMA Group SE,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\norma_group_se\2023\focused\norma_group_se_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,12,8,0.024051,0.616943,53.401858,55.994438,8,0,0.6666666666666666,True,False,53.401858000000004,13669,2155,15824,1273.5,8,30,3.75,8,0.7764616012573242,8.274316668510437,0.5592553094029427,6,0.75
