slug,company,company_name_full,report_year,source_md,status,error_stage,error_message,rebuild_index,top_k_requested,w_bm25,w_emb,n_queries,n_index_chunks,n_retrieved_chunks,index_elapsed_s,retrieval_elapsed_s,extraction_elapsed_sum_s,doc_total_elapsed_s,n_llm_calls_ok,n_llm_calls_error
a_p_moller_maersk_a_s,A P MOLLER-MAERSK A/S,A P MOLLER-MAERSK A/S,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\a_p_moller_maersk_a_s\2024\focused\a_p_moller_maersk_a_s_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,7,7,0.006466,2.036235,16.829748,20.373637,7,0
ab_volvo,AB VOLVO,AB VOLVO,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\ab_volvo\2024\focused\ab_volvo_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,8,8,0.008244,0.339555,16.223448,18.297499,8,0
acs_actividades_de_construcci_n_y_servicios_s_a,"ACS, Actividades de Construcción y Servicios, S.A.","ACS, Actividades de Construcción y Servicios, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\acs_actividades_de_construcci_n_y_servicios_s_a\2023\focused\acs_actividades_de_construcci_n_y_servicios_s_a_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,14,8,0.012636,0.389641,24.73524,26.927255,8,0
aib_group_plc,AIB Group plc,AIB Group plc,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\aib_group_plc\2023\focused\aib_group_plc_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,14,8,0.016451,0.458242,18.295279,20.825717,8,0
airbus_se,AIRBUS SE,AIRBUS SE,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\airbus_se\2024\focused\airbus_se_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,7,7,0.023592,0.414253,31.511549,33.43233,7,0
akwel,AKWEL,AKWEL,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\akwel\2023\focused\akwel_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,9,8,0.011426,0.362038,18.548818,20.757692,8,0
akzo_nobel_nv,AKZO NOBEL NV,AKZO NOBEL NV,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\akzo_nobel_nv\2024\focused\akzo_nobel_nv_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,4,4,0.016917,0.376244,9.56824,10.850503,4,0
amag_austria_metall_ag,AMAG Austria Metall AG,AMAG Austria Metall AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\amag_austria_metall_ag\2023\focused\amag_austria_metall_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,5,5,0.01053,0.361149,20.432729,21.900305,5,0
arcelormittal_sa,ARCELORMITTAL SA,ARCELORMITTAL SA,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\arcelormittal_sa\2024\focused\arcelormittal_sa_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,5,5,0.015463,0.337413,13.070808,14.50289,5,0
asml_holding_n_v,ASML HOLDING N.V.,ASML HOLDING N.V.,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\asml_holding_n_v\2024\focused\asml_holding_n_v_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,5,5,0.00831,0.341269,12.332523,13.756279,5,0
atoss_software_se,ATOSS Software SE,ATOSS Software SE,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\atoss_software_se\2023\focused\atoss_software_se_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,4,4,0.012814,0.394329,9.543444,10.815486,4,0
acerinox_s_a,Acerinox S.A.,Acerinox S.A.,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\acerinox_s_a\2023\focused\acerinox_s_a_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,18,8,0.012962,0.40817,19.093098,21.282377,8,0
ackermans_van_haaren,Ackermans & van Haaren,Ackermans & van Haaren,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\ackermans_van_haaren\2023\focused\ackermans_van_haaren_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,5,5,0.004697,1.922436,10.067594,13.127324,5,0
aena_s_m_e_s_a,"Aena S.M.E., S.A.","Aena S.M.E., S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\aena_s_m_e_s_a\2023\focused\aena_s_m_e_s_a_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,22,8,0.014119,0.47354,18.10862,21.128633,8,0
agrana_beteiligungs_ag,Agrana Beteiligungs-AG,Agrana Beteiligungs-AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\agrana_beteiligungs_ag\2023\focused\agrana_beteiligungs_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,5,5,0.013279,0.348406,9.226099,10.738498,5,0
allianz_se,Allianz SE,Allianz SE,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\allianz_se\2023\focused\allianz_se_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,17,8,0.009207,0.410586,37.38879,39.748005,8,0
alzchem_group_ag,Alzchem Group AG,Alzchem Group AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\alzchem_group_ag\2023\focused\alzchem_group_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,9,8,0.013513,0.382807,19.938923,22.253548,8,0
