slug,company,company_name_full,report_year,source_md,chunk_index,n_chunks,start_page,end_page,chunk_tokens_est,prompt_tokens_est,elapsed_s,status,error_message,attempt_used,prompt_tokens_api,completion_tokens_api,total_tokens_api,n_activities_raw,n_rows_normalized
a_p_moller_maersk_a_s,A P MOLLER-MAERSK A/S,A P MOLLER-MAERSK A/S,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\a_p_moller_maersk_a_s\2024\focused\a_p_moller_maersk_a_s_2024_taxonomy_focused.md,1,1,95,101,7776,8207,4.884872,ok,,1,8132,419,8551,9,9
ab_volvo,AB VOLVO,AB VOLVO,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\ab_volvo\2024\focused\ab_volvo_2024_taxonomy_focused.md,1,1,163,169,7803,8218,2.733134,ok,,1,8009,178,8187,4,4
acs_actividades_de_construcci_n_y_servicios_s_a,"ACS, Actividades de Construcción y Servicios, S.A.","ACS, Actividades de Construcción y Servicios, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\acs_actividades_de_construcci_n_y_servicios_s_a\2023\focused\acs_actividades_de_construcci_n_y_servicios_s_a_2023_taxonomy_focused.md,1,1,381,396,17944,18379,5.34171,ok,,1,18133,823,18956,21,21
aib_group_plc,AIB Group plc,AIB Group plc,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\aib_group_plc\2023\focused\aib_group_plc_2023_taxonomy_focused.md,1,1,65,333,21547,21964,4.959162,ok,,1,21930,406,22336,19,19
airbus_se,AIRBUS SE,AIRBUS SE,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\airbus_se\2024\focused\airbus_se_2024_taxonomy_focused.md,1,1,199,205,7241,7656,4.083679,ok,,1,7611,287,7898,5,5
akwel,AKWEL,AKWEL,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\akwel\2023\focused\akwel_2023_taxonomy_focused.md,1,1,92,101,10110,10525,4.467337,ok,,1,10502,273,10775,7,7
akzo_nobel_nv,AKZO NOBEL NV,AKZO NOBEL NV,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\akzo_nobel_nv\2024\focused\akzo_nobel_nv_2024_taxonomy_focused.md,1,1,49,55,4269,4688,38.892015,ok,,1,4677,403,5080,11,11
amag_austria_metall_ag,AMAG Austria Metall AG,AMAG Austria Metall AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\amag_austria_metall_ag\2023\focused\amag_austria_metall_ag_2023_taxonomy_focused.md,1,1,31,36,7300,7721,4.540702,ok,,1,7671,233,7904,3,3
arcelormittal_sa,ARCELORMITTAL SA,ARCELORMITTAL SA,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\arcelormittal_sa\2024\focused\arcelormittal_sa_2024_taxonomy_focused.md,1,1,63,69,6267,6688,4.025164,ok,,1,6671,396,7067,6,6
asml_holding_n_v,ASML HOLDING N.V.,ASML HOLDING N.V.,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\asml_holding_n_v\2024\focused\asml_holding_n_v_2024_taxonomy_focused.md,1,1,253,260,6297,6717,9.310152,ok,,1,6679,502,7181,11,11
