company,bench_rows,rag_rows,matched_rows,unmatched_bench_rows,distinct_steps,step1,step2,step3,step4,score
OMV AKTIENGESELLSCHAFT,30,32,30,0,1,30,0,0,0,40.5
Bilfinger SE,26,29,26,0,2,24,2,0,0,36.8
E.ON SE,23,32,23,0,2,22,0,1,0,32.9
OMV AG,21,25,21,0,3,11,8,2,0,31.8
STRABAG SE,20,22,20,0,3,16,3,1,0,30.5
GEA Group Aktiengesellschaft,22,23,22,0,1,0,22,0,0,30.1
"ACS, Actividades de Construcción y Servicios, S.A.",18,21,17,1,2,16,0,1,0,28.4
SCHNEIDER ELECTRIC SE,19,19,19,0,1,19,0,0,0,26.2
PORR AG,16,17,16,0,2,13,3,0,0,23.8
REPSOL SA.,16,16,16,0,1,16,0,0,0,22.3
PVA TePla AG,19,11,11,8,1,11,0,0,0,21.2
Covestro AG,14,15,14,0,2,10,4,0,0,21.2
ENI S.P.A.,15,21,15,0,1,15,0,0,0,21.0
Savencia,13,14,13,0,2,0,12,1,0,19.9
"Aena S.M.E., S.A.",12,12,12,0,2,10,2,0,0,18.6
FUCHS SE,12,12,12,0,2,11,0,1,0,18.6
SHELL PLC,13,13,13,0,1,0,13,0,0,18.4
EnBW Energie Baden-Württemberg AG,10,11,9,1,2,8,0,1,0,18.0
technotrans SE,11,11,10,1,1,10,0,0,0,17.8
Ackermans & van Haaren,13,9,9,4,1,0,0,9,0,17.4
AKZO NOBEL NV,11,11,11,0,2,10,1,0,0,17.3
Beiersdorf AG,11,11,11,0,2,7,4,0,0,17.3
Fraport AG,11,11,11,0,2,7,4,0,0,17.3
SAFRAN,11,11,11,0,2,10,0,1,0,17.3
Bayer AG,11,8,8,3,2,7,0,1,0,17.3
KONINKLIJKE AHOLD DELHAIZE N.V.,12,12,12,0,1,12,0,0,0,17.1
freenet AG,9,9,9,0,3,7,0,1,1,16.2
Flughafen Wien AG,10,10,10,0,2,8,2,0,0,16.0
HEINEKEN HOLDING N.V.,10,10,10,0,2,0,9,1,0,16.0
HOCHTIEF AG,10,19,10,0,2,8,2,0,0,16.0
Brenntag SE,11,11,11,0,1,11,0,0,0,15.8
Compagnie de l'Odet SE,11,12,11,0,1,0,11,0,0,15.8
Deutsche Post AG,11,14,11,0,1,11,0,0,0,15.8
Rheinmetall AG,11,29,11,0,1,11,0,0,0,15.8
ProSiebenSat.1 Media SE,10,8,8,2,1,8,0,0,0,15.5
Alzchem Group AG,9,11,8,1,1,8,0,0,0,15.2
Dürr AG,9,9,8,1,1,0,0,8,0,15.2
Deutz AG,10,10,10,0,1,10,0,0,0,14.5
GALP ENERGIA SGPS S.A.,10,10,10,0,1,10,0,0,0,14.5
VERBUND AG,10,12,10,0,1,10,0,0,0,14.5
