company,report_year,activity,label,code_numeric
1&1 AG,2023,,,
A P MOLLER-MAERSK A/S,2024,Sea and coastal freight water transport,CCM,6.10
A P MOLLER-MAERSK A/S,2024,Retrofitting of sea and coastal freight and passenger water transport,CCM,6.12
A P MOLLER-MAERSK A/S,2024,Infrastructure enabling low-carbon water transport,CCM,6.16
A P MOLLER-MAERSK A/S,2024,Passenger and freight air transport,CCM,6.19
A P MOLLER-MAERSK A/S,2024,Freight rail transport,CCM,6.2
A P MOLLER-MAERSK A/S,2024,Freight transport services by road,CCM,6.6
A P MOLLER-MAERSK A/S,2024,"Installation, maintenance and repair of charging stations",CCM,7.4
A P MOLLER-MAERSK A/S,2024,"Installation, maintenance and repair of renewable energy technologies",CCM,7.6
A P MOLLER-MAERSK A/S,2024,Acquisition and ownership of buildings,CCM,7.7
AB VOLVO,2024,Manufacture of automotive and mobility components,CCM,3.18
AB VOLVO,2024,Manufacture of low carbon technology for transportation,CCM,3.3
AB VOLVO,2024,Manufacturing of batteries,CCM,3.4
AB VOLVO,2024,Manufacture of other low-carbon technologies,CCM,3.6
ABB LTD,2024,,,
"ACS, Actividades de Construcción y Servicios, S.A.",2023,,,
AIB Group plc,2023,Support activities for animal production,,A1.6.2
AIB Group plc,2023,Manufacture of paper and paperboard,,C17.1.2
AIB Group plc,2023,Manufacture of basic pharmaceutical products,,C21.1.0
AIB Group plc,2023,Manufacture of electronic components,,C26.1.1
AIB Group plc,2023,Manufacture of other general-purpose machinery,,C28.2.9
AIB Group plc,2023,Other manufacturing,,C32.9.9
AIB Group plc,2023,Development of building projects,,F41.1.0
AIB Group plc,2023,Construction of roads and motorways,,F42.1.1
AIB Group plc,2023,Construction of other civil engineering projects,,F42.9.9
AIB Group plc,2023,Dispensing chemist in specialised stores,,G47.7.3
AIB Group plc,2023,Passenger air transport,,H51.1.0
AIB Group plc,2023,Other transportation support activities,,H52.2.9
AIB Group plc,2023,Hotels and similar accommodation,,I55.1.0
AIB Group plc,2023,Other telecommunications activities,,J61.9.0
AIB Group plc,2023,Computer programming activities,,J62.0.1
AIB Group plc,2023,Hospital activities,,Q86.1.0
AIB Group plc,2023,Other human health activities,,Q86.9.0
AIB Group plc,2023,Gambling and betting activities,,R92.0.0
AIB Group plc,2023,Activities of other membership organisations,,S94.9.9
AIRBUS SE,2024,Manufacturing of aircraft,CCM,3.21
AIRBUS SE,2024,Production of heat and cool from bioenergy,CCM,4.24
AIRBUS SE,2024,"Installation, maintenance and repair of energy efficiency equipment",CCM,7.3
AIRBUS SE,2024,"Installation, maintenance and repair of renewable energy technologies",CCM,7.6
AIRBUS SE,2024,"Data processing, hosting and related activities",CCM,8.1
AIRBUS SE,2024,construction and safe operation of new nuclear installations,,
AIRBUS SE,2024,construction or operation of electricity generation facilities using fossil gaseous fuels,,
AIRBUS SE,2024,"construction, refurbishment and operation of heat generation facilities using fossil gaseous fuels",,
AIRBUS SE,2024,"construction, refurbishment, and operation of combined heat/cool and power generation facilities using fossil gaseous fuels",,
AIRBUS SE,2024,"research, development, demonstration and deployment of innovative electricity generation facilities (nuclear)",,
AIRBUS SE,2024,safe operation of existing nuclear installations,,
AKWEL,2023,Manufacture of automotive and mobility components,,3.18
AKWEL,2023,"Repair, refurbishment and remanufacturing",,5.1
AKWEL,2023,Sale of spare parts,,5.2
AKWEL,2023,"Transport by motorbikes, passenger cars and light commercial vehicles",,6.5
AKWEL,2023,Renovation of existing buildings,,7.2
AKWEL,2023,"Installation, maintenance and repair of energy efficiency equipment",,7.3
AKWEL,2023,Acquisition and ownership of buildings,,7.7
AKZO NOBEL NV,2024,Remediation of contaminated sites and areas,,2.4
AKZO NOBEL NV,2024,Manufacture of renewable energy technologies,,3.1
AKZO NOBEL NV,2024,Manufacture of low carbon technologies for transport,,3.3
AKZO NOBEL NV,2024,Manufacture of other low carbon technologies,,3.6
AKZO NOBEL NV,2024,Provision of IT/OT data-driven solutions,,4.1
AKZO NOBEL NV,2024,"Construction, extension and operation of waste water collection and treatment",,5.3
AKZO NOBEL NV,2024,"Transport by motorbikes, passenger cars and light commercial vehicles",,6.5
AKZO NOBEL NV,2024,Renovation of existing buildings,,7.2
AKZO NOBEL NV,2024,"Installation, maintenance and repair of renewable energy technologies",,7.6
AKZO NOBEL NV,2024,Acquisition and ownership of buildings,,7.7
AKZO NOBEL NV,2024,Data-driven solutions for GHG emissions reductions,,8.2
AKZO NOBEL NV,2024,Manufacturing paints and coatings,,C20.3
AKZO NOBEL NV,2024,Manufacture of renewable energy technologies,CCM,3.1
AKZO NOBEL NV,2024,Manufacture of low carbon technologies for transport,CCM,3.3
AKZO NOBEL NV,2024,Manufacture of other low carbon technologies,CCM,3.6
AKZO NOBEL NV,2024,"Construction, extension and operation of waste water collection and treatment",CCM,5.3
AKZO NOBEL NV,2024,"Transport by motorbikes, passenger cars and light commercial vehicles",CCM,6.5
