slug,company,report_year,n_chunks_declared,pass1_calls_ok,pass1_calls_error,pass2_calls_ok,pass2_calls_error,pass1_elapsed_sum_s,pass2_elapsed_sum_s,llm_total_elapsed_sum_s,pass1_prompt_tokens_api_sum,pass2_prompt_tokens_api_sum,total_prompt_tokens_api_sum,pass1_completion_tokens_api_sum,pass2_completion_tokens_api_sum,total_completion_tokens_api_sum,pass1_total_tokens_api_sum,pass2_total_tokens_api_sum,total_tokens_api_sum,n_evidence_rows_doc,n_rows_normalized_doc,max_attempt_used,status_like
carrefour,CARREFOUR,2024,25.0,25.0,0.0,1.0,0.0,204.368337,14.427154,218.795491,499475.0,1997.0,501472.0,3007.0,926.0,3933.0,502482.0,2923.0,505405.0,37.0,25.0,1.0,ok
banco_santander_s_a,"Banco Santander, S.A.",2023,6.0,6.0,0.0,1.0,0.0,156.876436,10.345861,167.22229700000003,106234.0,1050.0,107284.0,1200.0,689.0,1889.0,107434.0,1739.0,109173.0,7.0,7.0,1.0,ok
aena_s_m_e_s_a,"Aena S.M.E., S.A.",2023,5.0,5.0,0.0,1.0,0.0,110.722837,22.365246,133.08808299999998,91385.0,3774.0,95159.0,4504.0,1554.0,6058.0,95889.0,5328.0,101217.0,48.0,27.0,2.0,ok
bilfinger_se,Bilfinger SE,2023,3.0,3.0,0.0,1.0,0.0,91.437509,28.035475,119.47298400000001,56316.0,3725.0,60041.0,3053.0,1643.0,4696.0,59369.0,5368.0,64737.0,44.0,44.0,2.0,ok
porr_ag,PORR AG,2023,4.0,4.0,0.0,1.0,0.0,98.24166000000001,16.159834,114.40149400000001,68699.0,3701.0,72400.0,3767.0,1057.0,4824.0,72466.0,4758.0,77224.0,60.0,19.0,2.0,ok
e_on_se,E.ON SE,2023,6.0,6.0,0.0,1.0,0.0,95.51922900000001,18.236382,113.75561100000002,123595.0,3230.0,126825.0,3596.0,1240.0,4836.0,127191.0,4470.0,131661.0,39.0,34.0,1.0,ok
evonik_industries_ag,Evonik Industries AG,2023,3.0,3.0,0.0,1.0,0.0,79.200887,21.05171,100.252597,52861.0,2563.0,55424.0,2916.0,1318.0,4234.0,55777.0,3881.0,59658.0,27.0,27.0,1.0,ok
facc_ag,FACC AG,2023,6.0,6.0,0.0,0.0,0.0,84.122476,0.0,84.122476,106201.0,0.0,106201.0,210.0,0.0,210.0,106411.0,0.0,106411.0,0.0,0.0,1.0,empty
aib_group_plc,AIB Group plc,2023,4.0,4.0,0.0,1.0,0.0,38.936554,41.607321,80.543875,74467.0,1692.0,76159.0,1760.0,678.0,2438.0,76227.0,2370.0,78597.0,25.0,25.0,1.0,ok
edp_renov_veis_s_a,"EDP Renováveis, S.A.",2023,8.0,8.0,0.0,1.0,0.0,73.016312,6.248352,79.264664,159708.0,1451.0,161159.0,1555.0,337.0,1892.0,161263.0,1788.0,163051.0,11.0,5.0,1.0,ok
norma_group_se,NORMA Group SE,2023,5.0,5.0,0.0,1.0,0.0,56.742279,15.033114,71.77539300000001,99519.0,1970.0,101489.0,3086.0,1050.0,4136.0,102605.0,3020.0,105625.0,28.0,11.0,1.0,ok
jungheinrich_ag,Jungheinrich AG,2023,3.0,3.0,0.0,1.0,0.0,44.402211,22.728259,67.13047,52806.0,2637.0,55443.0,2882.0,1637.0,4519.0,55688.0,4274.0,59962.0,40.0,38.0,1.0,ok
bmw_ag_vz,BMW AG Vz,2023,4.0,4.0,0.0,1.0,0.0,27.645630000000004,39.201469,66.84709900000001,70167.0,1242.0,71409.0,1067.0,525.0,1592.0,71234.0,1767.0,73001.0,11.0,6.0,1.0,ok
acerinox_s_a,Acerinox S.A.,2023,2.0,2.0,0.0,1.0,0.0,57.256845,9.33265,66.589495,35902.0,1213.0,37115.0,1550.0,503.0,2053.0,37452.0,1716.0,39168.0,11.0,4.0,1.0,ok
renta_4_banco_s_a,"Renta 4 Banco, S.A.",2023,4.0,4.0,0.0,1.0,0.0,57.806684,7.296158,65.102842,86662.0,746.0,87408.0,839.0,399.0,1238.0,87501.0,1145.0,88646.0,7.0,7.0,2.0,ok
