slug,company,report_year,n_chunks_declared,pass1_calls_ok,pass1_calls_error,pass2_calls_ok,pass2_calls_error,pass1_elapsed_sum_s,pass2_elapsed_sum_s,llm_total_elapsed_sum_s,pass1_prompt_tokens_api_sum,pass2_prompt_tokens_api_sum,total_prompt_tokens_api_sum,pass1_completion_tokens_api_sum,pass2_completion_tokens_api_sum,total_completion_tokens_api_sum,pass1_total_tokens_api_sum,pass2_total_tokens_api_sum,total_tokens_api_sum,n_evidence_rows_doc,n_rows_normalized_doc,max_attempt_used,status_like
porr_ag,PORR AG,2023,4.0,4.0,0.0,1.0,0.0,98.24166000000001,16.159834,114.40149400000001,68699.0,3701.0,72400.0,3767.0,1057.0,4824.0,72466.0,4758.0,77224.0,60.0,19.0,2.0,ok
aena_s_m_e_s_a,"Aena S.M.E., S.A.",2023,5.0,5.0,0.0,1.0,0.0,110.722837,22.365246,133.08808299999998,91385.0,3774.0,95159.0,4504.0,1554.0,6058.0,95889.0,5328.0,101217.0,48.0,27.0,2.0,ok
gea_group_aktiengesellschaft,GEA Group Aktiengesellschaft,2023,2.0,2.0,0.0,1.0,0.0,46.010416,13.990434,60.00085,38382.0,2604.0,40986.0,3242.0,905.0,4147.0,41624.0,3509.0,45133.0,48.0,33.0,1.0,ok
bilfinger_se,Bilfinger SE,2023,3.0,3.0,0.0,1.0,0.0,91.437509,28.035475,119.47298400000001,56316.0,3725.0,60041.0,3053.0,1643.0,4696.0,59369.0,5368.0,64737.0,44.0,44.0,2.0,ok
omv_ag,OMV AG,2023,4.0,4.0,0.0,1.0,0.0,51.092961,13.088213,64.181174,67550.0,2871.0,70421.0,2823.0,749.0,3572.0,70373.0,3620.0,73993.0,43.0,30.0,1.0,ok
jungheinrich_ag,Jungheinrich AG,2023,3.0,3.0,0.0,1.0,0.0,44.402211,22.728259,67.13047,52806.0,2637.0,55443.0,2882.0,1637.0,4519.0,55688.0,4274.0,59962.0,40.0,38.0,1.0,ok
e_on_se,E.ON SE,2023,6.0,6.0,0.0,1.0,0.0,95.51922900000001,18.236382,113.75561100000002,123595.0,3230.0,126825.0,3596.0,1240.0,4836.0,127191.0,4470.0,131661.0,39.0,34.0,1.0,ok
knorr_bremse_ag,Knorr-Bremse AG,2023,2.0,2.0,0.0,1.0,0.0,21.637839,14.9236,36.561439,40728.0,2490.0,43218.0,2433.0,1019.0,3452.0,43161.0,3509.0,46670.0,39.0,16.0,1.0,ok
carrefour,CARREFOUR,2024,25.0,25.0,0.0,1.0,0.0,204.368337,14.427154,218.795491,499475.0,1997.0,501472.0,3007.0,926.0,3933.0,502482.0,2923.0,505405.0,37.0,25.0,1.0,ok
agrana_beteiligungs_ag,Agrana Beteiligungs-AG,2023,3.0,3.0,0.0,1.0,0.0,13.607994,12.790083,26.398077,43218.0,2009.0,45227.0,1887.0,853.0,2740.0,45105.0,2862.0,47967.0,37.0,20.0,1.0,ok
ackermans_van_haaren,Ackermans & van Haaren,2023,2.0,2.0,0.0,1.0,0.0,10.673275,12.541425,23.2147,36931.0,2187.0,39118.0,2059.0,858.0,2917.0,38990.0,3045.0,42035.0,36.0,15.0,1.0,ok
zumtobel_group_ag,Zumtobel Group AG,2023,2.0,2.0,0.0,1.0,0.0,11.264086,7.502675,18.766761000000002,29022.0,2454.0,31476.0,2195.0,433.0,2628.0,31217.0,2887.0,34104.0,36.0,13.0,1.0,ok
do_co_ag,DO & CO AG,2023,2.0,2.0,0.0,1.0,0.0,17.781806,14.932782,32.714588,26367.0,2393.0,28760.0,2191.0,1000.0,3191.0,28558.0,3393.0,31951.0,34.0,34.0,1.0,ok
fraport_ag,Fraport AG,2023,3.0,3.0,0.0,1.0,0.0,16.176835,13.576151,29.752986,61727.0,2446.0,64173.0,2253.0,686.0,2939.0,63980.0,3132.0,67112.0,34.0,15.0,1.0,ok
rwe_ag_st,RWE AG St,2023,3.0,3.0,0.0,1.0,0.0,23.056116,8.596809,31.652925,41495.0,2017.0,43512.0,1830.0,443.0,2273.0,43325.0,2460.0,45785.0,33.0,11.0,2.0,ok
enbw_energie_baden_w_rttemberg_ag,EnBW Energie Baden-Württemberg AG,2023,5.0,5.0,0.0,1.0,0.0,44.181763999999994,11.357166,55.53892999999999,91090.0,2196.0,93286.0,2213.0,701.0,2914.0,93303.0,2897.0,96200.0,31.0,24.0,1.0,ok
enag_s_s_a,"Enagás, S.A.",2023,4.0,4.0,0.0,1.0,0.0,41.357608,9.552337,50.909945,85151.0,2037.0,87188.0,1906.0,579.0,2485.0,87057.0,2616.0,89673.0,31.0,11.0,1.0,ok
covestro_ag,Covestro AG,2023,2.0,2.0,0.0,1.0,0.0,22.983384,15.845998,38.829382,38191.0,1878.0,40069.0,2344.0,939.0,3283.0,40535.0,2817.0,43352.0,31.0,31.0,1.0,ok
a_p_moller_maersk_a_s,A P MOLLER-MAERSK A/S,2024,1.0,1.0,0.0,1.0,0.0,28.191769,10.32481,38.516579,10816.0,2279.0,13095.0,2009.0,355.0,2364.0,12825.0,2634.0,15459.0,30.0,9.0,1.0,ok
omv_aktiengesellschaft,OMV AKTIENGESELLSCHAFT,2024,1.0,1.0,0.0,1.0,0.0,23.587537,13.879559,37.467096,9186.0,1660.0,10846.0,1669.0,949.0,2618.0,10855.0,2609.0,13464.0,30.0,30.0,1.0,ok
