slug,company,report_year,n_chunks_declared,pass1_calls_ok,pass1_calls_error,pass2_calls_ok,pass2_calls_error,pass1_elapsed_sum_s,pass2_elapsed_sum_s,llm_total_elapsed_sum_s,pass1_prompt_tokens_api_sum,pass2_prompt_tokens_api_sum,total_prompt_tokens_api_sum,pass1_completion_tokens_api_sum,pass2_completion_tokens_api_sum,total_completion_tokens_api_sum,pass1_total_tokens_api_sum,pass2_total_tokens_api_sum,total_tokens_api_sum,n_evidence_rows_doc,n_rows_normalized_doc,max_attempt_used,status_like
bilfinger_se,Bilfinger SE,2023,3.0,3.0,0.0,1.0,0.0,91.437509,28.035475,119.47298400000001,56316.0,3725.0,60041.0,3053.0,1643.0,4696.0,59369.0,5368.0,64737.0,44.0,44.0,2.0,ok
jungheinrich_ag,Jungheinrich AG,2023,3.0,3.0,0.0,1.0,0.0,44.402211,22.728259,67.13047,52806.0,2637.0,55443.0,2882.0,1637.0,4519.0,55688.0,4274.0,59962.0,40.0,38.0,1.0,ok
e_on_se,E.ON SE,2023,6.0,6.0,0.0,1.0,0.0,95.51922900000001,18.236382,113.75561100000002,123595.0,3230.0,126825.0,3596.0,1240.0,4836.0,127191.0,4470.0,131661.0,39.0,34.0,1.0,ok
do_co_ag,DO & CO AG,2023,2.0,2.0,0.0,1.0,0.0,17.781806,14.932782,32.714588,26367.0,2393.0,28760.0,2191.0,1000.0,3191.0,28558.0,3393.0,31951.0,34.0,34.0,1.0,ok
gea_group_aktiengesellschaft,GEA Group Aktiengesellschaft,2023,2.0,2.0,0.0,1.0,0.0,46.010416,13.990434,60.00085,38382.0,2604.0,40986.0,3242.0,905.0,4147.0,41624.0,3509.0,45133.0,48.0,33.0,1.0,ok
covestro_ag,Covestro AG,2023,2.0,2.0,0.0,1.0,0.0,22.983384,15.845998,38.829382,38191.0,1878.0,40069.0,2344.0,939.0,3283.0,40535.0,2817.0,43352.0,31.0,31.0,1.0,ok
omv_ag,OMV AG,2023,4.0,4.0,0.0,1.0,0.0,51.092961,13.088213,64.181174,67550.0,2871.0,70421.0,2823.0,749.0,3572.0,70373.0,3620.0,73993.0,43.0,30.0,1.0,ok
omv_aktiengesellschaft,OMV AKTIENGESELLSCHAFT,2024,1.0,1.0,0.0,1.0,0.0,23.587537,13.879559,37.467096,9186.0,1660.0,10846.0,1669.0,949.0,2618.0,10855.0,2609.0,13464.0,30.0,30.0,1.0,ok
aena_s_m_e_s_a,"Aena S.M.E., S.A.",2023,5.0,5.0,0.0,1.0,0.0,110.722837,22.365246,133.08808299999998,91385.0,3774.0,95159.0,4504.0,1554.0,6058.0,95889.0,5328.0,101217.0,48.0,27.0,2.0,ok
evonik_industries_ag,Evonik Industries AG,2023,3.0,3.0,0.0,1.0,0.0,79.200887,21.05171,100.252597,52861.0,2563.0,55424.0,2916.0,1318.0,4234.0,55777.0,3881.0,59658.0,27.0,27.0,1.0,ok
shell_plc,SHELL PLC,2024,1.0,1.0,0.0,1.0,0.0,6.429673,15.84781,22.277483,9973.0,1566.0,11539.0,1287.0,814.0,2101.0,11260.0,2380.0,13640.0,26.0,26.0,1.0,ok
carrefour,CARREFOUR,2024,25.0,25.0,0.0,1.0,0.0,204.368337,14.427154,218.795491,499475.0,1997.0,501472.0,3007.0,926.0,3933.0,502482.0,2923.0,505405.0,37.0,25.0,1.0,ok
aib_group_plc,AIB Group plc,2023,4.0,4.0,0.0,1.0,0.0,38.936554,41.607321,80.543875,74467.0,1692.0,76159.0,1760.0,678.0,2438.0,76227.0,2370.0,78597.0,25.0,25.0,1.0,ok
rheinmetall_ag,Rheinmetall AG,2023,3.0,3.0,0.0,1.0,0.0,34.610001,19.520605,54.130606,51568.0,1668.0,53236.0,1630.0,1300.0,2930.0,53198.0,2968.0,56166.0,27.0,25.0,1.0,ok
enbw_energie_baden_w_rttemberg_ag,EnBW Energie Baden-Württemberg AG,2023,5.0,5.0,0.0,1.0,0.0,44.181763999999994,11.357166,55.53892999999999,91090.0,2196.0,93286.0,2213.0,701.0,2914.0,93303.0,2897.0,96200.0,31.0,24.0,1.0,ok
allianz_se,Allianz SE,2023,3.0,3.0,0.0,1.0,0.0,38.130846,10.423953,48.554798999999996,55039.0,1967.0,57006.0,2051.0,551.0,2602.0,57090.0,2518.0,59608.0,22.0,22.0,1.0,ok
akzo_nobel_nv,AKZO NOBEL NV,2024,1.0,1.0,0.0,1.0,0.0,18.750521,13.080523,31.831044,7697.0,1380.0,9077.0,1102.0,796.0,1898.0,8799.0,2176.0,10975.0,22.0,22.0,1.0,ok
acs_actividades_de_construcci_n_y_servicios_s_a,"ACS, Actividades de Construcción y Servicios, S.A.",2023,3.0,3.0,0.0,1.0,0.0,29.040051000000002,11.263855,40.303906,54603.0,1391.0,55994.0,1660.0,711.0,2371.0,56263.0,2102.0,58365.0,21.0,21.0,1.0,ok
koninklijke_ahold_delhaize_n_v,KONINKLIJKE AHOLD DELHAIZE N.V.,2024,1.0,1.0,0.0,1.0,0.0,21.114041,11.437561,32.551602,9214.0,1516.0,10730.0,1462.0,752.0,2214.0,10676.0,2268.0,12944.0,23.0,21.0,1.0,ok
virbac,Virbac,2023,1.0,1.0,0.0,1.0,0.0,8.377609,14.784382,23.161991,13513.0,1610.0,15123.0,1762.0,1060.0,2822.0,15275.0,2670.0,17945.0,22.0,21.0,1.0,ok
