stage,slug,company,report_year,chunk_index,batch_index,source_md,n_chunks,start_page,end_page,chunk_tokens_est,n_evidence_lines_in_batch,prompt_tokens_est,elapsed_s,status,error_message,attempt_used,prompt_tokens_api,completion_tokens_api,total_tokens_api,n_evidence_rows_norm,n_rows_normalized
pass1,porr_ag,PORR AG,2023,3.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\porr_ag\2023\focused\porr_ag_2023_taxonomy_focused.md,4,117.0,222.0,20643,,21099,70.877138,ok,,2.0,20981.0,2367.0,23348.0,43.0,
pass1,bilfinger_se,Bilfinger SE,2023,3.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\bilfinger_se\2023\focused\bilfinger_se_2023_taxonomy_focused.md,3,149.0,280.0,13219,,13676,59.029969,ok,,2.0,13547.0,1391.0,14938.0,18.0,
pass1,aena_s_m_e_s_a,"Aena S.M.E., S.A.",2023,2.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\aena_s_m_e_s_a\2023\focused\aena_s_m_e_s_a_2023_taxonomy_focused.md,5,308.0,600.0,21064,,21525,56.586479,ok,,2.0,21375.0,1260.0,22635.0,12.0,
pass1,banco_santander_s_a,"Banco Santander, S.A.",2023,3.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\banco_santander_s_a\2023\focused\banco_santander_s_a_2023_taxonomy_focused.md,6,97.0,132.0,20037,,20497,47.394356,ok,,1.0,20418.0,1007.0,21425.0,7.0,
pass1,renta_4_banco_s_a,"Renta 4 Banco, S.A.",2023,4.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\renta_4_banco_s_a\2023\focused\renta_4_banco_s_a_2023_taxonomy_focused.md,4,182.0,201.0,21866,,22327,42.769144,ok,,2.0,21802.0,463.0,22265.0,5.0,
pass2,aib_group_plc,AIB Group plc,2023,,1.0,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\aib_group_plc\2023\focused\aib_group_plc_2023_taxonomy_focused.md,4,,,1296,25.0,1713,41.607321,ok,,1.0,1692.0,678.0,2370.0,,25.0
pass1,acerinox_s_a,Acerinox S.A.,2023,2.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\acerinox_s_a\2023\focused\acerinox_s_a_2023_taxonomy_focused.md,2,186.0,280.0,14587,,15045,41.204298,ok,,1.0,15007.0,557.0,15564.0,8.0,
pass1,e_on_se,E.ON SE,2023,2.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\e_on_se\2023\focused\e_on_se_2023_taxonomy_focused.md,6,50.0,87.0,20541,,20997,40.707951,ok,,1.0,20875.0,620.0,21495.0,13.0,
pass2,bmw_ag_vz,BMW AG Vz,2023,,1.0,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\bmw_ag_vz\2023\focused\bmw_ag_vz_2023_taxonomy_focused.md,4,,,821,11.0,1237,39.201469,ok,,1.0,1242.0,525.0,1767.0,,6.0
pass2,heidelberg_materials_ag,Heidelberg Materials AG,2023,,1.0,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\heidelberg_materials_ag\2023\focused\heidelberg_materials_ag_2023_taxonomy_focused.md,4,,,567,14.0,984,38.692497,ok,,1.0,994.0,449.0,1443.0,,14.0
pass2,kl_ckner_co_se,Klöckner & Co SE,2023,,1.0,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\kl_ckner_co_se\2023\focused\kl_ckner_co_se_2023_taxonomy_focused.md,2,,,1154,17.0,1575,36.553123,ok,,1.0,1568.0,361.0,1929.0,,9.0
pass1,instone_real_estate_group,Instone Real Estate Group,2023,4.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\instone_real_estate_group\2023\focused\instone_real_estate_group_2023_taxonomy_focused.md,4,263.0,270.0,6550,,7008,36.482688,ok,,1.0,6808.0,35.0,6843.0,0.0,
pass1,e_on_se,E.ON SE,2023,6.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\e_on_se\2023\focused\e_on_se_2023_taxonomy_focused.md,6,278.0,299.0,18565,,19021,34.954697,ok,,1.0,18885.0,2326.0,21211.0,19.0,
pass1,deutsche_lufthansa_ag,Deutsche Lufthansa AG,2023,3.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\deutsche_lufthansa_ag\2023\focused\deutsche_lufthansa_ag_2023_taxonomy_focused.md,3,307.0,331.0,15541,,16001,34.90756,ok,,1.0,15655.0,110.0,15765.0,0.0,
pass1,banco_santander_s_a,"Banco Santander, S.A.",2023,1.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\banco_santander_s_a\2023\focused\banco_santander_s_a_2023_taxonomy_focused.md,6,20.0,41.0,20063,,20523,34.713746,ok,,1.0,20334.0,35.0,20369.0,0.0,
pass1,carrefour,CARREFOUR,2024,7.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\carrefour\2024\focused\carrefour_2024_taxonomy_focused.md,25,128.0,149.0,20136,,20593,34.193426,ok,,1.0,20154.0,34.0,20188.0,0.0,
pass1,hapag_lloyd_ag,Hapag-Lloyd AG,2023,6.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\hapag_lloyd_ag\2023\focused\hapag_lloyd_ag_2023_taxonomy_focused.md,8,191.0,220.0,20269,,20728,34.044034,ok,,1.0,20604.0,35.0,20639.0,0.0,
pass1,facc_ag,FACC AG,2023,5.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\facc_ag\2023\focused\facc_ag_2023_taxonomy_focused.md,6,83.0,103.0,20056,,20512,34.037165,ok,,1.0,20390.0,33.0,20423.0,0.0,
pass1,evonik_industries_ag,Evonik Industries AG,2023,1.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\evonik_industries_ag\2023\focused\evonik_industries_ag_2023_taxonomy_focused.md,3,14.0,71.0,20047,,20505,33.950261,ok,,1.0,20256.0,34.0,20290.0,0.0,
pass1,edp_renov_veis_s_a,"EDP Renováveis, S.A.",2023,7.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\edp_renov_veis_s_a\2023\focused\edp_renov_veis_s_a_2023_taxonomy_focused.md,8,381.0,440.0,27632,,28093,33.776693,ok,,1.0,27520.0,31.0,27551.0,0.0,
pass1,beiersdorf_ag,Beiersdorf AG,2023,1.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\beiersdorf_ag\2023\focused\beiersdorf_ag_2023_taxonomy_focused.md,2,80.0,138.0,20219,,20676,33.249333,ok,,1.0,20607.0,2243.0,22850.0,26.0,
pass1,ivu_traffic_technologies_ag,IVU Traffic Technologies AG,2023,2.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\ivu_traffic_technologies_ag\2023\focused\ivu_traffic_technologies_ag_2023_taxonomy_focused.md,2,105.0,109.0,4074,,4532,33.173684,ok,,1.0,4517.0,47.0,4564.0,0.0,
