slug,company,report_year,n_chunks_declared,pass1_calls_ok,pass1_calls_error,pass2_calls_ok,pass2_calls_error,pass1_elapsed_sum_s,pass2_elapsed_sum_s,llm_total_elapsed_sum_s,pass1_prompt_tokens_api_sum,pass2_prompt_tokens_api_sum,total_prompt_tokens_api_sum,pass1_completion_tokens_api_sum,pass2_completion_tokens_api_sum,total_completion_tokens_api_sum,pass1_total_tokens_api_sum,pass2_total_tokens_api_sum,total_tokens_api_sum,n_evidence_rows_doc,n_rows_normalized_doc,max_attempt_used,status_like
carrefour,CARREFOUR,2024,25.0,25.0,0.0,1.0,0.0,204.368337,14.427154,218.795491,499475.0,1997.0,501472.0,3007.0,926.0,3933.0,502482.0,2923.0,505405.0,37.0,25.0,1.0,ok
ds_smith_limited,DS SMITH LIMITED,2024,9.0,9.0,0.0,1.0,0.0,41.51274,2.403273,43.916013,182775.0,683.0,183458.0,1040.0,199.0,1239.0,183815.0,882.0,184697.0,5.0,5.0,1.0,ok
edp_renov_veis_s_a,"EDP Renováveis, S.A.",2023,8.0,8.0,0.0,1.0,0.0,73.016312,6.248352,79.264664,159708.0,1451.0,161159.0,1555.0,337.0,1892.0,161263.0,1788.0,163051.0,11.0,5.0,1.0,ok
hapag_lloyd_ag,Hapag-Lloyd AG,2023,8.0,8.0,0.0,0.0,0.0,54.16691,0.0,54.16691,161481.0,0.0,161481.0,286.0,0.0,286.0,161767.0,0.0,161767.0,0.0,0.0,1.0,empty
evn_ag,EVN AG,2023,8.0,8.0,0.0,0.0,0.0,27.140889,0.0,27.140889,154046.0,0.0,154046.0,294.0,0.0,294.0,154340.0,0.0,154340.0,0.0,0.0,1.0,empty
iss_a_s,ISS A/S,2024,8.0,8.0,0.0,0.0,0.0,27.651925,0.0,27.651925,153368.0,0.0,153368.0,282.0,0.0,282.0,153650.0,0.0,153650.0,0.0,0.0,1.0,empty
1_1_ag,1&1 AG,2023,7.0,7.0,0.0,0.0,0.0,28.356807999999997,0.0,28.356807999999997,134879.0,0.0,134879.0,244.0,0.0,244.0,135123.0,0.0,135123.0,0.0,0.0,1.0,empty
e_on_se,E.ON SE,2023,6.0,6.0,0.0,1.0,0.0,95.51922900000001,18.236382,113.75561100000002,123595.0,3230.0,126825.0,3596.0,1240.0,4836.0,127191.0,4470.0,131661.0,39.0,34.0,1.0,ok
kapsch_trafficcom_ag,Kapsch TrafficCom AG,2023,7.0,7.0,0.0,0.0,0.0,28.968189,0.0,28.968189,128758.0,0.0,128758.0,264.0,0.0,264.0,129022.0,0.0,129022.0,0.0,0.0,1.0,empty
banco_santander_s_a,"Banco Santander, S.A.",2023,6.0,6.0,0.0,1.0,0.0,156.876436,10.345861,167.22229700000003,106234.0,1050.0,107284.0,1200.0,689.0,1889.0,107434.0,1739.0,109173.0,7.0,7.0,1.0,ok
facc_ag,FACC AG,2023,6.0,6.0,0.0,0.0,0.0,84.122476,0.0,84.122476,106201.0,0.0,106201.0,210.0,0.0,210.0,106411.0,0.0,106411.0,0.0,0.0,1.0,empty
norma_group_se,NORMA Group SE,2023,5.0,5.0,0.0,1.0,0.0,56.742279,15.033114,71.77539300000001,99519.0,1970.0,101489.0,3086.0,1050.0,4136.0,102605.0,3020.0,105625.0,28.0,11.0,1.0,ok
manz_ag,Manz AG,2023,5.0,5.0,0.0,0.0,0.0,23.788645000000002,0.0,23.788645000000002,101295.0,0.0,101295.0,171.0,0.0,171.0,101466.0,0.0,101466.0,0.0,0.0,1.0,empty
aena_s_m_e_s_a,"Aena S.M.E., S.A.",2023,5.0,5.0,0.0,1.0,0.0,110.722837,22.365246,133.08808299999998,91385.0,3774.0,95159.0,4504.0,1554.0,6058.0,95889.0,5328.0,101217.0,48.0,27.0,2.0,ok
rhi_magnesita_n_v,RHI Magnesita N.V.,2023,5.0,5.0,0.0,0.0,0.0,17.665267999999998,0.0,17.665267999999998,96223.0,0.0,96223.0,197.0,0.0,197.0,96420.0,0.0,96420.0,0.0,0.0,1.0,empty
enbw_energie_baden_w_rttemberg_ag,EnBW Energie Baden-Württemberg AG,2023,5.0,5.0,0.0,1.0,0.0,44.181763999999994,11.357166,55.53892999999999,91090.0,2196.0,93286.0,2213.0,701.0,2914.0,93303.0,2897.0,96200.0,31.0,24.0,1.0,ok
enag_s_s_a,"Enagás, S.A.",2023,4.0,4.0,0.0,1.0,0.0,41.357608,9.552337,50.909945,85151.0,2037.0,87188.0,1906.0,579.0,2485.0,87057.0,2616.0,89673.0,31.0,11.0,1.0,ok
renta_4_banco_s_a,"Renta 4 Banco, S.A.",2023,4.0,4.0,0.0,1.0,0.0,57.806684,7.296158,65.102842,86662.0,746.0,87408.0,839.0,399.0,1238.0,87501.0,1145.0,88646.0,7.0,7.0,2.0,ok
porsche_ag_vz,Porsche AG Vz,2023,4.0,4.0,0.0,1.0,0.0,25.002231000000002,6.437216,31.439447,83675.0,1006.0,84681.0,895.0,306.0,1201.0,84570.0,1312.0,85882.0,8.0,4.0,1.0,ok
industria_de_dise_o_textil_s_a,"Industria de Diseño Textil, S.A.",2023,4.0,4.0,0.0,1.0,0.0,30.089176999999996,15.412034,45.501211,77405.0,1278.0,78683.0,1127.0,1074.0,2201.0,78532.0,2352.0,80884.0,16.0,13.0,1.0,ok
