slug,company,report_year,status,error_stage,error_message,n_chunks,n_evidence_rows_doc,n_pass2_batches,pass1_elapsed_sum_s,pass2_elapsed_sum_s,llm_total_elapsed_sum_s,doc_total_elapsed_s,pass1_prompt_tokens_est_sum,pass2_prompt_tokens_est_sum,total_prompt_tokens_est_sum,pass1_prompt_tokens_api_sum,pass1_completion_tokens_api_sum,pass1_total_tokens_api_sum,pass2_prompt_tokens_api_sum,pass2_completion_tokens_api_sum,pass2_total_tokens_api_sum,total_prompt_tokens_api_sum,total_completion_tokens_api_sum,total_tokens_api_sum,n_pass1_calls_ok,n_pass1_calls_error,n_pass2_calls_ok,n_pass2_calls_error
1_1_ag,1&1 AG,2023,empty,pass1_to_pass2,,7,0,0,28.356808,0.0,28.356808,30.65387,136417,0,136417,134879,244,135123,0,0,0,134879,244,135123,7,0,0,0
abb_ltd,ABB LTD,2024,empty,pass1_to_pass2,,4,0,0,16.365516,0.0,16.365516,17.663886,75049,0,75049,72758,128,72886,0,0,0,72758,128,72886,4,0,0,0
at_s_austria_tech_systemtech,AT&S Austria Tech.&Systemtech.,2023,empty,pass1_to_pass2,,1,0,0,2.916658,0.0,2.916658,3.252914,5871,0,5871,5858,37,5895,0,0,0,5858,37,5895,1,0,0,0
acciona_s_a,"Acciona, S.A.",2023,empty,pass1_to_pass2,,1,0,0,3.034877,0.0,3.034877,3.306582,13264,0,13264,13095,35,13130,0,0,0,13095,35,13130,1,0,0,0
acea_s_p_a,Acea S.p.A.,2023,empty,pass1_to_pass2,,2,0,0,8.685502,0.0,8.685502,9.328127,38283,0,38283,38037,76,38113,0,0,0,38037,76,38113,2,0,0,0
addiko_bank_ag,Addiko Bank AG,2023,empty,pass1_to_pass2,,1,0,0,4.741413,0.0,4.741413,5.105625,9889,0,9889,9884,34,9918,0,0,0,9884,34,9918,1,0,0,0
amadeus_fire_ag,Amadeus Fire AG,2023,empty,pass1_to_pass2,,1,0,0,2.968458,0.0,2.968458,3.333717,6103,0,6103,6053,35,6088,0,0,0,6053,35,6088,1,0,0,0
andritz_ag,Andritz AG,2023,empty,pass1_to_pass2,,2,0,0,7.609771,0.0,7.609771,8.503944,26196,0,26196,25994,60,26054,0,0,0,25994,60,26054,2,0,0,0
baywa_ag,BayWa AG,2023,empty,pass1_to_pass2,,1,0,0,1.22666,0.0,1.22666,1.637722,8518,0,8518,8421,33,8454,0,0,0,8421,33,8454,1,0,0,0
caixabank_s_a,"CaixaBank, S.A.",2023,empty,pass1_to_pass2,,2,0,0,8.009431,0.0,8.009431,8.801882,25813,0,25813,25643,72,25715,0,0,0,25643,72,25715,2,0,0,0
deutsche_bank_ag,Deutsche Bank AG,2023,empty,pass1_to_pass2,,1,0,0,3.492295,0.0,3.492295,4.056107,15263,0,15263,15167,34,15201,0,0,0,15167,34,15201,1,0,0,0
deutsche_pfandbriefbank_ag,Deutsche Pfandbriefbank AG,2023,empty,pass1_to_pass2,,2,0,0,8.207718,0.0,8.207718,8.903495,25535,0,25535,25265,86,25351,0,0,0,25265,86,25351,2,0,0,0
