stage,slug,company,report_year,chunk_index,batch_index,source_md,n_chunks,start_page,end_page,chunk_tokens_est,n_evidence_lines_in_batch,prompt_tokens_est,elapsed_s,status,error_message,attempt_used,prompt_tokens_api,completion_tokens_api,total_tokens_api,n_evidence_rows_norm,n_rows_normalized
pass1,1_1_ag,1&1 AG,2023,1.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\1_1_ag\2023\focused\1_1_ag_2023_taxonomy_focused.md,7,1.0,45.0,20012,,20469,3.165269,ok,,1.0,20246.0,34.0,20280.0,0.0,
pass1,1_1_ag,1&1 AG,2023,2.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\1_1_ag\2023\focused\1_1_ag_2023_taxonomy_focused.md,7,46.0,82.0,20029,,20486,7.32886,ok,,1.0,20308.0,28.0,20336.0,0.0,
pass1,1_1_ag,1&1 AG,2023,3.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\1_1_ag\2023\focused\1_1_ag_2023_taxonomy_focused.md,7,83.0,125.0,20075,,20532,3.709574,ok,,1.0,20400.0,34.0,20434.0,0.0,
pass1,1_1_ag,1&1 AG,2023,4.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\1_1_ag\2023\focused\1_1_ag_2023_taxonomy_focused.md,7,126.0,170.0,20412,,20869,3.781762,ok,,1.0,20740.0,34.0,20774.0,0.0,
pass1,1_1_ag,1&1 AG,2023,5.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\1_1_ag\2023\focused\1_1_ag_2023_taxonomy_focused.md,7,171.0,210.0,20266,,20723,3.472998,ok,,1.0,20551.0,34.0,20585.0,0.0,
pass1,1_1_ag,1&1 AG,2023,6.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\1_1_ag\2023\focused\1_1_ag_2023_taxonomy_focused.md,7,211.0,257.0,20040,,20497,3.564826,ok,,1.0,20077.0,34.0,20111.0,0.0,
pass1,1_1_ag,1&1 AG,2023,7.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\1_1_ag\2023\focused\1_1_ag_2023_taxonomy_focused.md,7,258.0,285.0,12384,,12841,3.333519,ok,,1.0,12557.0,46.0,12603.0,0.0,
pass1,a_p_moller_maersk_a_s,A P MOLLER-MAERSK A/S,2024,1.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\a_p_moller_maersk_a_s\2024\focused\a_p_moller_maersk_a_s_2024_taxonomy_focused.md,1,94.0,103.0,10443,,10907,28.191769,ok,,1.0,10816.0,2009.0,12825.0,30.0,
pass2,a_p_moller_maersk_a_s,A P MOLLER-MAERSK A/S,2024,,1.0,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\a_p_moller_maersk_a_s\2024\focused\a_p_moller_maersk_a_s_2024_taxonomy_focused.md,1,,,1891,30.0,2315,10.32481,ok,,1.0,2279.0,355.0,2634.0,,9.0
pass1,ab_volvo,AB VOLVO,2024,1.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\ab_volvo\2024\focused\ab_volvo_2024_taxonomy_focused.md,1,162.0,171.0,10543,,10999,15.629737,ok,,1.0,10759.0,857.0,11616.0,9.0,
pass2,ab_volvo,AB VOLVO,2024,,1.0,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\ab_volvo\2024\focused\ab_volvo_2024_taxonomy_focused.md,1,,,448,9.0,864,13.627411,ok,,1.0,856.0,673.0,1529.0,,8.0
pass1,abb_ltd,ABB LTD,2024,1.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\abb_ltd\2024\focused\abb_ltd_2024_taxonomy_focused.md,4,4.0,41.0,20041,,20496,4.75305,ok,,1.0,19981.0,32.0,20013.0,0.0,
pass1,abb_ltd,ABB LTD,2024,2.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\abb_ltd\2024\focused\abb_ltd_2024_taxonomy_focused.md,4,42.0,77.0,20086,,20541,3.255609,ok,,1.0,19937.0,32.0,19969.0,0.0,
pass1,abb_ltd,ABB LTD,2024,3.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\abb_ltd\2024\focused\abb_ltd_2024_taxonomy_focused.md,4,80.0,118.0,20120,,20575,3.266916,ok,,1.0,19897.0,32.0,19929.0,0.0,
pass1,abb_ltd,ABB LTD,2024,4.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\abb_ltd\2024\focused\abb_ltd_2024_taxonomy_focused.md,4,119.0,149.0,12982,,13437,5.089941,ok,,1.0,12943.0,32.0,12975.0,0.0,
pass1,acs_actividades_de_construcci_n_y_servicios_s_a,"ACS, Actividades de Construcción y Servicios, S.A.",2023,1.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\acs_actividades_de_construcci_n_y_servicios_s_a\2023\focused\acs_actividades_de_construcci_n_y_servicios_s_a_2023_taxonomy_focused.md,3,274.0,376.0,20251,,20717,22.853558,ok,,1.0,20556.0,1566.0,22122.0,21.0,
pass1,acs_actividades_de_construcci_n_y_servicios_s_a,"ACS, Actividades de Construcción y Servicios, S.A.",2023,2.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\acs_actividades_de_construcci_n_y_servicios_s_a\2023\focused\acs_actividades_de_construcci_n_y_servicios_s_a_2023_taxonomy_focused.md,3,377.0,394.0,21562,,22028,2.62909,ok,,1.0,21750.0,52.0,21802.0,0.0,
pass1,acs_actividades_de_construcci_n_y_servicios_s_a,"ACS, Actividades de Construcción y Servicios, S.A.",2023,3.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\acs_actividades_de_construcci_n_y_servicios_s_a\2023\focused\acs_actividades_de_construcci_n_y_servicios_s_a_2023_taxonomy_focused.md,3,395.0,527.0,11943,,12409,3.557403,ok,,1.0,12297.0,42.0,12339.0,0.0,
pass2,acs_actividades_de_construcci_n_y_servicios_s_a,"ACS, Actividades de Construcción y Servicios, S.A.",2023,,1.0,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\acs_actividades_de_construcci_n_y_servicios_s_a\2023\focused\acs_actividades_de_construcci_n_y_servicios_s_a_2023_taxonomy_focused.md,3,,,966,21.0,1392,11.263855,ok,,1.0,1391.0,711.0,2102.0,,21.0
pass1,aib_group_plc,AIB Group plc,2023,1.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\aib_group_plc\2023\focused\aib_group_plc_2023_taxonomy_focused.md,4,1.0,67.0,20161,,20618,3.72794,ok,,1.0,20538.0,34.0,20572.0,0.0,
pass1,aib_group_plc,AIB Group plc,2023,2.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\aib_group_plc\2023\focused\aib_group_plc_2023_taxonomy_focused.md,4,68.0,132.0,21293,,21750,7.761001,ok,,1.0,21567.0,34.0,21601.0,0.0,
pass1,aib_group_plc,AIB Group plc,2023,3.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\aib_group_plc\2023\focused\aib_group_plc_2023_taxonomy_focused.md,4,133.0,329.0,20639,,21096,15.990306,ok,,1.0,21085.0,1000.0,22085.0,19.0,
pass1,aib_group_plc,AIB Group plc,2023,4.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\aib_group_plc\2023\focused\aib_group_plc_2023_taxonomy_focused.md,4,330.0,341.0,10870,,11327,11.457307,ok,,1.0,11277.0,692.0,11969.0,6.0,
pass2,aib_group_plc,AIB Group plc,2023,,1.0,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\aib_group_plc\2023\focused\aib_group_plc_2023_taxonomy_focused.md,4,,,1296,25.0,1713,41.607321,ok,,1.0,1692.0,678.0,2370.0,,25.0
