top_k,cumulative_rows,share_total_rows_captured,mean_cumulative_rows_per_doc,median_cumulative_rows_per_doc,share_docs_with_any_output
1,609,0.14285714285714285,2.768181818181818,1.0,0.6
2,1300,0.30494956603330986,5.909090909090909,4.0,0.7318181818181818
3,1930,0.452732817264837,8.772727272727273,7.0,0.7681818181818182
4,2407,0.564625850340136,10.940909090909091,9.0,0.7909090909090909
5,2860,0.6708890452732817,13.0,11.0,0.8
6,3256,0.763781374618813,14.8,12.0,0.8
7,3581,0.8400187661271405,16.277272727272727,13.0,0.8
8,3775,0.8855266244428805,17.15909090909091,13.5,0.8
9,3926,0.9209476894205958,17.845454545454544,14.0,0.8
10,4080,0.9570724841660803,18.545454545454547,14.0,0.8
11,4198,0.9847525216983345,19.081818181818182,14.0,0.8
12,4263,1.0,19.37727272727273,14.0,0.8
