retrieval_rank,n_calls,mean_elapsed_s,median_elapsed_s,mean_total_tokens_api,total_rows_normalized,mean_rows_normalized,median_rows_normalized,share_nonzero_chunks,mean_hybrid_score,mean_bm25_score_raw,mean_emb_score_raw
1,220,3.3943192545454544,2.7296994999999997,1886.6045454545454,609,2.768181818181818,1.0,0.6,0.9489292274821889,15.904186427593231,0.5914190671660683
2,220,3.6906411500000003,2.8353035,1939.6954545454546,691,3.140909090909091,2.0,0.6272727272727273,0.85365482440049,14.377052906358784,0.5723782402547923
3,220,3.605933231818182,2.762016,1853.3454545454545,630,2.8636363636363638,1.0,0.5363636363636364,0.7700369126078758,12.8563428634947,0.5552892855622552
4,219,3.500205771689498,2.721099,1750.890410958904,477,2.1780821917808217,0.0,0.3835616438356164,0.6790546471227522,11.28204102793785,0.5322566310020342
5,213,3.2805354882629105,2.663917,1752.3849765258217,453,2.1267605633802815,0.0,0.3568075117370892,0.6143478060517232,9.82352068096819,0.5218933217682189
6,208,3.1380107115384615,2.5316535,1718.6778846153845,396,1.9038461538461537,0.0,0.27403846153846156,0.5419698735842338,8.624739301319305,0.5020128828115188
7,204,3.085312225490196,2.5178465,1693.8382352941176,325,1.5931372549019607,0.0,0.2696078431372549,0.491420269560288,7.629057687944641,0.48860875013120036
8,191,2.8477399162303665,2.314549,1700.6806282722514,194,1.0157068062827226,0.0,0.16753926701570682,0.46935880150467996,7.2732358973531825,0.4781428936732377
9,183,2.6954890327868855,2.06548,1686.792349726776,151,0.825136612021858,0.0,0.15300546448087432,0.43339182631700435,6.587845129719198,0.4633828205326216
10,176,2.535681295454545,2.0020315,1697.7443181818182,154,0.875,0.0,0.16477272727272727,0.4017373924514025,5.995949138421565,0.4520546957342462
11,171,2.622147514619883,1.955309,1655.8479532163742,118,0.6900584795321637,0.0,0.12280701754385964,0.3784561158615377,5.563283924819433,0.4422167678151214
12,166,2.479705608433735,1.934314,1698.5903614457832,65,0.39156626506024095,0.0,0.04216867469879518,0.3557523399905627,5.185979757323323,0.4323296471532569
