slug,company,company_name_full,report_year,source_md,status,error_stage,error_message,rebuild_index,top_k_requested,w_bm25,w_emb,n_queries,n_index_chunks,n_retrieved_chunks,index_elapsed_s,retrieval_elapsed_s,extraction_elapsed_sum_s,doc_total_elapsed_s,n_llm_calls_ok_x,n_llm_calls_error,coverage_ratio,topk_capped,retrieved_all_chunks,llm_total_elapsed_sum_s,total_prompt_tokens_api_sum,total_completion_tokens_api_sum,total_tokens_api_sum,mean_chunk_tokens_est,n_llm_calls_ok_y,n_rows_normalized_doc,mean_rows_per_retrieved_chunk,max_rows_single_chunk,mean_hybrid_score,mean_bm25_score_raw,mean_emb_score_raw,n_nonzero_chunks,share_nonzero_retrieved_chunks
carrefour,CARREFOUR,CARREFOUR,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\carrefour\2024\focused\carrefour_2024_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,411,12,0.48736,3.626812,39.391571,46.182916,12,0,0.029197080291970802,True,False,39.391572000000004,19436,2968,22404,1196.0,12,47,3.9166666666666665,14,0.7363698333501816,33.314144134521484,0.5753998061021169,6,0.5
ds_smith_limited,DS SMITH LIMITED,DS SMITH LIMITED,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\ds_smith_limited\2024\focused\ds_smith_limited_2024_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,157,12,0.311123,0.750504,44.147385,47.822361,12,0,0.07643312101910828,True,False,44.147384,18192,807,18999,1090.75,12,7,0.5833333333333334,5,0.5750535354018211,10.630692303180695,0.5487579107284546,2,0.16666666666666666
evn_ag,EVN AG,EVN AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\evn_ag\2023\focused\evn_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,133,12,0.238403,0.961392,38.043644,41.978906,12,0,0.09022556390977443,True,False,38.043644,19303,384,19687,1211.0,12,0,0.0,0,0.691323846578598,7.190963506698608,0.40101083368062973,0,0.0
hapag_lloyd_ag,Hapag-Lloyd AG,Hapag-Lloyd AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\hapag_lloyd_ag\2023\focused\hapag_lloyd_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,131,12,0.239489,1.100558,19.435697,23.474379,12,0,0.0916030534351145,True,False,19.435697,20296,432,20728,1273.1666666666667,12,0,0.0,0,0.607600192228953,7.364341735839844,0.35977670053641003,0,0.0
iss_a_s,ISS A/S,ISS A/S,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\iss_a_s\2024\focused\iss_a_s_2024_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,130,12,0.122284,1.176416,43.59536,47.476911,12,0,0.09230769230769231,True,False,43.59536,19765,742,20507,1222.5,12,5,0.4166666666666667,5,0.6315649549166361,14.083811283111572,0.5236480062206587,1,0.08333333333333333
edp_renov_veis_s_a,"EDP Renováveis, S.A.","EDP Renováveis, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\edp_renov_veis_s_a\2023\focused\edp_renov_veis_s_a_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,114,12,0.155067,0.980732,53.16509,57.221228,12,0,0.10526315789473684,True,False,53.16509,19872,1387,21259,1227.1666666666667,12,21,1.75,3,0.6683950473864874,23.197171449661255,0.5629185612003008,7,0.5833333333333334
1_1_ag,1&1 AG,1&1 AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\1_1_ag\2023\focused\1_1_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,114,12,0.026296,0.823656,38.945952,42.398957,12,0,0.10526315789473684,True,False,38.945952,20223,384,20607,1270.25,12,0,0.0,0,0.6493338346481323,7.3906246821085615,0.35834140082200366,0,0.0
kapsch_trafficcom_ag,Kapsch TrafficCom AG,Kapsch TrafficCom AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\kapsch_trafficcom_ag\2023\focused\kapsch_trafficcom_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,105,12,0.270882,0.640927,40.96494,44.53078,12,0,0.11428571428571428,True,False,40.964939,20176,420,20596,1251.4166666666667,12,0,0.0,0,0.5647126783927282,7.50125112136205,0.3843171273668607,0,0.0
e_on_se,E.ON SE,E.ON SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\e_on_se\2023\focused\e_on_se_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,96,12,0.177915,0.664922,33.489639,37.169822,12,0,0.125,True,False,33.489638,20293,2805,23098,1273.75,12,50,4.166666666666667,14,0.7993226399024328,17.936054229736328,0.566314900914828,5,0.4166666666666667
facc_ag,FACC AG,FACC AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\facc_ag\2023\focused\facc_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,89,12,0.262773,0.854217,38.524412,43.106323,12,0,0.1348314606741573,True,False,38.524413,19289,420,19709,1178.5,12,0,0.0,0,0.6369791825612386,7.296042442321777,0.3721367120742798,0,0.0
