slug,company,company_name_full,report_year,source_md,status,error_stage,error_message,rebuild_index,top_k_requested,w_bm25,w_emb,n_queries,n_index_chunks,n_retrieved_chunks,index_elapsed_s,retrieval_elapsed_s,extraction_elapsed_sum_s,doc_total_elapsed_s,n_llm_calls_ok_x,n_llm_calls_error,coverage_ratio,topk_capped,retrieved_all_chunks,llm_total_elapsed_sum_s,total_prompt_tokens_api_sum,total_completion_tokens_api_sum,total_tokens_api_sum,mean_chunk_tokens_est,n_llm_calls_ok_y,n_rows_normalized_doc,mean_rows_per_retrieved_chunk,max_rows_single_chunk,mean_hybrid_score,mean_bm25_score_raw,mean_emb_score_raw,n_nonzero_chunks,share_nonzero_retrieved_chunks
acs_actividades_de_construcci_n_y_servicios_s_a,"ACS, Actividades de Construcción y Servicios, S.A.","ACS, Actividades de Construcción y Servicios, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\acs_actividades_de_construcci_n_y_servicios_s_a\2023\focused\acs_actividades_de_construcci_n_y_servicios_s_a_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,45,12,0.142543,0.560284,38.336779,41.895846,12,0,0.26666666666666666,True,False,38.33678,18611,4450,23061,1121.5,12,117,9.75,21,0.7925331642230352,14.074018796284994,0.6443732976913452,7,0.5833333333333334
hochtief_ag,HOCHTIEF AG,HOCHTIEF AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\hochtief_ag\2023\focused\hochtief_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,43,12,0.070622,0.541831,88.84158,92.190067,12,0,0.27906976744186046,True,False,88.84158,19796,4276,24072,1220.1666666666667,12,105,8.75,20,0.7979888667662939,14.335845311482748,0.6075089946389198,6,0.5
omv_aktiengesellschaft,OMV AKTIENGESELLSCHAFT,OMV AKTIENGESELLSCHAFT,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\omv_aktiengesellschaft\2024\focused\omv_aktiengesellschaft_2024_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,8,8,0.164051,0.493059,79.105609,81.496211,8,0,1.0,False,True,79.10561,13343,4444,17787,1236.5,8,84,10.5,18,0.49261172860860825,5.491300344467163,0.6105243340134621,7,0.875
e_on_se,E.ON SE,E.ON SE,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\e_on_se\2024\focused\e_on_se_2024_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,13,12,0.167715,0.457512,32.772133,35.957133,12,0,0.9230769230769231,True,False,32.772134,19080,3509,22589,1145.3333333333333,12,84,7.0,23,0.5722594112157822,5.371448487043381,0.6045079876979192,6,0.5
repsol_sa,REPSOL SA.,REPSOL SA.,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\repsol_sa\2024\focused\repsol_sa_2024_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,12,12,0.169656,0.422888,83.557902,86.732797,12,0,1.0,False,True,83.557902,19423,3896,23319,1197.5,12,83,6.916666666666667,21,0.588186596830686,6.523676425218582,0.5435000285506248,7,0.5833333333333334
schneider_electric_se,SCHNEIDER ELECTRIC SE,SCHNEIDER ELECTRIC SE,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\schneider_electric_se\2024\focused\schneider_electric_se_2024_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,11,11,0.189681,0.543334,30.362111,33.460248,11,0,1.0,False,True,30.362111,17217,3367,20584,1142.4545454545455,11,82,7.454545454545454,19,0.5567759437994524,5.9210839163173326,0.5747710493477908,6,0.5454545454545454
porr_ag,PORR AG,PORR AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\porr_ag\2023\focused\porr_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,57,12,0.084002,0.546845,41.345008,44.742477,12,0,0.21052631578947367,True,False,41.345007,20123,4298,24421,1254.25,12,81,6.75,22,0.6521436149875323,16.500793516635895,0.5222791582345963,5,0.4166666666666667
aena_s_m_e_s_a,"Aena S.M.E., S.A.","Aena S.M.E., S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\aena_s_m_e_s_a\2023\focused\aena_s_m_e_s_a_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,80,12,0.055804,0.438593,37.867441,41.359821,12,0,0.15,True,False,37.867442,20941,3179,24120,1312.9166666666667,12,75,6.25,12,0.8056483517090479,19.354109048843384,0.636756549278895,9,0.75
strabag_se,STRABAG SE,STRABAG SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\strabag_se\2023\focused\strabag_se_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,21,12,0.195655,0.618751,33.796931,37.37321,12,0,0.5714285714285714,True,False,33.796931,20027,3083,23110,1236.5,12,74,6.166666666666667,20,0.7310514450073242,9.623159488042196,0.574910764892896,7,0.5833333333333334
eni_s_p_a,ENI S.P.A.,ENI S.P.A.,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\eni_s_p_a\2024\focused\eni_s_p_a_2024_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,17,12,0.170376,0.447324,78.414394,81.627854,12,0,0.7058823529411765,True,False,78.414393,17473,3356,20829,1029.4166666666667,12,63,5.25,17,0.6406402923166752,8.42604092756907,0.5514902248978615,6,0.5
omv_ag,OMV AG,OMV AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\omv_ag\2023\focused\omv_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,56,12,0.209555,0.704095,36.9897,40.710335,12,0,0.21428571428571427,True,False,36.9897,20095,3325,23420,1263.8333333333333,12,59,4.916666666666667,18,0.8179657161235809,14.6788809299469,0.6031180769205093,5,0.4166666666666667
shell_plc,SHELL PLC,SHELL PLC,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\shell_plc\2024\focused\shell_plc_2024_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,10,10,0.174839,0.494915,26.850194,29.69329,10,0,1.0,False,True,26.850194,15878,2645,18523,1179.5,10,58,5.8,18,0.6406050086021423,5.169318807125092,0.5823807150125504,5,0.5
jungheinrich_ag,Jungheinrich AG,Jungheinrich AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\jungheinrich_ag\2023\focused\jungheinrich_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,44,12,0.206382,0.613458,40.689282,44.396251,12,0,0.2727272727272727,True,False,40.689281,19972,3913,23885,1237.6666666666667,12,57,4.75,14,0.7288729747136434,15.668800512949625,0.6142665892839432,7,0.5833333333333334
knorr_bremse_ag,Knorr-Bremse AG,Knorr-Bremse AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\knorr_bremse_ag\2023\focused\knorr_bremse_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,33,12,0.082379,0.392745,38.286068,41.549352,12,0,0.36363636363636365,True,False,38.286068,19620,2469,22089,1206.75,12,55,4.583333333333333,13,0.7669601142406464,12.418696165084839,0.5900355875492096,7,0.5833333333333334
enbw_energie_baden_w_rttemberg_ag,EnBW Energie Baden-Württemberg AG,EnBW Energie Baden-Württemberg AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\enbw_energie_baden_w_rttemberg_ag\2023\focused\enbw_energie_baden_w_rttemberg_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,74,12,0.08434,0.856251,32.064634,35.93919,12,0,0.16216216216216217,True,False,32.064634,21634,2523,24157,1376.0833333333333,12,52,4.333333333333333,16,0.7210919906695684,15.083572308222452,0.5728954722483953,5,0.4166666666666667
fraport_ag,Fraport AG,Fraport AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\fraport_ag\2023\focused\fraport_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,45,12,0.195547,0.482616,32.989721,36.450085,12,0,0.26666666666666666,True,False,32.989721,20381,2638,23019,1265.9166666666667,12,52,4.333333333333333,10,0.7175241808096567,18.086859782536823,0.5409235656261444,9,0.75
gea_group_aktiengesellschaft,GEA Group Aktiengesellschaft,GEA Group Aktiengesellschaft,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\gea_group_aktiengesellschaft\2023\focused\gea_group_aktiengesellschaft_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,27,12,0.438102,0.452167,27.308713,31.046368,12,0,0.4444444444444444,True,False,27.308714,18212,2247,20459,1087.25,12,51,4.25,16,0.6552775353193283,10.717260201772055,0.5626663416624069,5,0.4166666666666667
e_on_se,E.ON SE,E.ON SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\e_on_se\2023\focused\e_on_se_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,96,12,0.177915,0.664922,33.489639,37.169822,12,0,0.125,True,False,33.489638,20293,2805,23098,1273.75,12,50,4.166666666666667,14,0.7993226399024328,17.936054229736328,0.566314900914828,5,0.4166666666666667
deutsche_post_ag,Deutsche Post AG,Deutsche Post AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\deutsche_post_ag\2023\focused\deutsche_post_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,41,12,0.239893,0.607323,33.615224,37.384723,12,0,0.2926829268292683,True,False,33.615224,20685,2270,22955,1296.6666666666667,12,50,4.166666666666667,12,0.6887421384453773,10.971759557723999,0.5361972774068514,7,0.5833333333333334
