company,report_year,retrieval_rank,chunk_id,start_page,end_page,elapsed_s,prompt_tokens_api,completion_tokens_api,total_tokens_api,n_rows_normalized,retrieval_score_hybrid,retrieval_score_bm25_raw,retrieval_score_emb_raw,attempt_used
Commerzbank AG,2023,2,45,183,184,20.617305,1716,1141,2857,14,0.917205810546875,23.18501853942871,0.5240830183029175,1
K+S Aktiengesellschaft,2023,4,27,106,106,16.758235,2028,1161,3189,0,0.8328021168708801,17.039417266845703,0.6127101182937622,1
FUCHS SE,2023,9,15,101,102,16.586535,1625,1002,2627,10,0.6161868572235107,8.83975887298584,0.5726925730705261,1
OMV AKTIENGESELLSCHAFT,2024,2,8,172,173,16.268332,1427,1098,2525,0,0.6083788871765137,8.411349296569824,0.5658746957778931,1
Bilfinger SE,2023,8,38,154,154,16.230717,1568,626,2194,6,0.6553679704666138,11.343582153320312,0.5798227787017822,1
ProSiebenSat.1 Media SE,2023,1,10,72,72,15.833117,2035,1006,3041,14,0.9807801842689514,17.004362106323242,0.6232428550720215,1
HOCHTIEF AG,2023,6,26,212,212,15.402781,2015,916,2931,19,0.8963090777397156,17.37683868408203,0.6200588941574097,1
HOCHTIEF AG,2023,7,22,210,210,14.940639,2014,1037,3051,20,0.8662283420562744,15.816507339477539,0.6279966831207275,1
Allianz SE,2023,3,37,106,106,14.17086,1760,599,2359,7,0.8161117434501648,15.54706859588623,0.5130118727684021,1
TELEFONICA SA,2024,3,3,305,306,14.018835,1798,639,2437,11,0.8117836713790894,5.153158187866211,0.6115991473197937,1
LANXESS AG,2023,6,4,68,69,13.467592,1631,837,2468,10,0.5715040564537048,6.248782157897949,0.5994102954864502,1
ENI S.P.A.,2024,3,10,246,246,13.177316,1673,765,2438,17,0.9711347222328186,13.873529434204102,0.602144181728363,1
Klöckner & Co SE,2023,6,8,127,129,13.059944,1738,546,2284,5,0.7236807942390442,11.989615440368652,0.5398943424224854,1
AIRBUS SE,2024,2,4,200,201,12.940555,1867,351,2218,5,0.9581448435783386,15.719733238220215,0.6374415755271912,1
OMV AKTIENGESELLSCHAFT,2024,3,1,164,166,12.799336,1751,545,2296,13,0.6004732847213745,7.639928340911865,0.5844824314117432,1
Zumtobel Group AG,2023,4,5,50,52,12.673525,1792,564,2356,0,0.8384139537811279,13.157398223876953,0.6450428366661072,1
NORMA Group SE,2023,1,59,98,98,12.577175,2025,778,2803,8,0.9823674559593201,27.566438674926758,0.6139081716537476,1
HOCHTIEF AG,2023,2,29,214,214,12.364728,2015,797,2812,19,0.9672045707702637,18.26715850830078,0.6534583568572998,1
ENI S.P.A.,2024,2,14,250,250,12.175864,1695,776,2471,17,0.973655104637146,13.805869102478027,0.6042704582214355,1
PATRIZIA SE,2023,3,12,47,47,11.841847,2020,1222,3242,14,0.8611106872558594,12.2151460647583,0.5361859798431396,1
REPSOL SA.,2024,11,1,374,374,11.667742,1765,527,2292,17,0.3093797266483307,1.8104041814804077,0.5624912977218628,1
Evonik Industries AG,2023,3,31,226,226,11.664342,2020,341,2361,6,0.7541970610618591,14.871258735656738,0.6776788830757141,1
Brenntag SE,2023,3,14,117,119,11.515838,1643,622,2265,12,0.7893775105476379,20.692445755004883,0.5320295691490173,1
HENKEL AG & CO. KGAA,2024,4,3,124,126,11.241781,1785,517,2302,7,0.5224525928497314,5.296046257019043,0.5617073178291321,1
REPSOL SA.,2024,5,3,376,376,11.061916,1529,591,2120,13,0.6519880294799805,6.112818717956543,0.5677460432052612,1
