slug,company,company_name_full,report_year,source_md,status,error_stage,error_message,rebuild_index,top_k_requested,w_bm25,w_emb,n_queries,n_index_chunks,n_retrieved_chunks,index_elapsed_s,retrieval_elapsed_s,extraction_elapsed_sum_s,doc_total_elapsed_s,n_llm_calls_ok_x,n_llm_calls_error,coverage_ratio,topk_capped,retrieved_all_chunks,llm_total_elapsed_sum_s,total_prompt_tokens_api_sum,total_completion_tokens_api_sum,total_tokens_api_sum,mean_chunk_tokens_est,n_llm_calls_ok_y,n_rows_normalized_doc,mean_rows_per_retrieved_chunk,max_rows_single_chunk,mean_hybrid_score,mean_bm25_score_raw,mean_emb_score_raw,n_nonzero_chunks,share_nonzero_retrieved_chunks
porr_ag,PORR AG,PORR AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\porr_ag\2023\focused\porr_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,57,12,0.084002,0.546845,41.345008,44.742477,12,0,0.21052631578947367,True,False,41.345007,20123,4298,24421,1254.25,12,81,6.75,22,0.6521436149875323,16.500793516635895,0.5222791582345963,5,0.4166666666666667
k_s_aktiengesellschaft,K+S Aktiengesellschaft,K+S Aktiengesellschaft,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\k_s_aktiengesellschaft\2023\focused\k_s_aktiengesellschaft_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,43,12,0.183419,0.547962,64.502732,68.012716,12,0,0.27906976744186046,True,False,64.502731,21813,2535,24348,1386.75,12,20,1.6666666666666667,6,0.7384723921616873,14.209383845329285,0.592361181974411,5,0.4166666666666667
enbw_energie_baden_w_rttemberg_ag,EnBW Energie Baden-Württemberg AG,EnBW Energie Baden-Württemberg AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\enbw_energie_baden_w_rttemberg_ag\2023\focused\enbw_energie_baden_w_rttemberg_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,74,12,0.08434,0.856251,32.064634,35.93919,12,0,0.16216216216216217,True,False,32.064634,21634,2523,24157,1376.0833333333333,12,52,4.333333333333333,16,0.7210919906695684,15.083572308222452,0.5728954722483953,5,0.4166666666666667
aena_s_m_e_s_a,"Aena S.M.E., S.A.","Aena S.M.E., S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\aena_s_m_e_s_a\2023\focused\aena_s_m_e_s_a_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,80,12,0.055804,0.438593,37.867441,41.359821,12,0,0.15,True,False,37.867442,20941,3179,24120,1312.9166666666667,12,75,6.25,12,0.8056483517090479,19.354109048843384,0.636756549278895,9,0.75
norma_group_se,NORMA Group SE,NORMA Group SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\norma_group_se\2023\focused\norma_group_se_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,83,12,0.274683,0.889285,80.660793,84.588364,12,0,0.14457831325301204,True,False,80.660792,20713,3370,24083,1294.6666666666667,12,46,3.8333333333333335,8,0.768317699432373,20.470637718836468,0.5551245709260305,9,0.75
hochtief_ag,HOCHTIEF AG,HOCHTIEF AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\hochtief_ag\2023\focused\hochtief_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,43,12,0.070622,0.541831,88.84158,92.190067,12,0,0.27906976744186046,True,False,88.84158,19796,4276,24072,1220.1666666666667,12,105,8.75,20,0.7979888667662939,14.335845311482748,0.6075089946389198,6,0.5
jungheinrich_ag,Jungheinrich AG,Jungheinrich AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\jungheinrich_ag\2023\focused\jungheinrich_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,44,12,0.206382,0.613458,40.689282,44.396251,12,0,0.2727272727272727,True,False,40.689281,19972,3913,23885,1237.6666666666667,12,57,4.75,14,0.7288729747136434,15.668800512949625,0.6142665892839432,7,0.5833333333333334
omv_ag,OMV AG,OMV AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\omv_ag\2023\focused\omv_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,56,12,0.209555,0.704095,36.9897,40.710335,12,0,0.21428571428571427,True,False,36.9897,20095,3325,23420,1263.8333333333333,12,59,4.916666666666667,18,0.8179657161235809,14.6788809299469,0.6031180769205093,5,0.4166666666666667
repsol_sa,REPSOL SA.,REPSOL SA.,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\repsol_sa\2024\focused\repsol_sa_2024_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,12,12,0.169656,0.422888,83.557902,86.732797,12,0,1.0,False,True,83.557902,19423,3896,23319,1197.5,12,83,6.916666666666667,21,0.588186596830686,6.523676425218582,0.5435000285506248,7,0.5833333333333334
enag_s_s_a,"Enagás, S.A.","Enagás, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\enag_s_s_a\2023\focused\enag_s_s_a_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,68,12,0.261677,0.698494,31.961401,35.805468,12,0,0.17647058823529413,True,False,31.961401,20466,2831,23297,1279.5833333333333,12,49,4.083333333333333,9,0.7583927164475123,20.169631719589233,0.5523596877853075,8,0.6666666666666666
