slug,company,company_name_full,report_year,source_md,retrieval_rank,retrieval_top_k,chunk_id,text_hash,start_page,end_page,chunk_tokens_est,prompt_tokens_est,elapsed_s,status,error_message,attempt_used,prompt_tokens_api,completion_tokens_api,total_tokens_api,n_activities_raw,n_rows_normalized,retrieval_score_hybrid,retrieval_score_bm25_raw,retrieval_score_emb_raw,embeddings_deployment,chat_deployment
1_1_ag,1&1 AG,1&1 AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\1_1_ag\2023\focused\1_1_ag_2023_taxonomy_focused.md,1,8,32,2766453e81b6f67f,74,76,1386,1807,2.827526,ok,,1,1810,44,1854,0,0,0.9729052782058716,11.634503364562988,0.4323553740978241,text-embedding-3-small,gpt-5.1-chat
1_1_ag,1&1 AG,1&1 AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\1_1_ag\2023\focused\1_1_ag_2023_taxonomy_focused.md,2,8,45,0d861c12d853bdc9,107,112,1491,1921,5.444013,ok,,1,1918,32,1950,0,0,0.7144375443458557,8.756185531616211,0.35266393423080444,text-embedding-3-small,gpt-5.1-chat
1_1_ag,1&1 AG,1&1 AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\1_1_ag\2023\focused\1_1_ag_2023_taxonomy_focused.md,3,8,15,5c87fb7bf5a5ac81,33,35,1354,1777,2.619283,ok,,1,1783,32,1815,0,0,0.6567060351371765,7.321164131164551,0.370975524187088,text-embedding-3-small,gpt-5.1-chat
1_1_ag,1&1 AG,1&1 AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\1_1_ag\2023\focused\1_1_ag_2023_taxonomy_focused.md,4,8,6,4b1290edf57c2279,10,13,1267,1688,2.336115,ok,,1,1685,32,1717,0,0,0.6444336175918579,8.26461124420166,0.3179507851600647,text-embedding-3-small,gpt-5.1-chat
1_1_ag,1&1 AG,1&1 AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\1_1_ag\2023\focused\1_1_ag_2023_taxonomy_focused.md,5,8,93,6bff92d91eec0d2e,224,229,1201,1631,2.762746,ok,,1,1618,44,1662,0,0,0.6338620185852051,7.1457014083862305,0.3603339195251465,text-embedding-3-small,gpt-5.1-chat
1_1_ag,1&1 AG,1&1 AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\1_1_ag\2023\focused\1_1_ag_2023_taxonomy_focused.md,6,8,8,155dd0c738c9043c,15,18,1212,1636,5.115534,ok,,1,1636,32,1668,0,0,0.6161460876464844,7.286034107208252,0.33948013186454773,text-embedding-3-small,gpt-5.1-chat
1_1_ag,1&1 AG,1&1 AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\1_1_ag\2023\focused\1_1_ag_2023_taxonomy_focused.md,7,8,17,240cca1808a80395,38,40,1231,1651,1.954867,ok,,1,1606,32,1638,0,0,0.6104735732078552,7.897958755493164,0.306954562664032,text-embedding-3-small,gpt-5.1-chat
1_1_ag,1&1 AG,1&1 AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\1_1_ag\2023\focused\1_1_ag_2023_taxonomy_focused.md,8,8,31,180d0301c9367203,72,74,1205,1624,3.183376,ok,,1,1626,32,1658,0,0,0.6089034676551819,7.893126964569092,0.30589359998703003,text-embedding-3-small,gpt-5.1-chat
a_p_moller_maersk_a_s,A P MOLLER-MAERSK A/S,A P MOLLER-MAERSK A/S,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\a_p_moller_maersk_a_s\2024\focused\a_p_moller_maersk_a_s_2024_taxonomy_focused.md,1,8,4,2c3da21423f7e44c,98,98,1114,1548,2.743605,ok,,1,1552,240,1792,5,5,1.0,11.23118782043457,0.5946940183639526,text-embedding-3-small,gpt-5.1-chat
a_p_moller_maersk_a_s,A P MOLLER-MAERSK A/S,A P MOLLER-MAERSK A/S,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\a_p_moller_maersk_a_s\2024\focused\a_p_moller_maersk_a_s_2024_taxonomy_focused.md,2,8,3,cd77bc5cbfb8b2e9,97,97,1600,2034,2.500722,ok,,1,2037,256,2293,8,8,0.9398718476295471,10.51189136505127,0.5846073627471924,text-embedding-3-small,gpt-5.1-chat
a_p_moller_maersk_a_s,A P MOLLER-MAERSK A/S,A P MOLLER-MAERSK A/S,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\a_p_moller_maersk_a_s\2024\focused\a_p_moller_maersk_a_s_2024_taxonomy_focused.md,3,8,5,c44d5f27a8a8cfcc,99,99,1245,1679,1.859053,ok,,1,1636,38,1674,0,0,0.9029710292816162,11.212469100952148,0.5324174165725708,text-embedding-3-small,gpt-5.1-chat
a_p_moller_maersk_a_s,A P MOLLER-MAERSK A/S,A P MOLLER-MAERSK A/S,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\a_p_moller_maersk_a_s\2024\focused\a_p_moller_maersk_a_s_2024_taxonomy_focused.md,4,8,2,c415625529e510e0,96,96,1259,1693,2.627204,ok,,1,1701,200,1901,5,5,0.8995637893676758,10.86198616027832,0.5443213582038879,text-embedding-3-small,gpt-5.1-chat
a_p_moller_maersk_a_s,A P MOLLER-MAERSK A/S,A P MOLLER-MAERSK A/S,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\a_p_moller_maersk_a_s\2024\focused\a_p_moller_maersk_a_s_2024_taxonomy_focused.md,5,8,6,f29ab5153b63c99c,100,100,1200,1633,1.974778,ok,,1,1632,50,1682,0,0,0.8109143376350403,9.981097221374512,0.5222159028053284,text-embedding-3-small,gpt-5.1-chat
a_p_moller_maersk_a_s,A P MOLLER-MAERSK A/S,A P MOLLER-MAERSK A/S,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\a_p_moller_maersk_a_s\2024\focused\a_p_moller_maersk_a_s_2024_taxonomy_focused.md,6,8,7,49710f313a1001b0,100,102,1224,1660,1.110213,ok,,1,1669,38,1707,0,0,0.3198693096637726,2.555710792541504,0.502321183681488,text-embedding-3-small,gpt-5.1-chat
a_p_moller_maersk_a_s,A P MOLLER-MAERSK A/S,A P MOLLER-MAERSK A/S,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\a_p_moller_maersk_a_s\2024\focused\a_p_moller_maersk_a_s_2024_taxonomy_focused.md,7,8,8,2ff4635bc079711a,103,103,1318,1751,1.944062,ok,,1,1752,38,1790,0,0,0.11992548406124115,0.9411213397979736,0.4374713897705078,text-embedding-3-small,gpt-5.1-chat
a_p_moller_maersk_a_s,A P MOLLER-MAERSK A/S,A P MOLLER-MAERSK A/S,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\a_p_moller_maersk_a_s\2024\focused\a_p_moller_maersk_a_s_2024_taxonomy_focused.md,8,8,1,c55a5671afefc8db,94,95,1436,1872,2.034489,ok,,1,1871,38,1909,0,0,0.057659346610307693,0.7483474016189575,0.4047877788543701,text-embedding-3-small,gpt-5.1-chat
ab_volvo,AB VOLVO,AB VOLVO,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\ab_volvo\2024\focused\ab_volvo_2024_taxonomy_focused.md,1,8,3,529016c3afd556bb,164,165,1226,1672,2.283451,ok,,1,1626,214,1840,4,4,1.0,12.901749610900879,0.6298719644546509,text-embedding-3-small,gpt-5.1-chat
ab_volvo,AB VOLVO,AB VOLVO,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\ab_volvo\2024\focused\ab_volvo_2024_taxonomy_focused.md,2,8,4,9d9c15efa0284705,165,166,1204,1652,2.653715,ok,,1,1615,235,1850,4,4,0.9913907051086426,12.839756965637207,0.6253128051757812,text-embedding-3-small,gpt-5.1-chat
ab_volvo,AB VOLVO,AB VOLVO,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\ab_volvo\2024\focused\ab_volvo_2024_taxonomy_focused.md,3,8,5,26a655ef164e21eb,166,166,1166,1606,2.237335,ok,,1,1594,92,1686,3,3,0.7812554836273193,10.34140396118164,0.5556154251098633,text-embedding-3-small,gpt-5.1-chat
ab_volvo,AB VOLVO,AB VOLVO,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\ab_volvo\2024\focused\ab_volvo_2024_taxonomy_focused.md,4,8,1,6f460d158e21e157,162,162,1173,1591,3.240964,ok,,1,1584,253,1837,4,4,0.754897952079773,9.246251106262207,0.5798678398132324,text-embedding-3-small,gpt-5.1-chat
ab_volvo,AB VOLVO,AB VOLVO,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\ab_volvo\2024\focused\ab_volvo_2024_taxonomy_focused.md,5,8,2,71473c22b43f41b4,163,164,1207,1627,2.218845,ok,,1,1599,31,1630,0,0,0.6912533640861511,7.60968017578125,0.595893383026123,text-embedding-3-small,gpt-5.1-chat
ab_volvo,AB VOLVO,AB VOLVO,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\ab_volvo\2024\focused\ab_volvo_2024_taxonomy_focused.md,6,8,6,10de58fd5a8ae18e,167,167,1188,1606,1.710959,ok,,1,1612,31,1643,0,0,0.22703084349632263,1.9152963161468506,0.44931134581565857,text-embedding-3-small,gpt-5.1-chat
ab_volvo,AB VOLVO,AB VOLVO,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\ab_volvo\2024\focused\ab_volvo_2024_taxonomy_focused.md,7,8,7,d62d6bd31c05dcc7,168,168,1338,1758,1.828255,ok,,1,1739,31,1770,0,0,0.1523067057132721,1.0740349292755127,0.42253682017326355,text-embedding-3-small,gpt-5.1-chat
ab_volvo,AB VOLVO,AB VOLVO,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\ab_volvo\2024\focused\ab_volvo_2024_taxonomy_focused.md,8,8,8,1c9523212a436cce,169,169,1208,1638,2.556631,ok,,1,1638,31,1669,0,0,0.11175966262817383,1.8941245079040527,0.3541310131549835,text-embedding-3-small,gpt-5.1-chat
abb_ltd,ABB LTD,ABB LTD,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\abb_ltd\2024\focused\abb_ltd_2024_taxonomy_focused.md,1,8,36,b7c3d189f4215e09,86,88,1432,1850,4.849546,ok,,1,1819,30,1849,0,0,0.9268303513526917,8.268878936767578,0.5118263363838196,text-embedding-3-small,gpt-5.1-chat
abb_ltd,ABB LTD,ABB LTD,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\abb_ltd\2024\focused\abb_ltd_2024_taxonomy_focused.md,2,8,44,22c990cf4e69bced,106,107,1559,1975,2.338953,ok,,1,1931,30,1961,0,0,0.8635187745094299,9.066108703613281,0.4515889883041382,text-embedding-3-small,gpt-5.1-chat
abb_ltd,ABB LTD,ABB LTD,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\abb_ltd\2024\focused\abb_ltd_2024_taxonomy_focused.md,3,8,58,4795aa57e7d64e8f,146,148,1426,1842,2.749652,ok,,1,1814,30,1844,0,0,0.7637026906013489,6.686389923095703,0.48699015378952026,text-embedding-3-small,gpt-5.1-chat
abb_ltd,ABB LTD,ABB LTD,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\abb_ltd\2024\focused\abb_ltd_2024_taxonomy_focused.md,4,8,55,10302ace7681e3dd,140,142,952,1370,2.745107,ok,,1,1343,30,1373,0,0,0.7207952737808228,7.240271091461182,0.4456792175769806,text-embedding-3-small,gpt-5.1-chat
