slug,company,company_name_full,report_year,source_md,status,error_stage,error_message,rebuild_index,top_k_requested,w_bm25,w_emb,n_queries,n_index_chunks,n_retrieved_chunks,index_elapsed_s,retrieval_elapsed_s,extraction_elapsed_sum_s,doc_total_elapsed_s,n_llm_calls_ok_x,n_llm_calls_error,coverage_ratio,topk_capped,retrieved_all_chunks,llm_total_elapsed_sum_s,total_prompt_tokens_api_sum,total_completion_tokens_api_sum,total_tokens_api_sum,mean_chunk_tokens_est,n_llm_calls_ok_y,n_rows_normalized_doc,mean_rows_per_retrieved_chunk,max_rows_single_chunk,mean_hybrid_score,mean_bm25_score_raw,mean_emb_score_raw,n_nonzero_chunks,share_nonzero_retrieved_chunks
carrefour,CARREFOUR,CARREFOUR,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\carrefour\2024\focused\carrefour_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,411,8,0.320448,3.207957,35.377746,40.685936,8,0,0.019464720194647202,True,False,35.377746,13084,2329,15413,1209.25,8,42,5.25,13,0.7845034152269363,39.07344150543213,0.5959897711873055,5,0.625
ds_smith_limited,DS SMITH LIMITED,DS SMITH LIMITED,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\ds_smith_limited\2024\focused\ds_smith_limited_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,157,8,0.052113,1.486896,31.700542,34.956965,8,0,0.050955414012738856,True,False,31.700543,12732,830,13562,1167.375,8,7,0.875,5,0.5796681120991707,13.090635180473328,0.5635180994868279,2,0.25
evn_ag,EVN AG,EVN AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\evn_ag\2023\focused\evn_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,133,8,0.088546,1.026375,28.927783,31.885335,8,0,0.06015037593984962,True,False,28.927782999999998,12638,260,12898,1183.625,8,0,0.0,0,0.7295772209763527,9.063829004764557,0.377974983304739,0,0.0
hapag_lloyd_ag,Hapag-Lloyd AG,Hapag-Lloyd AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\hapag_lloyd_ag\2023\focused\hapag_lloyd_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,131,8,0.092803,1.250021,14.326649,17.51061,8,0,0.061068702290076333,True,False,14.326651,13663,276,13939,1291.125,8,0,0.0,0,0.6258498355746269,8.403391599655151,0.34541498869657516,0,0.0
iss_a_s,ISS A/S,ISS A/S,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\iss_a_s\2024\focused\iss_a_s_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,130,8,0.044712,1.029217,29.98287,32.796579,8,0,0.06153846153846154,True,False,29.982869,12915,350,13265,1188.5,8,5,0.625,5,0.6580391898751259,17.69540238380432,0.5275771766901016,1,0.125
edp_renov_veis_s_a,"EDP Renováveis, S.A.","EDP Renováveis, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\edp_renov_veis_s_a\2023\focused\edp_renov_veis_s_a_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,114,8,0.019125,0.653847,30.126304,32.55988,8,0,0.07017543859649122,True,False,30.126303999999998,13020,763,13783,1202.25,8,18,2.25,3,0.7404159978032112,27.359545707702637,0.570208590477705,6,0.75
1_1_ag,1&1 AG,1&1 AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\1_1_ag\2023\focused\1_1_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,114,8,0.025747,1.375368,26.24346,29.394682,8,0,0.07017543859649122,True,False,26.24346,13682,280,13962,1293.375,8,0,0.0,0,0.682233452796936,8.274910688400269,0.3483259789645672,0,0.0
kapsch_trafficcom_ag,Kapsch TrafficCom AG,Kapsch TrafficCom AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\kapsch_trafficcom_ag\2023\focused\kapsch_trafficcom_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,105,8,0.057184,1.183234,28.52097,31.596762,8,0,0.0761904761904762,True,False,28.520971,13636,296,13932,1275.25,8,0,0.0,0,0.6095002815127373,9.479108989238739,0.3667038381099701,0,0.0
e_on_se,E.ON SE,E.ON SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\e_on_se\2023\focused\e_on_se_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,96,8,0.050277,1.043417,20.965301,23.992396,8,0,0.08333333333333333,True,False,20.965299,13219,1824,15043,1235.25,8,26,3.25,14,0.8450243175029755,19.04632544517517,0.5750334337353706,2,0.25
facc_ag,FACC AG,FACC AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\facc_ag\2023\focused\facc_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,89,8,0.01969,0.80325,23.862194,26.619944,8,0,0.0898876404494382,True,False,23.862194,12780,272,13052,1167.25,8,0,0.0,0,0.7233065739274025,8.285908877849579,0.3625579997897148,0,0.0
