slug,company,company_name_full,report_year,source_md,status,error_stage,error_message,rebuild_index,top_k_requested,w_bm25,w_emb,n_queries,n_index_chunks,n_retrieved_chunks,index_elapsed_s,retrieval_elapsed_s,extraction_elapsed_sum_s,doc_total_elapsed_s,n_llm_calls_ok_x,n_llm_calls_error,coverage_ratio,topk_capped,retrieved_all_chunks,llm_total_elapsed_sum_s,total_prompt_tokens_api_sum,total_completion_tokens_api_sum,total_tokens_api_sum,mean_chunk_tokens_est,n_llm_calls_ok_y,n_rows_normalized_doc,mean_rows_per_retrieved_chunk,max_rows_single_chunk,mean_hybrid_score,mean_bm25_score_raw,mean_emb_score_raw,n_nonzero_chunks,share_nonzero_retrieved_chunks
hochtief_ag,HOCHTIEF AG,HOCHTIEF AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\hochtief_ag\2023\focused\hochtief_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,43,8,0.020303,0.617017,78.186594,80.882074,8,0,0.18604651162790697,True,False,78.186594,15425,4307,19732,1497.375,8,105,13.125,20,0.9103960618376732,17.23387908935547,0.6319220066070557,6,0.75
acs_actividades_de_construcci_n_y_servicios_s_a,"ACS, Actividades de Construcción y Servicios, S.A.","ACS, Actividades de Construcción y Servicios, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\acs_actividades_de_construcci_n_y_servicios_s_a\2023\focused\acs_actividades_de_construcci_n_y_servicios_s_a_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,45,8,0.04334,0.89794,23.075118,25.947507,8,0,0.17777777777777778,True,False,23.075118,11230,2886,14116,970.5,8,94,11.75,21,0.8916838243603706,15.672381162643433,0.6744824051856995,5,0.625
omv_aktiengesellschaft,OMV AKTIENGESELLSCHAFT,OMV AKTIENGESELLSCHAFT,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\omv_aktiengesellschaft\2024\focused\omv_aktiengesellschaft_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,8,8,0.025365,0.417066,27.15466,29.392249,8,0,1.0,False,True,27.15466,13343,3557,16900,1236.5,8,86,10.75,18,0.48618394043296576,5.491300344467163,0.6105243340134621,7,0.875
schneider_electric_se,SCHNEIDER ELECTRIC SE,SCHNEIDER ELECTRIC SE,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\schneider_electric_se\2024\focused\schneider_electric_se_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,11,8,0.019259,0.44196,70.787717,73.007055,8,0,0.7272727272727273,True,False,70.787717,12499,3536,16035,1141.875,8,82,10.25,19,0.6622699052095413,7.521559417247772,0.6372404173016548,6,0.75
porr_ag,PORR AG,PORR AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\porr_ag\2023\focused\porr_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,57,8,0.025353,0.779901,26.465712,29.276948,8,0,0.14035087719298245,True,False,26.465712,13149,3876,17025,1222.25,8,81,10.125,22,0.7641221769154072,21.66737735271454,0.5414796210825443,5,0.625
eni_s_p_a,ENI S.P.A.,ENI S.P.A.,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\eni_s_p_a\2024\focused\eni_s_p_a_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,17,8,0.011055,0.338333,70.317822,72.328207,8,0,0.47058823529411764,True,False,70.317824,12329,3019,15348,1116.125,8,63,7.875,17,0.7831754386425018,10.575736701488495,0.5829097479581833,5,0.625
shell_plc,SHELL PLC,SHELL PLC,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\shell_plc\2024\focused\shell_plc_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,10,8,0.005876,0.391405,24.696833,26.827786,8,0,0.8,True,False,24.696832999999998,12751,2762,15513,1189.5,8,59,7.375,18,0.762447215616703,6.008769690990448,0.6006059870123863,5,0.625
aena_s_m_e_s_a,"Aena S.M.E., S.A.","Aena S.M.E., S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\aena_s_m_e_s_a\2023\focused\aena_s_m_e_s_a_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,80,8,0.027334,0.830764,20.840765,23.914181,8,0,0.1,True,False,20.840767,13039,2047,15086,1198.25,8,55,6.875,12,0.8294195979833603,19.871708869934082,0.651660606265068,6,0.75
strabag_se,STRABAG SE,STRABAG SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\strabag_se\2023\focused\strabag_se_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,21,8,0.013791,0.368591,47.277157,49.455158,8,0,0.38095238095238093,True,False,47.277157,13830,1965,15795,1297.0,8,53,6.625,20,0.7941310703754425,10.284763932228088,0.5839486941695213,5,0.625
deutsche_post_ag,Deutsche Post AG,Deutsche Post AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\deutsche_post_ag\2023\focused\deutsche_post_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,41,8,0.039022,0.709698,20.525821,23.193025,8,0,0.1951219512195122,True,False,20.525821,14578,2239,16817,1395.625,8,52,6.5,12,0.7915971204638481,12.781120777130127,0.5705320797860622,7,0.875
