slug,company,company_name_full,report_year,source_md,status,error_stage,error_message,rebuild_index,top_k_requested,w_bm25,w_emb,n_queries,n_index_chunks,n_retrieved_chunks,index_elapsed_s,retrieval_elapsed_s,extraction_elapsed_sum_s,doc_total_elapsed_s,n_llm_calls_ok_x,n_llm_calls_error,coverage_ratio,topk_capped,retrieved_all_chunks,llm_total_elapsed_sum_s,total_prompt_tokens_api_sum,total_completion_tokens_api_sum,total_tokens_api_sum,mean_chunk_tokens_est,n_llm_calls_ok_y,n_rows_normalized_doc,mean_rows_per_retrieved_chunk,max_rows_single_chunk,mean_hybrid_score,mean_bm25_score_raw,mean_emb_score_raw,n_nonzero_chunks,share_nonzero_retrieved_chunks
hochtief_ag,HOCHTIEF AG,HOCHTIEF AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\hochtief_ag\2023\focused\hochtief_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,43,8,0.020303,0.617017,78.186594,80.882074,8,0,0.18604651162790697,True,False,78.186594,15425,4307,19732,1497.375,8,105,13.125,20,0.9103960618376732,17.23387908935547,0.6319220066070557,6,0.75
norma_group_se,NORMA Group SE,NORMA Group SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\norma_group_se\2023\focused\norma_group_se_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,83,8,0.038664,1.056333,61.630875,64.71635,8,0,0.0963855421686747,True,False,61.630875,14148,2968,17116,1335.0,8,34,4.25,9,0.8471228629350662,23.890950083732605,0.570631418377161,6,0.75
porr_ag,PORR AG,PORR AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\porr_ag\2023\focused\porr_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,57,8,0.025353,0.779901,26.465712,29.276948,8,0,0.14035087719298245,True,False,26.465712,13149,3876,17025,1222.25,8,81,10.125,22,0.7641221769154072,21.66737735271454,0.5414796210825443,5,0.625
k_s_aktiengesellschaft,K+S Aktiengesellschaft,K+S Aktiengesellschaft,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\k_s_aktiengesellschaft\2023\focused\k_s_aktiengesellschaft_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,43,8,0.044228,0.82438,55.443855,58.312112,8,0,0.18604651162790697,True,False,55.443855,15037,1938,16975,1449.0,8,14,1.75,6,0.8346752375364304,16.71195662021637,0.6293946951627731,3,0.375
omv_aktiengesellschaft,OMV AKTIENGESELLSCHAFT,OMV AKTIENGESELLSCHAFT,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\omv_aktiengesellschaft\2024\focused\omv_aktiengesellschaft_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,8,8,0.025365,0.417066,27.15466,29.392249,8,0,1.0,False,True,27.15466,13343,3557,16900,1236.5,8,86,10.75,18,0.48618394043296576,5.491300344467163,0.6105243340134621,7,0.875
deutsche_post_ag,Deutsche Post AG,Deutsche Post AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\deutsche_post_ag\2023\focused\deutsche_post_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,41,8,0.039022,0.709698,20.525821,23.193025,8,0,0.1951219512195122,True,False,20.525821,14578,2239,16817,1395.625,8,52,6.5,12,0.7915971204638481,12.781120777130127,0.5705320797860622,7,0.875
enbw_energie_baden_w_rttemberg_ag,EnBW Energie Baden-Württemberg AG,EnBW Energie Baden-Württemberg AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\enbw_energie_baden_w_rttemberg_ag\2023\focused\enbw_energie_baden_w_rttemberg_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,74,8,0.013321,0.57573,26.162119,28.508597,8,0,0.10810810810810811,True,False,26.16212,14211,2559,16770,1351.0,8,52,6.5,16,0.7686073929071426,17.031185626983643,0.5783674046397209,5,0.625
freenet_ag,freenet AG,freenet AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\freenet_ag\2023\focused\freenet_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,44,8,0.009526,0.436729,28.492816,30.71251,8,0,0.18181818181818182,True,False,28.492815,13984,2552,16536,1315.25,8,46,5.75,12,0.825562871992588,17.653162360191345,0.6020731255412102,7,0.875
omv_ag,OMV AG,OMV AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\omv_ag\2023\focused\omv_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,56,8,0.029682,0.714288,25.834986,28.575984,8,0,0.14285714285714285,True,False,25.834986999999998,13644,2620,16264,1294.625,8,29,3.625,11,0.8498573154211044,15.709649920463562,0.6019323468208313,3,0.375
jungheinrich_ag,Jungheinrich AG,Jungheinrich AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\jungheinrich_ag\2023\focused\jungheinrich_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,44,8,0.043655,0.73235,26.638255,29.403192,8,0,0.18181818181818182,True,False,26.638256,13711,2503,16214,1283.625,8,34,4.25,8,0.7924884632229805,18.71304750442505,0.6340935379266739,5,0.625
vonovia_se,Vonovia SE,Vonovia SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\vonovia_se\2023\focused\vonovia_se_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,28,8,0.022266,0.458013,51.805238,54.188243,8,0,0.2857142857142857,True,False,51.805237000000005,14065,2105,16170,1331.0,8,31,3.875,11,0.6889806911349297,14.749002933502197,0.5671286061406136,5,0.625
schneider_electric_se,SCHNEIDER ELECTRIC SE,SCHNEIDER ELECTRIC SE,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\schneider_electric_se\2024\focused\schneider_electric_se_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,11,8,0.019259,0.44196,70.787717,73.007055,8,0,0.7272727272727273,True,False,70.787717,12499,3536,16035,1141.875,8,82,10.25,19,0.6622699052095413,7.521559417247772,0.6372404173016548,6,0.75
enag_s_s_a,"Enagás, S.A.","Enagás, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\enag_s_s_a\2023\focused\enag_s_s_a_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,68,8,0.010475,0.612195,21.788902,24.278891,8,0,0.11764705882352941,True,False,21.788903,13936,1973,15909,1314.5,8,37,4.625,9,0.8473960012197495,23.82055377960205,0.5604204945266247,5,0.625
jenoptik_ag,Jenoptik AG,Jenoptik AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\jenoptik_ag\2023\focused\jenoptik_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,17,8,0.020038,0.420831,38.88368,41.346378,8,0,0.47058823529411764,True,False,38.883680000000005,14343,1553,15896,1358.25,8,26,3.25,10,0.5847394056618214,11.455195665359497,0.5613078102469444,5,0.625
