slug,company,company_name_full,report_year,source_md,status,error_stage,error_message,rebuild_index,top_k_requested,w_bm25,w_emb,n_queries,n_index_chunks,n_retrieved_chunks,index_elapsed_s,retrieval_elapsed_s,extraction_elapsed_sum_s,doc_total_elapsed_s,n_llm_calls_ok,n_llm_calls_error
1_1_ag,1&1 AG,1&1 AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\1_1_ag\2023\focused\1_1_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,114,8,0.025747,1.375368,26.24346,29.394682,8,0
a_p_moller_maersk_a_s,A P MOLLER-MAERSK A/S,A P MOLLER-MAERSK A/S,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\a_p_moller_maersk_a_s\2024\focused\a_p_moller_maersk_a_s_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,9,8,0.00373,0.317945,16.794127,18.82426,8,0
ab_volvo,AB VOLVO,AB VOLVO,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\ab_volvo\2024\focused\ab_volvo_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,10,8,0.022347,0.390692,18.730155,20.877025,8,0
abb_ltd,ABB LTD,ABB LTD,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\abb_ltd\2024\focused\abb_ltd_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,59,8,0.052745,0.723941,25.26739,27.804541,8,0
acs_actividades_de_construcci_n_y_servicios_s_a,"ACS, Actividades de Construcción y Servicios, S.A.","ACS, Actividades de Construcción y Servicios, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\acs_actividades_de_construcci_n_y_servicios_s_a\2023\focused\acs_actividades_de_construcci_n_y_servicios_s_a_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,45,8,0.04334,0.89794,23.075118,25.947507,8,0
aib_group_plc,AIB Group plc,AIB Group plc,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\aib_group_plc\2023\focused\aib_group_plc_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,59,8,0.011179,0.45323,18.743939,21.007585,8,0
airbus_se,AIRBUS SE,AIRBUS SE,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\airbus_se\2024\focused\airbus_se_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,11,8,0.026853,0.354394,38.642629,40.701968,8,0
akwel,AKWEL,AKWEL,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\akwel\2023\focused\akwel_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,10,8,0.005534,0.308662,17.945286,20.010161,8,0
akzo_nobel_nv,AKZO NOBEL NV,AKZO NOBEL NV,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\akzo_nobel_nv\2024\focused\akzo_nobel_nv_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,7,7,0.022291,0.515054,13.124185,15.152863,7,0
amag_austria_metall_ag,AMAG Austria Metall AG,AMAG Austria Metall AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\amag_austria_metall_ag\2023\focused\amag_austria_metall_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,44,8,0.021718,0.528372,24.534208,26.934651,8,0
