company,report_year,chunk_index,activity,Sub_activity_code
A P MOLLER-MAERSK A/S,2024,1,Sea and coastal freight water transport,CCM 6.10
A P MOLLER-MAERSK A/S,2024,2,Retrofitting of sea and coastal freight and passenger water transport,CCM 6.12
A P MOLLER-MAERSK A/S,2024,1,Infrastructure enabling low-carbon water transport,CCM 6.16
A P MOLLER-MAERSK A/S,2024,1,Passenger and freight air transport,CCM 6.19
A P MOLLER-MAERSK A/S,2024,4,Freight rail transport,CCM 6.2
A P MOLLER-MAERSK A/S,2024,1,Freight transport services by road,CCM 6.6
A P MOLLER-MAERSK A/S,2024,2,"Installation, maintenance and repair of charging stations",CCM 7.4
A P MOLLER-MAERSK A/S,2024,2,"Installation, maintenance and repair of renewable energy technologies",CCM 7.6
A P MOLLER-MAERSK A/S,2024,1,Acquisition and ownership of buildings,CCM 7.7
AB VOLVO,2024,4,3.18 Manufacture of automotive and mobility components (spare parts and components to trucks and buses),CCM 3.18
AB VOLVO,2024,4,3.3 Manufacture of low-carbon technologies for transport (trucks and buses),CCM 3.3
AB VOLVO,2024,4,3.4 Manufacture of batteries,CCM 3.4
AB VOLVO,2024,4,3.6 Manufacture of other low-carbon technologies (construction machines and engines),CCM 3.6
"ACS, Actividades de Construcción y Servicios, S.A.",2023,5,Flood risk prevention and protection infrastructure,CCA 14.2
"ACS, Actividades de Construcción y Servicios, S.A.",2023,3,Electricity generation using solar photovoltaic technology,CCM 4.1
"ACS, Actividades de Construcción y Servicios, S.A.",2023,5,Storage of electricity,CCM 4.10
"ACS, Actividades de Construcción y Servicios, S.A.",2023,3,Electricity generation using concentrated solar power (CSP) technology,CCM 4.2
"ACS, Actividades de Construcción y Servicios, S.A.",2023,5,Electricity generation from fossil gaseous fuels,CCM 4.29
"ACS, Actividades de Construcción y Servicios, S.A.",2023,3,Electricity generation from wind power,CCM 4.3
"ACS, Actividades de Construcción y Servicios, S.A.",2023,3,Electricity generation from hydropower,CCM 4.5
"ACS, Actividades de Construcción y Servicios, S.A.",2023,3,Transmission and distribution of electricity,CCM 4.9
"ACS, Actividades de Construcción y Servicios, S.A.",2023,3,"Construction, extension and operation of water collection, treatment and supply systems",CCM 5.1
"ACS, Actividades de Construcción y Servicios, S.A.",2023,3,"Renewal of water collection, treatment and supply systems",CCM 5.2
"ACS, Actividades de Construcción y Servicios, S.A.",2023,3,"Construction, extension and operation of waste water collection and treatment",CCM 5.3
"ACS, Actividades de Construcción y Servicios, S.A.",2023,3,Renewal of waste water collection and treatment,CCM 5.4
"ACS, Actividades de Construcción y Servicios, S.A.",2023,3,"Infrastructure for personal mobility, cycle logistics",CCM 6.13
"ACS, Actividades de Construcción y Servicios, S.A.",2023,3,Infrastructure for rail transport,CCM 6.14
"ACS, Actividades de Construcción y Servicios, S.A.",2023,3,Infrastructure enabling low-carbon road transport and public transport,CCM 6.15
"ACS, Actividades de Construcción y Servicios, S.A.",2023,3,Infrastructure enabling low carbon water transport,CCM 6.16
"ACS, Actividades de Construcción y Servicios, S.A.",2023,3,Low carbon airport infrastructure,CCM 6.17
"ACS, Actividades de Construcción y Servicios, S.A.",2023,3,Construction of new buildings,CCM 7.1
"ACS, Actividades de Construcción y Servicios, S.A.",2023,3,Renovation of existing buildings,CCM 7.2
"ACS, Actividades de Construcción y Servicios, S.A.",2023,6,"Installation, maintenance and repair of charging stations for electric vehicles in buildings (and parking spaces attached to buildings)",CCM 7.4
"ACS, Actividades de Construcción y Servicios, S.A.",2023,3,"Installation, maintenance and repair of renewable energy technologies",CCM 7.6
"ACS, Actividades de Construcción y Servicios, S.A.",2023,4,Professional services related to energy performance of buildings,CCM 9.3
AIB Group plc,2023,3,A1.6.2 – Support activities for animal production,A1.6.2
AIB Group plc,2023,3,C17.1.2 – Manufacture of paper and paperboard,C17.1.2
AIB Group plc,2023,3,C21.1.0 – Manufacture of basic pharmaceutical products,C21.1.0
AIB Group plc,2023,3,C26.1.1 – Manufacture of electronic components,C26.1.1
AIB Group plc,2023,3,C28.2.9 – Manufacture of other general-purpose machinery,C28.2.9
AIB Group plc,2023,3,C32.9.9 – Other manufacturing,C32.9.9
AIB Group plc,2023,3,F41.1.0 – Development of building projects,F41.1.0
AIB Group plc,2023,3,F42.1.1 – Construction of roads and motorways,F42.1.1
AIB Group plc,2023,3,F42.9.9 – Construction of other civil engineering projects,F42.9.9
AIB Group plc,2023,3,G47.7.3 – Dispensing chemist in specialised stores,G47.7.3
AIB Group plc,2023,3,H51.1.0 – Passenger air transport,H51.1.0
AIB Group plc,2023,3,H52.2.9 – Other transportation support activities,H52.2.9
AIB Group plc,2023,3,I55.1.0 – Hotels and similar accommodation,I55.1.0
AIB Group plc,2023,3,J61.9.0 – Other telecommunications activities,J61.9.0
AIB Group plc,2023,3,J62.0.1 – Computer programming activities,J62.0.1
AIB Group plc,2023,3,Q86.1.0 – Hospital activities,Q86.1.0
AIB Group plc,2023,3,Q86.9.0 – Other human health activities,Q86.9.0
AIB Group plc,2023,3,R92.0.0 – Gambling and betting activities,R92.0.0
AIB Group plc,2023,3,S94.9.9 – Activities of other membership organisations,S94.9.9
AIB Group plc,2023,5,"The undertaking carries out, funds or has exposures to construction and safe operation of new nuclear installations to produce electricity or process heat, including for the purposes of district heating or industrial processes such as hydrogen production, as well as their safety upgrades, using best available technologies.",
AIB Group plc,2023,5,"The undertaking carries out, funds or has exposures to construction or operation of electricity generation facilities that produce electricity using fossil gaseous fuels.",
AIB Group plc,2023,5,"The undertaking carries out, funds or has exposures to construction, refurbishment and operation of heat generation facilities that produce heat/cool using fossil gaseous fuels.",
AIB Group plc,2023,5,"The undertaking carries out, funds or has exposures to construction, refurbishment, and operation of combined heat/cool and power generation facilities using fossil gaseous fuels.",
AIB Group plc,2023,5,"The undertaking carries out, funds or has exposures to research, development, demonstration and deployment of innovative electricity generation facilities that produce energy from nuclear processes with minimal waste from the fuel cycle.",
AIB Group plc,2023,5,"The undertaking carries out, funds or has exposures to safe operation of existing nuclear installations that produce electricity or process heat, including for the purposes of district heating or industrial processes such as hydrogen production from nuclear energy, as well as their safety upgrades.",
