company_id,url,out_path,http_status,size,is_pdf,error
ANDRITZ AG,https://www.andritz.com/resource/blob/620974/e66acf15517f7bab56818dbc86194b84/andritz-non-financial-statement-2024-e-data.pdf,C:\Universita\TESI\esg_agent\analysis_rag\data\pdfs\ANDRITZ AG\ANDRITZ_AG__andritz-non-financial-statement-2024-e-data.pdf,200,2916483,True,
AB VOLVO,https://www.volvogroup.com/content/dam/volvo-group/markets/master/events/2025/annual-reports/volvo-group-annual-report-2024.pdf,C:\Universita\TESI\esg_agent\analysis_rag\data\pdfs\AB VOLVO\AB_VOLVO__volvo-group-annual-report-2024.pdf,200,11111524,True,
BUNZL PLC,https://www.bunzl.com/media/yyiowbfu/bunzl-plc-sustainability-report-2024.pdf,C:\Universita\TESI\esg_agent\analysis_rag\data\pdfs\BUNZL PLC\BUNZL_PLC__bunzl-plc-sustainability-report-2024.pdf,200,8730962,True,
AKZO NOBEL NV,https://www.akzonobel.com/content/dam/akzonobel-corporate/global/en/investor-relations-images/result-center/archive-annual-reports/2029-2020/AkzoNobel-annual-report-2024.pdf,C:\Universita\TESI\esg_agent\analysis_rag\data\pdfs\AKZO NOBEL NV\AKZO_NOBEL_NV__AkzoNobel-annual-report-2024.pdf,200,38440010,True,
COMPAGNIE FINANCIERE RICHEMONT SA,https://www.richemont.com/media/tjbjiob5/richemont-non-financial-report-2024.pdf,C:\Universita\TESI\esg_agent\analysis_rag\data\pdfs\COMPAGNIE FINANCIERE RICHEMONT SA\COMPAGNIE_FINANCIERE_RICHEMONT_SA__richemont-non-financial-report-2024.pdf,200,6003442,True,
ASSICURAZIONI GENERALI SPA,https://www.generali.com/doc/jcr:259c5d6e-46f7-4a43-9512-58e5dcbd2a56/Annual%20Integrated%20Report%20and%20Consolidated%20Financial%20Statements%202024_Generali%20Group_final_interactive.pdf/lang:en/Annual_Integrated_Report_and_Consolidated_Financial_Statements_2024_Generali_Group_final_interactive.pdf,C:\Universita\TESI\esg_agent\analysis_rag\data\pdfs\ASSICURAZIONI GENERALI SPA\ASSICURAZIONI_GENERALI_SPA__Annual_Integrated_Report_and_Consolidated_Financial_Statements_2024_Generali_Group_final_interactive.pdf,200,5336654,True,
DCC PLC,https://www.dcc.ie/~/media/Files/D/Dcc-Corp-v3/documents/investors/annual-and-sustainability-reports/2023/annual-report-2023.pdf,C:\Universita\TESI\esg_agent\analysis_rag\data\pdfs\DCC PLC\DCC_PLC__annual-report-2023.pdf,200,10369944,True,
ASML HOLDING N.V.,https://ourbrand.asml.com/m/79d325b168e0fd7e/original/2024-Annual-Report-based-on-US-GAAP.pdf,C:\Universita\TESI\esg_agent\analysis_rag\data\pdfs\ASML HOLDING N.V.\ASML_HOLDING_N.V.__2024_20Annual_20Report_20based_20on_20US_20GAAP.pdf,200,32408363,True,
DS SMITH LIMITED,https://www.dssmith.com/globalassets/investors/annual-reports-archive/ds-smith-annual-report-2024.pdf,C:\Universita\TESI\esg_agent\analysis_rag\data\pdfs\DS SMITH LIMITED\DS_SMITH_LIMITED__ds-smith-annual-report-2024.pdf,200,11324953,True,
ESSILORLUXOTTICA,http://cms.essilorluxottica.com/caas/v1/media/253398/data/download/f3fc336829625bff7ba4953197866281.pdf,,404,0,False,http_404
COMPUTACENTER PLC,https://www.computacenter.com/docs/default-source/documents/sustainability-report-2024_final_links.pdf?sfvrsn=283e604b_3,C:\Universita\TESI\esg_agent\analysis_rag\data\pdfs\COMPUTACENTER PLC\COMPUTACENTER_PLC__sustainability-report-2024_final_links.pdf,200,5065891,True,
EQUINOR ASA,https://cdn.equinor.com/files/h61q9gi9/global/16ccbc5a098c3b971979118420c4f83ddee18fb4.pdf?annual-report-2024-equinor.pdf=,C:\Universita\TESI\esg_agent\analysis_rag\data\pdfs\EQUINOR ASA\EQUINOR_ASA__annual-report-2024-equinor.pdf,200,48867924,True,
INCHCAPE PLC,https://www.inchcape.com/~/media/files/i/inchcape/corp/results-and-presentations/2025/inchcape-2024-sustainability-report.pdf,C:\Universita\TESI\esg_agent\analysis_rag\data\pdfs\INCHCAPE PLC\INCHCAPE_PLC__inchcape-2024-sustainability-report.pdf,200,13217876,True,
HSBC HOLDINGS PLC,https://www.hsbc.com/-/files/hsbc/investors/hsbc-results/2024/annual/pdfs/hsbc-holdings-plc/250219-annual-report-and-accounts-2024.pdf,C:\Universita\TESI\esg_agent\analysis_rag\data\pdfs\HSBC HOLDINGS PLC\HSBC_HOLDINGS_PLC__250219-annual-report-and-accounts-2024.pdf,200,8670552,True,
