pdf_path,txt_path,pages,total_words,ocr_pages,ocr_ratio,error
analysis_rag\data\pdfs\AB VOLVO\AB_VOLVO__volvo-group-annual-report-2024.pdf,analysis_rag\data\output\text_images\AB VOLVO__AB_VOLVO__volvo-group-annual-report-2024.txt,220,124308,0,0.0000,
analysis_rag\data\pdfs\AKZO NOBEL NV\AKZO_NOBEL_NV__AkzoNobel-annual-report-2024.pdf,analysis_rag\data\output\text_images\AKZO NOBEL NV__AKZO_NOBEL_NV__AkzoNobel-annual-report-2024.txt,226,115126,1,0.0044,
analysis_rag\data\pdfs\ANDRITZ AG\ANDRITZ_AG__andritz-non-financial-statement-2024-e-data.pdf,analysis_rag\data\output\text_images\ANDRITZ AG__ANDRITZ_AG__andritz-non-financial-statement-2024-e-data.txt,184,86153,0,0.0000,
analysis_rag\data\pdfs\ASML HOLDING N.V\ASML_HOLDING_N.V.__2024_20Annual_20Report_20based_20on_20US_20GAAP.pdf,analysis_rag\data\output\text_images\ASML HOLDING N.V__ASML_HOLDING_N.V.__2024_20Annual_20Report_20based_20on_20US_20GAAP.txt,410,219442,0,0.0000,
analysis_rag\data\pdfs\ASSICURAZIONI GENERALI SPA\ASSICURAZIONI_GENERALI_SPA__Annual_Integrated_Report_and_Consolidated_Financial_Statements_2024_Generali_Group_final_interactive.pdf,analysis_rag\data\output\text_images\ASSICURAZIONI GENERALI SPA__ASSICURAZIONI_GENERALI_SPA__Annual_Integrated_Report_and_Consolidated_Financial_Statements_2024_Generali_Group_final_interactive.txt,460,235776,0,0.0000,
analysis_rag\data\pdfs\BALFOUR BEATTY PLC\BALFOUR_BEATTY_PLC__balfour-beatty-annual-report-and-accounts-2024.pdf,analysis_rag\data\output\text_images\BALFOUR BEATTY PLC__BALFOUR_BEATTY_PLC__balfour-beatty-annual-report-and-accounts-2024.txt,284,170699,0,0.0000,
analysis_rag\data\pdfs\BUNZL PLC\BUNZL_PLC__bunzl-plc-sustainability-report-2024.pdf,analysis_rag\data\output\text_images\BUNZL PLC__BUNZL_PLC__bunzl-plc-sustainability-report-2024.txt,26,12412,0,0.0000,
analysis_rag\data\pdfs\COMPAGNIE FINANCIERE RICHEMONT SA\COMPAGNIE_FINANCIERE_RICHEMONT_SA__richemont-non-financial-report-2024.pdf,analysis_rag\data\output\text_images\COMPAGNIE FINANCIERE RICHEMONT SA__COMPAGNIE_FINANCIERE_RICHEMONT_SA__richemont-non-financial-report-2024.txt,93,41463,0,0.0000,
analysis_rag\data\pdfs\COMPUTACENTER PLC\COMPUTACENTER_PLC__sustainability-report-2024_final_links.pdf,analysis_rag\data\output\text_images\COMPUTACENTER PLC__COMPUTACENTER_PLC__sustainability-report-2024_final_links.txt,45,18902,0,0.0000,
analysis_rag\data\pdfs\DCC PLC\DCC_PLC__annual-report-2023.pdf,analysis_rag\data\output\text_images\DCC PLC__DCC_PLC__annual-report-2023.txt,252,121342,0,0.0000,
analysis_rag\data\pdfs\DS SMITH LIMITED\DS_SMITH_LIMITED__ds-smith-annual-report-2024.pdf,analysis_rag\data\output\text_images\DS SMITH LIMITED__DS_SMITH_LIMITED__ds-smith-annual-report-2024.txt,222,126215,0,0.0000,
analysis_rag\data\pdfs\EQUINOR ASA\EQUINOR_ASA__annual-report-2024-equinor.pdf,analysis_rag\data\output\text_images\EQUINOR ASA__EQUINOR_ASA__annual-report-2024-equinor.txt,337,175841,0,0.0000,
analysis_rag\data\pdfs\ESSILORLUXOTTICA\ESSILORLUXOTTICA__f.txt.pdf,analysis_rag\data\output\text_images\ESSILORLUXOTTICA__ESSILORLUXOTTICA__f.txt.txt,156,89054,1,0.0064,
analysis_rag\data\pdfs\GALP ENERGIA SGPS S.A\GALP_ENERGIA_SGPS_S.A.__AnnualIntegratedReport2024.pdf,analysis_rag\data\output\text_images\GALP ENERGIA SGPS S.A__GALP_ENERGIA_SGPS_S.A.__AnnualIntegratedReport2024.txt,314,143833,2,0.0064,
analysis_rag\data\pdfs\HEINEKEN HOLDING N.V\HEINEKEN_HOLDING_N.V.__heineken-holding-nv-annual-report-2023-final.pdf,analysis_rag\data\output\text_images\HEINEKEN HOLDING N.V__HEINEKEN_HOLDING_N.V.__heineken-holding-nv-annual-report-2023-final.txt,96,56829,0,0.0000,
analysis_rag\data\pdfs\HENKEL AG & CO. KGAA\HENKEL_AG___CO._KGAA__2024-annual-report.pdf,analysis_rag\data\output\text_images\HENKEL AG _ CO. KGAA__HENKEL_AG___CO._KGAA__2024-annual-report.txt,396,121606,1,0.0025,
analysis_rag\data\pdfs\HSBC HOLDINGS PLC\HSBC_HOLDINGS_PLC__250219-annual-report-and-accounts-2024.pdf,analysis_rag\data\output\text_images\HSBC HOLDINGS PLC__HSBC_HOLDINGS_PLC__250219-annual-report-and-accounts-2024.txt,460,348841,0,0.0000,
analysis_rag\data\pdfs\INCHCAPE PLC\INCHCAPE_PLC__inchcape-2024-sustainability-report.pdf,analysis_rag\data\output\text_images\INCHCAPE PLC__INCHCAPE_PLC__inchcape-2024-sustainability-report.txt,70,27775,0,0.0000,
