company_id,isin,domains,urls,primary_url
VOLKSWAGEN AG,DE0007664005,www.volkswagen.de;volkswagen.de,https://www.volkswagen.de;https://volkswagen.de,https://www.volkswagen.de
SHELL PLC,GB00BP6MXD84,www.shell.com;www.shell.co.uk;shell.co.uk,https://www.shell.com;https://www.shell.co.uk;https://shell.co.uk,https://www.shell.com
GLENCORE PLC,JE00B4T3BW64,www.glencore.com;glencore.com,https://www.glencore.com;https://glencore.com,https://www.glencore.com
STELLANTIS N.V.,NL00150001Q9,www.stellantis.com;stellantis.com,https://www.stellantis.com;https://stellantis.com,https://www.stellantis.com
TOTALENERGIES SE,FR0000120271,www.total.com;totalenergies.com,https://www.total.com;https://totalenergies.com,https://www.total.com
BP PLC,GB0007980591,www.bp.com;www.hl.co.uk;hl.co.uk,https://www.bp.com;https://www.hl.co.uk;https://hl.co.uk,https://www.bp.com
MERCEDES-BENZ GROUP AG,DE0007100000,www.group.mercedes-benz.com;www.mercedes-benz.de;mercedes-benz.de,https://www.group.mercedes-benz.com/en;https://www.mercedes-benz.de;https://mercedes-benz.de,https://www.group.mercedes-benz.com/en
BAYERISCHE MOTOREN WERKE AG,DE0005190003,www.bmwgroup.com;www.bmw.de;bmw.de,https://www.bmwgroup.com;https://www.bmw.de/de/index.html;https://bmw.de,https://www.bmwgroup.com
DEUTSCHE TELEKOM AG,DE0005557508,www.telekom.com;www.telekom.de;telekom.de,https://www.telekom.com;https://www.telekom.de/start;https://telekom.de,https://www.telekom.com
EQUINOR ASA,NO0010096985,www.equinor.com;equinor.com,https://www.equinor.com;https://equinor.com,https://www.equinor.com
NESTLE S.A.,CH0038863350,www.nestle.com;www.nestle.ch;nestle.ch,https://www.nestle.com;https://www.nestle.ch/de;https://nestle.ch,https://www.nestle.com
ALLIANZ SE,DE0008404005,www.allianz.com;www.allianz.de;allianz.de,https://www.allianz.com;https://www.allianz.de;https://allianz.de,https://www.allianz.com
ENI S.P.A.,IT0003132476,www.eni.com;eni.com,https://www.eni.com;https://eni.com,https://www.eni.com
KONINKLIJKE AHOLD DELHAIZE N.V.,NL0011794037,www.aholddelhaize.com;aholddelhaize.com,https://www.aholddelhaize.com;https://aholddelhaize.com,https://www.aholddelhaize.com
DEUTSCHE POST AG,DE0005552004,www.deutschepost.de;www.dhl.com;dhl.com,https://www.deutschepost.de;https://www.dhl.com/us-en/home.html?locale=true;https://dhl.com,https://www.deutschepost.de
AXA SOCIETE ANONYME,FR0000120628,www.axa.com;www.axa-ic.com;www.axa.fr;axa.fr,https://www.axa.com;https://www.axa-ic.com;https://www.axa.fr;https://axa.fr,https://www.axa.com
CARREFOUR,FR0000120172,www.carrefour.com;www.carrefour.net;carrefour.net,https://www.carrefour.com;https://www.carrefour.net;https://carrefour.net,https://www.carrefour.com
TESCO PLC,GB00BLGZ9862,www.tescoplc.com;tescoplc.com,https://www.tescoplc.com;https://tescoplc.com,https://www.tescoplc.com
CHRISTIAN DIOR,FR0000130403,www.dior-finance.com;www.vogue.fr;vogue.fr,https://www.dior-finance.com;https://www.vogue.fr;https://vogue.fr,https://www.dior-finance.com
LVMH MOET HENNESSY LOUIS VUITTON,FR0000121014,www.lvmh.fr;lvmh.fr,https://www.lvmh.fr;https://lvmh.fr,https://www.lvmh.fr
SIEMENS AG,DE0007236101,www.siemens.com;siemens.com,https://www.siemens.com;https://siemens.com,https://www.siemens.com
E.ON SE,DE000ENAG999,www.eon.com;eon.com,https://www.eon.com;https://eon.com,https://www.eon.com
ENEL SPA,IT0003128367,www.enel.it;enel.it,https://www.enel.it;https://enel.it,https://www.enel.it
ENGIE,FR0010208488,www.engie.com;www.engie.fr;engie.fr,https://www.engie.com;https://www.engie.fr;https://engie.fr,https://www.engie.com
VINCI,FR0000125486,www.vinci.com;vinci.com,https://www.vinci.com;https://vinci.com,https://www.vinci.com
ORLEN S.A.,PLPKN0000018,www.orlen.pl;orlen.pl,https://www.orlen.pl;https://orlen.pl,https://www.orlen.pl
AIRBUS SE,NL0000235190,www.airbus.com;airbus.com,https://www.airbus.com;https://airbus.com,https://www.airbus.com
HSBC HOLDINGS PLC,GB0005405286,www.hsbc.com;www.hsbc.co.uk;hsbc.co.uk,https://www.hsbc.com;https://www.hsbc.co.uk;https://hsbc.co.uk,https://www.hsbc.com
ROCHE HOLDING AG,CH0012032048,www.roche.com;www.roche.ch;roche.ch,https://www.roche.com;https://www.roche.ch;https://roche.ch,https://www.roche.com
BANCO SANTANDER SA,ES0113900J37,www.santander.com;www.bancosantander.es;bancosantander.es,https://www.santander.com;https://www.bancosantander.es/particulares;https://bancosantander.es,https://www.santander.com
